year,age_gr,quintil_oecd,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,1st Quintile,(0) No qualification (yet),0.05745,37,747,0.04075,0.07415
1984,17-29 y.,1st Quintile,(1a) Inadequately completed,0.05243,79,747,0.03644,0.06843
1984,17-29 y.,1st Quintile,(1b) General Elementary School,0.23809,243,747,0.20753,0.26866
1984,17-29 y.,1st Quintile,(1c) Basic Vocational Qualification,0.19453,142,747,0.16613,0.22294
1984,17-29 y.,1st Quintile,(2) Intermediate General/Vocational Qualification,0.17972,99,747,0.15216,0.20727
1984,17-29 y.,1st Quintile,(2c_gen) General Maturity Certificate,0.16426,109,747,0.13767,0.19085
1984,17-29 y.,1st Quintile,(2c_voc) Vocational Maturity Certificate,0.05724,38,747,0.04057,0.07392
1984,17-29 y.,2nd Quintile,(0) No qualification (yet),0.08019,47,647,0.05924,0.10113
1984,17-29 y.,2nd Quintile,(1a) Inadequately completed,0.03955,57,647,0.02452,0.05458
1984,17-29 y.,2nd Quintile,(1b) General Elementary School,0.19505,171,647,0.16449,0.22560
1984,17-29 y.,2nd Quintile,(1c) Basic Vocational Qualification,0.25266,164,647,0.21915,0.28617
1984,17-29 y.,2nd Quintile,(2) Intermediate General/Vocational Qualification,0.26882,140,647,0.23463,0.30301
1984,17-29 y.,2nd Quintile,(2c_gen) General Maturity Certificate,0.10519,68,647,0.08153,0.12884
1984,17-29 y.,3rd Quintile,(0) No qualification (yet),0.06060,35,639,0.04209,0.07912
1984,17-29 y.,3rd Quintile,(1a) Inadequately completed,0.02437,35,639,0.01240,0.03633
1984,17-29 y.,3rd Quintile,(1b) General Elementary School,0.14932,123,639,0.12167,0.17698
1984,17-29 y.,3rd Quintile,(1c) Basic Vocational Qualification,0.29283,182,639,0.25752,0.32814
1984,17-29 y.,3rd Quintile,(2) Intermediate General/Vocational Qualification,0.32241,186,639,0.28615,0.35868
1984,17-29 y.,3rd Quintile,(2c_gen) General Maturity Certificate,0.07054,43,639,0.05067,0.09041
1984,17-29 y.,3rd Quintile,(2c_voc) Vocational Maturity Certificate,0.05306,35,639,0.03567,0.07046
1984,17-29 y.,4th Quintile,(0) No qualification (yet),0.06962,43,645,0.04997,0.08928
1984,17-29 y.,4th Quintile,(1b) General Elementary School,0.11081,116,645,0.08657,0.13505
1984,17-29 y.,4th Quintile,(1c) Basic Vocational Qualification,0.32272,234,645,0.28661,0.35883
1984,17-29 y.,4th Quintile,(2) Intermediate General/Vocational Qualification,0.31294,194,645,0.27712,0.34875
1984,17-29 y.,4th Quintile,(2c_gen) General Maturity Certificate,0.09041,58,645,0.06826,0.11256
1984,17-29 y.,5th Quintile,(1b) General Elementary School,0.07602,56,476,0.05219,0.09986
1984,17-29 y.,5th Quintile,(1c) Basic Vocational Qualification,0.27260,148,476,0.23256,0.31265
1984,17-29 y.,5th Quintile,(2) Intermediate General/Vocational Qualification,0.37741,198,476,0.33382,0.42101
1984,17-29 y.,5th Quintile,(2c_gen) General Maturity Certificate,0.07559,42,476,0.05182,0.09937
1984,17-29 y.,5th Quintile,(2c_voc) Vocational Maturity Certificate,0.06113,32,476,0.03959,0.08268
1984,30-45 y.,1st Quintile,(1a) Inadequately completed,0.07316,153,729,0.05424,0.09208
1984,30-45 y.,1st Quintile,(1b) General Elementary School,0.28800,248,729,0.25511,0.32090
