year,migback,quintil_oecd,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,1st Quintile,(1b) General Elementary School,0.38809,517,1374,0.36231,0.41387
1984,No migration background,1st Quintile,(1c) Basic Vocational Qualification,0.37662,550,1374,0.35099,0.40225
1984,No migration background,1st Quintile,(2) Intermediate General/Vocational Qualification,0.10142,151,1374,0.08545,0.11739
1984,No migration background,1st Quintile,(2c_gen) General Maturity Certificate,0.05049,84,1374,0.03891,0.06207
1984,No migration background,1st Quintile,(2c_voc) Vocational Maturity Certificate,0.02095,34,1374,0.01338,0.02853
1984,No migration background,1st Quintile,(3b) Higher Tertiary Education,0.02399,38,1374,0.01590,0.03209
1984,No migration background,2nd Quintile,(0) No qualification (yet),0.02197,38,1522,0.01460,0.02934
1984,No migration background,2nd Quintile,(1b) General Elementary School,0.32322,494,1522,0.29972,0.34673
1984,No migration background,2nd Quintile,(1c) Basic Vocational Qualification,0.43885,705,1522,0.41391,0.46379
1984,No migration background,2nd Quintile,(2) Intermediate General/Vocational Qualification,0.14115,234,1522,0.12365,0.15865
1984,No migration background,2nd Quintile,(2c_gen) General Maturity Certificate,0.02898,51,1522,0.02055,0.03742
1984,No migration background,3rd Quintile,(0) No qualification (yet),0.01750,32,1711,0.01128,0.02371
1984,No migration background,3rd Quintile,(1b) General Elementary School,0.23838,394,1711,0.21819,0.25858
1984,No migration background,3rd Quintile,(1c) Basic Vocational Qualification,0.44095,760,1711,0.41742,0.46449
1984,No migration background,3rd Quintile,(2) Intermediate General/Vocational Qualification,0.19425,339,1711,0.17549,0.21300
1984,No migration background,3rd Quintile,(2c_gen) General Maturity Certificate,0.02093,39,1711,0.01415,0.02772
1984,No migration background,3rd Quintile,(2c_voc) Vocational Maturity Certificate,0.03149,57,1711,0.02321,0.03977
1984,No migration background,3rd Quintile,(3a) Lower Tertiary Education,0.02185,41,1711,0.01492,0.02877
1984,No migration background,3rd Quintile,(3b) Higher Tertiary Education,0.02746,49,1711,0.01971,0.03520
1984,No migration background,4th Quintile,(0) No qualification (yet),0.01931,38,1849,0.01304,0.02558
1984,No migration background,4th Quintile,(1b) General Elementary School,0.18114,324,1849,0.16358,0.19870
1984,No migration background,4th Quintile,(1c) Basic Vocational Qualification,0.41845,770,1849,0.39596,0.44094
1984,No migration background,4th Quintile,(2) Intermediate General/Vocational Qualification,0.23033,438,1849,0.21114,0.24953
1984,No migration background,4th Quintile,(2c_gen) General Maturity Certificate,0.02908,56,1849,0.02142,0.03674
1984,No migration background,4th Quintile,(2c_voc) Vocational Maturity Certificate,0.03796,72,1849,0.02925,0.04667
1984,No migration background,4th Quintile,(3a) Lower Tertiary Education,0.02880,53,1849,0.02117,0.03642
1984,No migration background,4th Quintile,(3b) Higher Tertiary Education,0.04847,98,1849,0.03868,0.05826
1984,No migration background,5th Quintile,(1b) General Elementary School,0.10771,212,1980,0.09405,0.12137
1984,No migration background,5th Quintile,(1c) Basic Vocational Qualification,0.35727,712,1980,0.33615,0.37838
1984,No migration background,5th Quintile,(2) Intermediate General/Vocational Qualification,0.27407,556,1980,0.25442,0.29372
1984,No migration background,5th Quintile,(2c_gen) General Maturity Certificate,0.01952,43,1980,0.01342,0.02561
1984,No migration background,5th Quintile,(2c_voc) Vocational Maturity Certificate,0.06126,121,1980,0.05070,0.07183
1984,No migration background,5th Quintile,(3a) Lower Tertiary Education,0.05813,117,1980,0.04782,0.06844
1984,No migration background,5th Quintile,(3b) Higher Tertiary Education,0.10765,219,1980,0.09400,0.12131
1984,Direct migration background,1st Quintile,(1a) Inadequately completed,0.28480,357,937,0.25588,0.31371
1984,Direct migration background,1st Quintile,(1b) General Elementary School,0.30672,342,937,0.27717,0.33626
1984,Direct migration background,1st Quintile,(1c) Basic Vocational Qualification,0.16959,145,937,0.14555,0.19363
1984,Direct migration background,1st Quintile,(2c_gen) General Maturity Certificate,0.04374,46,937,0.03064,0.05684
1984,Direct migration background,1st Quintile,(2c_voc) Vocational Maturity Certificate,0.07847,47,937,0.06124,0.09570
1984,Direct migration background,2nd Quintile,(1a) Inadequately completed,0.19451,251,702,0.16521,0.22382
1984,Direct migration background,2nd Quintile,(1b) General Elementary School,0.30479,231,702,0.27071,0.33887
1984,Direct migration background,2nd Quintile,(1c) Basic Vocational Qualification,0.28521,156,702,0.25178,0.31863
1984,Direct migration background,2nd Quintile,(2c_gen) General Maturity Certificate,0.03639,33,702,0.02253,0.05025
1984,Direct migration background,2nd Quintile,(2c_voc) Vocational Maturity Certificate,0.04976,31,702,0.03366,0.06585
1984,Direct migration background,3rd Quintile,(1a) Inadequately completed,0.13301,160,502,0.10327,0.16274
1984,Direct migration background,3rd Quintile,(1b) General Elementary School,0.33744,200,502,0.29604,0.37885
1984,Direct migration background,3rd Quintile,(1c) Basic Vocational Qualification,0.32239,142,502,0.28146,0.36332
1984,Direct migration background,4th Quintile,(1a) Inadequately completed,0.16822,166,489,0.13504,0.20141
1984,Direct migration background,4th Quintile,(1b) General Elementary School,0.23297,159,489,0.19547,0.27048
1984,Direct migration background,4th Quintile,(1c) Basic Vocational Qualification,0.34005,164,489,0.29802,0.38208
1984,Direct migration background,5th Quintile,(1a) Inadequately completed,0.07447,83,335,0.04632,0.10263
1984,Direct migration background,5th Quintile,(1b) General Elementary School,0.14376,79,335,0.10613,0.18138
1984,Direct migration background,5th Quintile,(1c) Basic Vocational Qualification,0.29387,107,335,0.24501,0.34272
1984,Direct migration background,5th Quintile,(2) Intermediate General/Vocational Qualification,0.17212,33,335,0.13164,0.21261
1984,Direct migration background,5th Quintile,(3b) Higher Tertiary Education,0.11686,33,335,0.08241,0.15131
1985,No migration background,1st Quintile,(1b) General Elementary School,0.36346,439,1186,0.33607,0.39085
1985,No migration background,1st Quintile,(1c) Basic Vocational Qualification,0.36768,490,1186,0.34022,0.39513
1985,No migration background,1st Quintile,(2) Intermediate General/Vocational Qualification,0.13480,182,1186,0.11535,0.15424
1985,No migration background,1st Quintile,(2c_gen) General Maturity Certificate,0.05162,75,1186,0.03902,0.06422
1985,No migration background,2nd Quintile,(1b) General Elementary School,0.31039,429,1376,0.28594,0.33484
1985,No migration background,2nd Quintile,(1c) Basic Vocational Qualification,0.43878,651,1376,0.41255,0.46501
1985,No migration background,2nd Quintile,(2) Intermediate General/Vocational Qualification,0.14451,214,1376,0.12592,0.16309
1985,No migration background,2nd Quintile,(2c_gen) General Maturity Certificate,0.02680,48,1376,0.01826,0.03533
