year,quintil_oecd,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,(0) No qualification (yet),0.01491,37,2429,0.01009,0.01973
1984,1st Quintile,(1a) Inadequately completed,0.04736,378,2429,0.03891,0.05581
1984,1st Quintile,(1b) General Elementary School,0.37719,868,2429,0.35791,0.39647
1984,1st Quintile,(1c) Basic Vocational Qualification,0.35114,704,2429,0.33215,0.37012
1984,1st Quintile,(2) Intermediate General/Vocational Qualification,0.09578,177,2429,0.08407,0.10749
1984,1st Quintile,(2c_gen) General Maturity Certificate,0.04951,131,2429,0.04088,0.05814
1984,1st Quintile,(2c_voc) Vocational Maturity Certificate,0.02810,81,2429,0.02153,0.03468
1984,1st Quintile,(3b) Higher Tertiary Education,0.02552,53,2429,0.01924,0.03179
1984,2nd Quintile,(0) No qualification (yet),0.01983,47,2334,0.01417,0.02548
1984,2nd Quintile,(1a) Inadequately completed,0.03051,268,2334,0.02353,0.03749
1984,2nd Quintile,(1b) General Elementary School,0.32060,737,2334,0.30167,0.33954
1984,2nd Quintile,(1c) Basic Vocational Qualification,0.42108,869,2334,0.40104,0.44111
1984,2nd Quintile,(2) Intermediate General/Vocational Qualification,0.13848,270,2334,0.12446,0.15250
1984,2nd Quintile,(2c_gen) General Maturity Certificate,0.02984,86,2334,0.02293,0.03674
1984,2nd Quintile,(2c_voc) Vocational Maturity Certificate,0.01963,57,2334,0.01400,0.02526
1984,3rd Quintile,(0) No qualification (yet),0.01606,35,2343,0.01096,0.02115
1984,3rd Quintile,(1a) Inadequately completed,0.01900,174,2343,0.01347,0.02453
1984,3rd Quintile,(1b) General Elementary School,0.24792,600,2343,0.23043,0.26540
1984,3rd Quintile,(1c) Basic Vocational Qualification,0.42862,907,2343,0.40857,0.44866
1984,3rd Quintile,(2) Intermediate General/Vocational Qualification,0.18481,372,2343,0.16909,0.20053
1984,3rd Quintile,(2c_gen) General Maturity Certificate,0.02327,65,2343,0.01716,0.02938
1984,3rd Quintile,(2c_voc) Vocational Maturity Certificate,0.03091,77,2343,0.02390,0.03792
1984,3rd Quintile,(3a) Lower Tertiary Education,0.02013,42,2343,0.01444,0.02582
1984,3rd Quintile,(3b) Higher Tertiary Education,0.02929,71,2343,0.02246,0.03612
1984,4th Quintile,(0) No qualification (yet),0.01853,43,2468,0.01321,0.02386
1984,4th Quintile,(1a) Inadequately completed,0.01868,181,2468,0.01334,0.02403
1984,4th Quintile,(1b) General Elementary School,0.18487,490,2468,0.16955,0.20019
1984,4th Quintile,(1c) Basic Vocational Qualification,0.41276,946,2468,0.39333,0.43219
1984,4th Quintile,(2) Intermediate General/Vocational Qualification,0.22106,471,2468,0.20468,0.23743
1984,4th Quintile,(2c_gen) General Maturity Certificate,0.02900,69,2468,0.02238,0.03563
1984,4th Quintile,(2c_voc) Vocational Maturity Certificate,0.03827,92,2468,0.03070,0.04584
1984,4th Quintile,(3a) Lower Tertiary Education,0.02746,57,2468,0.02101,0.03391
1984,4th Quintile,(3b) Higher Tertiary Education,0.04936,119,2468,0.04082,0.05791
1984,5th Quintile,(1a) Inadequately completed,0.00838,90,2384,0.00472,0.01204
1984,5th Quintile,(1b) General Elementary School,0.11041,294,2384,0.09783,0.12300
1984,5th Quintile,(1c) Basic Vocational Qualification,0.35273,821,2384,0.33354,0.37191
1984,5th Quintile,(2) Intermediate General/Vocational Qualification,0.26724,594,2384,0.24948,0.28501
1984,5th Quintile,(2c_gen) General Maturity Certificate,0.02099,58,2384,0.01524,0.02675
1984,5th Quintile,(2c_voc) Vocational Maturity Certificate,0.06175,146,2384,0.05209,0.07142
1984,5th Quintile,(3a) Lower Tertiary Education,0.06006,129,2384,0.05052,0.06960
1984,5th Quintile,(3b) Higher Tertiary Education,0.10799,252,2384,0.09553,0.12045
1985,1st Quintile,(0) No qualification (yet),0.01658,40,2198,0.01124,0.02191
1985,1st Quintile,(1a) Inadequately completed,0.04950,328,2198,0.04043,0.05857
1985,1st Quintile,(1b) General Elementary School,0.36136,759,2198,0.34127,0.38145
1985,1st Quintile,(1c) Basic Vocational Qualification,0.34077,636,2198,0.32095,0.36059
1985,1st Quintile,(2) Intermediate General/Vocational Qualification,0.12860,221,2198,0.11461,0.14260
1985,1st Quintile,(2c_gen) General Maturity Certificate,0.04878,113,2198,0.03978,0.05779
1985,1st Quintile,(2c_voc) Vocational Maturity Certificate,0.02718,65,2198,0.02038,0.03398
1985,1st Quintile,(3b) Higher Tertiary Education,0.01834,36,2198,0.01273,0.02396
1985,2nd Quintile,(0) No qualification (yet),0.01601,31,2107,0.01065,0.02137
1985,2nd Quintile,(1a) Inadequately completed,0.02570,200,2107,0.01895,0.03246
1985,2nd Quintile,(1b) General Elementary School,0.31160,645,2107,0.29181,0.33138
1985,2nd Quintile,(1c) Basic Vocational Qualification,0.42060,800,2107,0.39951,0.44168
1985,2nd Quintile,(2) Intermediate General/Vocational Qualification,0.13971,244,2107,0.12491,0.15452
1985,2nd Quintile,(2c_gen) General Maturity Certificate,0.02995,84,2107,0.02267,0.03723
1985,2nd Quintile,(2c_voc) Vocational Maturity Certificate,0.02597,64,2107,0.01918,0.03276
1985,2nd Quintile,(3b) Higher Tertiary Education,0.01888,39,2107,0.01307,0.02469
1985,3rd Quintile,(0) No qualification (yet),0.02286,46,2183,0.01659,0.02914
1985,3rd Quintile,(1a) Inadequately completed,0.02065,168,2183,0.01469,0.02662
1985,3rd Quintile,(1b) General Elementary School,0.25384,560,2183,0.23558,0.27210
1985,3rd Quintile,(1c) Basic Vocational Qualification,0.41793,819,2183,0.39723,0.43862
1985,3rd Quintile,(2) Intermediate General/Vocational Qualification,0.18614,353,2183,0.16981,0.20247
1985,3rd Quintile,(2c_gen) General Maturity Certificate,0.02220,65,2183,0.01602,0.02838
1985,3rd Quintile,(2c_voc) Vocational Maturity Certificate,0.03073,73,2183,0.02349,0.03797
1985,3rd Quintile,(3a) Lower Tertiary Education,0.01808,37,2183,0.01249,0.02367
1985,3rd Quintile,(3b) Higher Tertiary Education,0.02757,62,2183,0.02070,0.03444
1985,4th Quintile,(0) No qualification (yet),0.01722,37,2191,0.01177,0.02267
1985,4th Quintile,(1a) Inadequately completed,0.01832,136,2191,0.01270,0.02394
1985,4th Quintile,(1b) General Elementary School,0.16699,407,2191,0.15137,0.18261
1985,4th Quintile,(1c) Basic Vocational Qualification,0.42041,851,2191,0.39974,0.44109
1985,4th Quintile,(2) Intermediate General/Vocational Qualification,0.22652,433,2191,0.20899,0.24405
1985,4th Quintile,(2c_gen) General Maturity Certificate,0.02694,64,2191,0.02016,0.03373
1985,4th Quintile,(2c_voc) Vocational Maturity Certificate,0.04298,86,2191,0.03449,0.05148
1985,4th Quintile,(3a) Lower Tertiary Education,0.02853,57,2191,0.02156,0.03551
1985,4th Quintile,(3b) Higher Tertiary Education,0.05208,120,2191,0.04277,0.06138
1985,5th Quintile,(0) No qualification (yet),0.01608,33,2162,0.01077,0.02138
1985,5th Quintile,(1a) Inadequately completed,0.00739,66,2162,0.00378,0.01100
1985,5th Quintile,(1b) General Elementary School,0.10582,245,2162,0.09286,0.11879
1985,5th Quintile,(1c) Basic Vocational Qualification,0.33697,718,2162,0.31704,0.35690
1985,5th Quintile,(2) Intermediate General/Vocational Qualification,0.27749,562,2162,0.25861,0.29637
1985,5th Quintile,(2c_gen) General Maturity Certificate,0.01935,48,2162,0.01354,0.02515
1985,5th Quintile,(2c_voc) Vocational Maturity Certificate,0.05769,122,2162,0.04786,0.06752
1985,5th Quintile,(3a) Lower Tertiary Education,0.06097,118,2162,0.05088,0.07106
1985,5th Quintile,(3b) Higher Tertiary Education,0.11825,250,2162,0.10464,0.13187
1986,1st Quintile,(0) No qualification (yet),0.01538,43,2014,0.01000,0.02075
1986,1st Quintile,(1a) Inadequately completed,0.04704,278,2014,0.03779,0.05629
1986,1st Quintile,(1b) General Elementary School,0.35765,694,2014,0.33672,0.37859
1986,1st Quintile,(1c) Basic Vocational Qualification,0.34964,594,2014,0.32880,0.37047
1986,1st Quintile,(2) Intermediate General/Vocational Qualification,0.11442,185,2014,0.10051,0.12832
1986,1st Quintile,(2c_gen) General Maturity Certificate,0.05410,114,2014,0.04422,0.06398
1986,1st Quintile,(2c_voc) Vocational Maturity Certificate,0.03254,75,2014,0.02478,0.04029
1986,1st Quintile,(3b) Higher Tertiary Education,0.01493,31,2014,0.00963,0.02023
1986,2nd Quintile,(0) No qualification (yet),0.01366,38,2037,0.00862,0.01870
1986,2nd Quintile,(1a) Inadequately completed,0.02848,205,2037,0.02126,0.03571
1986,2nd Quintile,(1b) General Elementary School,0.31327,629,2037,0.29312,0.33341
1986,2nd Quintile,(1c) Basic Vocational Qualification,0.41412,750,2037,0.39273,0.43552
1986,2nd Quintile,(2) Intermediate General/Vocational Qualification,0.15627,260,2037,0.14049,0.17204
1986,2nd Quintile,(2c_gen) General Maturity Certificate,0.02549,73,2037,0.01864,0.03233
1986,2nd Quintile,(2c_voc) Vocational Maturity Certificate,0.01877,47,2037,0.01288,0.02467
1986,2nd Quintile,(3b) Higher Tertiary Education,0.01694,35,2037,0.01133,0.02254
1986,3rd Quintile,(0) No qualification (yet),0.02092,48,2074,0.01476,0.02708
1986,3rd Quintile,(1a) Inadequately completed,0.02074,157,2074,0.01461,0.02688
1986,3rd Quintile,(1b) General Elementary School,0.22764,502,2074,0.20959,0.24569
1986,3rd Quintile,(1c) Basic Vocational Qualification,0.43037,784,2074,0.40906,0.45169
1986,3rd Quintile,(2) Intermediate General/Vocational Qualification,0.18395,327,2074,0.16727,0.20063
1986,3rd Quintile,(2c_gen) General Maturity Certificate,0.03393,72,2074,0.02614,0.04172
1986,3rd Quintile,(2c_voc) Vocational Maturity Certificate,0.03999,89,2074,0.03156,0.04843
1986,3rd Quintile,(3a) Lower Tertiary Education,0.01989,40,2074,0.01388,0.02590
1986,3rd Quintile,(3b) Higher Tertiary Education,0.02257,55,2074,0.01618,0.02896
1986,4th Quintile,(0) No qualification (yet),0.01424,33,2197,0.00929,0.01920
1986,4th Quintile,(1a) Inadequately completed,0.01889,141,2197,0.01320,0.02458
1986,4th Quintile,(1b) General Elementary School,0.15763,412,2197,0.14239,0.17288
1986,4th Quintile,(1c) Basic Vocational Qualification,0.41432,834,2197,0.39371,0.43492
1986,4th Quintile,(2) Intermediate General/Vocational Qualification,0.24572,461,2197,0.22771,0.26372
1986,4th Quintile,(2c_gen) General Maturity Certificate,0.02799,69,2197,0.02109,0.03488
1986,4th Quintile,(2c_voc) Vocational Maturity Certificate,0.04079,79,2197,0.03251,0.04906
1986,4th Quintile,(3a) Lower Tertiary Education,0.02797,53,2197,0.02107,0.03486
1986,4th Quintile,(3b) Higher Tertiary Education,0.05246,115,2197,0.04314,0.06179
1986,5th Quintile,(1a) Inadequately completed,0.00861,58,2052,0.00461,0.01261
1986,5th Quintile,(1b) General Elementary School,0.10346,232,2052,0.09028,0.11664
1986,5th Quintile,(1c) Basic Vocational Qualification,0.31885,658,2052,0.29868,0.33902
1986,5th Quintile,(2) Intermediate General/Vocational Qualification,0.27884,538,2052,0.25943,0.29824
1986,5th Quintile,(2c_gen) General Maturity Certificate,0.03101,70,2052,0.02350,0.03851
1986,5th Quintile,(2c_voc) Vocational Maturity Certificate,0.05926,119,2052,0.04904,0.06948
1986,5th Quintile,(3a) Lower Tertiary Education,0.06049,113,2052,0.05017,0.07081
1986,5th Quintile,(3b) Higher Tertiary Education,0.12865,264,2052,0.11416,0.14314
1987,1st Quintile,(0) No qualification (yet),0.01462,40,1937,0.00928,0.01997
1987,1st Quintile,(1a) Inadequately completed,0.04372,255,1937,0.03461,0.05283
1987,1st Quintile,(1b) General Elementary School,0.36402,701,1937,0.34259,0.38545
1987,1st Quintile,(1c) Basic Vocational Qualification,0.36975,605,1937,0.34824,0.39125
1987,1st Quintile,(2) Intermediate General/Vocational Qualification,0.11040,180,1937,0.09644,0.12436
