year,age_gr,pgisced97,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Primary Level,(1a) Inadequately completed,0.84585,192,192,0.79464,0.89706
1984,17-29 y.,Lower Secondary Level,(1b) General Elementary School,0.54503,696,1046,0.51483,0.57522
1984,17-29 y.,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.45497,350,1046,0.42478,0.48517
1984,17-29 y.,Upper Secondary Level,(1c) Basic Vocational Qualification,0.51378,852,1576,0.48909,0.53846
1984,17-29 y.,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.28120,398,1576,0.25900,0.30341
1984,17-29 y.,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.20134,326,1576,0.18154,0.22115
1984,17-29 y.,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.54854,69,102,0.45149,0.64560
1984,17-29 y.,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.28654,33,102,0.19836,0.37472
1984,17-29 y.,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.32375,39,128,0.24237,0.40513
1984,17-29 y.,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.67625,89,128,0.59487,0.75763
1984,30-45 y.,Primary Level,(1a) Inadequately completed,0.91163,392,392,0.88349,0.93976
1984,30-45 y.,Lower Secondary Level,(1b) General Elementary School,0.92939,766,804,0.91168,0.94711
1984,30-45 y.,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.07061,38,804,0.05289,0.08832
1984,30-45 y.,Upper Secondary Level,(1a) Inadequately completed,0.00579,52,1939,0.00241,0.00917
1984,30-45 y.,Upper Secondary Level,(1c) Basic Vocational Qualification,0.73642,1420,1939,0.71681,0.75604
1984,30-45 y.,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.23820,407,1939,0.21923,0.25716
1984,30-45 y.,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.01959,60,1939,0.01342,0.02576
1984,30-45 y.,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.48980,117,245,0.42708,0.55253
1984,30-45 y.,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.30517,76,245,0.24739,0.36295
1984,30-45 y.,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.20116,52,245,0.15086,0.25146
1984,30-45 y.,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.30796,110,378,0.26136,0.35457
1984,30-45 y.,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.69204,268,378,0.64543,0.73864
1984,46-65 y.,Primary Level,(1a) Inadequately completed,0.95890,377,377,0.93884,0.97897
1984,46-65 y.,Lower Secondary Level,(1b) General Elementary School,0.94094,1027,1084,0.92690,0.95498
1984,46-65 y.,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.05906,57,1084,0.04502,0.07310
1984,46-65 y.,Upper Secondary Level,(1a) Inadequately completed,0.00627,40,1555,0.00235,0.01019
1984,46-65 y.,Upper Secondary Level,(1c) Basic Vocational Qualification,0.79770,1245,1555,0.77773,0.81768
