year,bula_h,sex,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,male,(1c) Basic Vocational Qualification,0.49400,86,125,0.40600,0.58200
1984,Schleswig-Holstein,male,(2) Intermediate General/Vocational Qualification,0.20256,39,125,0.13182,0.27330
1984,Schleswig-Holstein,female,(1b) General Elementary School,0.29004,53,173,0.22222,0.35786
1984,Schleswig-Holstein,female,(1c) Basic Vocational Qualification,0.34815,67,173,0.27696,0.41935
1984,Schleswig-Holstein,female,(2) Intermediate General/Vocational Qualification,0.26739,53,173,0.20124,0.33353
1984,Hamburg,male,(1c) Basic Vocational Qualification,0.46763,59,59,0.33922,0.59604
1984,Hamburg,female,(1b) General Elementary School,0.23064,34,81,0.13833,0.32295
1984,Hamburg,female,(1c) Basic Vocational Qualification,0.33233,47,81,0.22910,0.43555
1984,Lower Saxony,male,(1b) General Elementary School,0.12117,84,493,0.09233,0.15000
1984,Lower Saxony,male,(1c) Basic Vocational Qualification,0.49627,271,493,0.45209,0.54045
1984,Lower Saxony,male,(2) Intermediate General/Vocational Qualification,0.18312,98,493,0.14894,0.21729
1984,Lower Saxony,male,(3b) Higher Tertiary Education,0.06738,40,493,0.04523,0.08953
1984,Lower Saxony,female,(1a) Inadequately completed,0.02139,39,562,0.00942,0.03336
1984,Lower Saxony,female,(1b) General Elementary School,0.38200,222,562,0.34179,0.42220
1984,Lower Saxony,female,(1c) Basic Vocational Qualification,0.27185,171,562,0.23503,0.30866
1984,Lower Saxony,female,(2) Intermediate General/Vocational Qualification,0.22158,130,562,0.18721,0.25595
1984,Bremen,male,(1c) Basic Vocational Qualification,0.60247,38,38,0.44478,0.76017
1984,North Rhine-Westphalia,male,(0) No qualification (yet),0.02124,33,1586,0.01414,0.02833
1984,North Rhine-Westphalia,male,(1a) Inadequately completed,0.02994,141,1586,0.02155,0.03833
1984,North Rhine-Westphalia,male,(1b) General Elementary School,0.13058,278,1586,0.11399,0.14716
1984,North Rhine-Westphalia,male,(1c) Basic Vocational Qualification,0.45486,622,1586,0.43035,0.47938
1984,North Rhine-Westphalia,male,(2) Intermediate General/Vocational Qualification,0.14551,198,1586,0.12815,0.16287
1984,North Rhine-Westphalia,male,(2c_gen) General Maturity Certificate,0.04677,76,1586,0.03638,0.05717
1984,North Rhine-Westphalia,male,(2c_voc) Vocational Maturity Certificate,0.05754,86,1586,0.04608,0.06901
1984,North Rhine-Westphalia,male,(3a) Lower Tertiary Education,0.04598,56,1586,0.03567,0.05629
