year,migback,sampreg,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,West,(0) No qualification (yet),0.01425,159,8649,0.01176,0.01675
1984,No migration background,West,(1a) Inadequately completed,0.00658,68,8649,0.00488,0.00828
1984,No migration background,West,(1b) General Elementary School,0.20164,1947,8649,0.19318,0.21010
1984,No migration background,West,(1c) Basic Vocational Qualification,0.34033,3502,8649,0.33034,0.35031
1984,No migration background,West,(2) Intermediate General/Vocational Qualification,0.16196,1719,8649,0.15420,0.16973
1984,No migration background,West,(2c_gen) General Maturity Certificate,0.02500,279,8649,0.02171,0.02830
1984,No migration background,West,(2c_voc) Vocational Maturity Certificate,0.02907,309,8649,0.02553,0.03261
1984,No migration background,West,(3a) Lower Tertiary Education,0.02251,243,8649,0.01938,0.02564
1984,No migration background,West,(3b) Higher Tertiary Education,0.03860,423,8649,0.03454,0.04266
1984,Direct migration background,West,(1a) Inadequately completed,0.15965,1019,3256,0.14706,0.17223
1984,Direct migration background,West,(1b) General Elementary School,0.24076,1011,3256,0.22608,0.25545
1984,Direct migration background,West,(1c) Basic Vocational Qualification,0.24084,716,3256,0.22615,0.25553
1984,Direct migration background,West,(2) Intermediate General/Vocational Qualification,0.08829,139,3256,0.07854,0.09804
1984,Direct migration background,West,(2c_gen) General Maturity Certificate,0.03477,129,3256,0.02848,0.04107
1984,Direct migration background,West,(2c_voc) Vocational Maturity Certificate,0.04783,143,3256,0.04050,0.05517
1984,Direct migration background,West,(3b) Higher Tertiary Education,0.04226,99,3256,0.03534,0.04917
1984,Indirect migration background,West,(1b) General Elementary School,0.02515,37,73,-0.01102,0.06132
1984,Indirect migration background,West,(1c) Basic Vocational Qualification,0.03878,36,73,-0.00582,0.08338
1985,No migration background,West,(0) No qualification (yet),0.01571,155,7922,0.01297,0.01844
1985,No migration background,West,(1a) Inadequately completed,0.00776,71,7922,0.00583,0.00970
1985,No migration background,West,(1b) General Elementary School,0.19554,1712,7922,0.18681,0.20428
1985,No migration background,West,(1c) Basic Vocational Qualification,0.33791,3145,7922,0.32750,0.34833
1985,No migration background,West,(2) Intermediate General/Vocational Qualification,0.17249,1647,7922,0.16417,0.18081
1985,No migration background,West,(2c_gen) General Maturity Certificate,0.02421,258,7922,0.02082,0.02759
1985,No migration background,West,(2c_voc) Vocational Maturity Certificate,0.03108,293,7922,0.02726,0.03490
1985,No migration background,West,(3a) Lower Tertiary Education,0.02293,225,7922,0.01963,0.02622
1985,No migration background,West,(3b) Higher Tertiary Education,0.04135,416,7922,0.03696,0.04573
1985,Direct migration background,West,(1a) Inadequately completed,0.14767,822,2782,0.13449,0.16086
1985,Direct migration background,West,(1b) General Elementary School,0.24572,864,2782,0.22972,0.26172
1985,Direct migration background,West,(1c) Basic Vocational Qualification,0.25392,640,2782,0.23774,0.27009
1985,Direct migration background,West,(2) Intermediate General/Vocational Qualification,0.09907,138,2782,0.08796,0.11017
1985,Direct migration background,West,(2c_gen) General Maturity Certificate,0.03477,113,2782,0.02797,0.04158
1985,Direct migration background,West,(2c_voc) Vocational Maturity Certificate,0.04321,117,2782,0.03566,0.05077
1985,Direct migration background,West,(3b) Higher Tertiary Education,0.04371,88,2782,0.03611,0.05131
1985,Indirect migration background,West,(1b) General Elementary School,0.03207,40,80,-0.00678,0.07093
1985,Indirect migration background,West,(1c) Basic Vocational Qualification,0.04629,40,80,-0.00004,0.09262
