year,migback,regtyp,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,Urban regions,(0) No qualification (yet),0.01641,122,5961,0.01318,0.01963
1985,No migration background,Urban regions,(1a) Inadequately completed,0.00660,46,5961,0.00455,0.00866
1985,No migration background,Urban regions,(1b) General Elementary School,0.18219,1187,5961,0.17239,0.19199
1985,No migration background,Urban regions,(1c) Basic Vocational Qualification,0.33745,2336,5961,0.32545,0.34946
1985,No migration background,Urban regions,(2) Intermediate General/Vocational Qualification,0.17960,1276,5961,0.16986,0.18935
1985,No migration background,Urban regions,(2c_gen) General Maturity Certificate,0.02925,230,5961,0.02497,0.03353
1985,No migration background,Urban regions,(2c_voc) Vocational Maturity Certificate,0.03374,237,5961,0.02916,0.03832
1985,No migration background,Urban regions,(3a) Lower Tertiary Education,0.02551,188,5961,0.02151,0.02951
1985,No migration background,Urban regions,(3b) Higher Tertiary Education,0.04515,339,5961,0.03988,0.05042
1985,No migration background,Rural regions,(0) No qualification (yet),0.01371,33,1908,0.00849,0.01893
1985,No migration background,Rural regions,(1b) General Elementary School,0.23342,525,1908,0.21444,0.25241
1985,No migration background,Rural regions,(1c) Basic Vocational Qualification,0.33923,809,1908,0.31798,0.36048
1985,No migration background,Rural regions,(2) Intermediate General/Vocational Qualification,0.15231,371,1908,0.13618,0.16844
1985,No migration background,Rural regions,(2c_voc) Vocational Maturity Certificate,0.02354,56,1908,0.01673,0.03034
1985,No migration background,Rural regions,(3a) Lower Tertiary Education,0.01560,37,1908,0.01003,0.02116
1985,No migration background,Rural regions,(3b) Higher Tertiary Education,0.03058,77,1908,0.02285,0.03830
1985,Direct migration background,Urban regions,(1a) Inadequately completed,0.15558,742,2443,0.14121,0.16996
1985,Direct migration background,Urban regions,(1b) General Elementary School,0.23904,753,2443,0.22213,0.25596
1985,Direct migration background,Urban regions,(1c) Basic Vocational Qualification,0.25242,545,2443,0.23519,0.26965
1985,Direct migration background,Urban regions,(2) Intermediate General/Vocational Qualification,0.09100,112,2443,0.07959,0.10240
1985,Direct migration background,Urban regions,(2c_gen) General Maturity Certificate,0.03419,104,2443,0.02698,0.04140
1985,Direct migration background,Urban regions,(2c_voc) Vocational Maturity Certificate,0.04704,105,2443,0.03865,0.05544
1985,Direct migration background,Urban regions,(3b) Higher Tertiary Education,0.04787,82,2443,0.03940,0.05633
1985,Direct migration background,Rural regions,(1a) Inadequately completed,0.10069,80,286,0.06576,0.13563
1985,Direct migration background,Rural regions,(1b) General Elementary School,0.28537,111,286,0.23294,0.33780
1985,Direct migration background,Rural regions,(1c) Basic Vocational Qualification,0.26280,95,286,0.21170,0.31391
1985,Indirect migration background,Urban regions,(1b) General Elementary School,0.03626,37,72,-0.00722,0.07974
1985,Indirect migration background,Urban regions,(1c) Basic Vocational Qualification,0.03930,35,72,-0.00590,0.08450
1986,No migration background,Urban regions,(0) No qualification (yet),0.01508,129,5710,0.01192,0.01824
1986,No migration background,Urban regions,(1a) Inadequately completed,0.00717,50,5710,0.00498,0.00936
1986,No migration background,Urban regions,(1b) General Elementary School,0.17502,1088,5710,0.16516,0.18488
1986,No migration background,Urban regions,(1c) Basic Vocational Qualification,0.33537,2205,5710,0.32312,0.34762
1986,No migration background,Urban regions,(2) Intermediate General/Vocational Qualification,0.18323,1244,5710,0.17320,0.19327
1986,No migration background,Urban regions,(2c_gen) General Maturity Certificate,0.03298,239,5710,0.02834,0.03761
1986,No migration background,Urban regions,(2c_voc) Vocational Maturity Certificate,0.03534,235,5710,0.03055,0.04013
1986,No migration background,Urban regions,(3a) Lower Tertiary Education,0.02687,184,5710,0.02268,0.03107
1986,No migration background,Urban regions,(3b) Higher Tertiary Education,0.04516,336,5710,0.03978,0.05055
1986,No migration background,Rural regions,(1b) General Elementary School,0.22158,481,1796,0.20236,0.24079
1986,No migration background,Rural regions,(1c) Basic Vocational Qualification,0.33727,751,1796,0.31540,0.35915
1986,No migration background,Rural regions,(2) Intermediate General/Vocational Qualification,0.15848,354,1796,0.14158,0.17537
1986,No migration background,Rural regions,(2c_gen) General Maturity Certificate,0.01568,41,1796,0.00993,0.02142
1986,No migration background,Rural regions,(2c_voc) Vocational Maturity Certificate,0.02447,54,1796,0.01732,0.03162
1986,No migration background,Rural regions,(3a) Lower Tertiary Education,0.01675,40,1796,0.01081,0.02268
1986,No migration background,Rural regions,(3b) Higher Tertiary Education,0.03178,75,1796,0.02366,0.03989
1986,Direct migration background,Urban regions,(1a) Inadequately completed,0.14730,678,2350,0.13297,0.16163
1986,Direct migration background,Urban regions,(1b) General Elementary School,0.24565,739,2350,0.22824,0.26306
1986,Direct migration background,Urban regions,(1c) Basic Vocational Qualification,0.25620,528,2350,0.23854,0.27385
1986,Direct migration background,Urban regions,(2) Intermediate General/Vocational Qualification,0.09314,118,2350,0.08138,0.10489
1986,Direct migration background,Urban regions,(2c_gen) General Maturity Certificate,0.03585,101,2350,0.02833,0.04337
1986,Direct migration background,Urban regions,(2c_voc) Vocational Maturity Certificate,0.04489,106,2350,0.03651,0.05326
1986,Direct migration background,Urban regions,(3b) Higher Tertiary Education,0.04761,80,2350,0.03900,0.05622
1986,Direct migration background,Rural regions,(1a) Inadequately completed,0.10152,80,293,0.06688,0.13616
1986,Direct migration background,Rural regions,(1b) General Elementary School,0.29825,118,293,0.24578,0.35073
1986,Direct migration background,Rural regions,(1c) Basic Vocational Qualification,0.26119,95,293,0.21080,0.31158
1986,Indirect migration background,Urban regions,(1b) General Elementary School,0.03635,39,75,-0.00629,0.07899
1986,Indirect migration background,Urban regions,(1c) Basic Vocational Qualification,0.03885,36,75,-0.00518,0.08288
1987,No migration background,Urban regions,(0) No qualification (yet),0.01415,132,5595,0.01105,0.01724
1987,No migration background,Urban regions,(1a) Inadequately completed,0.00679,46,5595,0.00464,0.00894
1987,No migration background,Urban regions,(1b) General Elementary School,0.17067,1050,5595,0.16081,0.18053
1987,No migration background,Urban regions,(1c) Basic Vocational Qualification,0.33932,2178,5595,0.32691,0.35172
1987,No migration background,Urban regions,(2) Intermediate General/Vocational Qualification,0.18063,1217,5595,0.17055,0.19071
1987,No migration background,Urban regions,(2c_gen) General Maturity Certificate,0.03046,213,5595,0.02595,0.03496
1987,No migration background,Urban regions,(2c_voc) Vocational Maturity Certificate,0.03706,235,5595,0.03211,0.04201
1987,No migration background,Urban regions,(3a) Lower Tertiary Education,0.02766,182,5595,0.02336,0.03196
1987,No migration background,Urban regions,(3b) Higher Tertiary Education,0.04745,342,5595,0.04188,0.05302
1987,No migration background,Rural regions,(1b) General Elementary School,0.21523,457,1767,0.19606,0.23440
1987,No migration background,Rural regions,(1c) Basic Vocational Qualification,0.33934,744,1767,0.31726,0.36142
1987,No migration background,Rural regions,(2) Intermediate General/Vocational Qualification,0.16213,363,1767,0.14494,0.17932
1987,No migration background,Rural regions,(2c_gen) General Maturity Certificate,0.01757,43,1767,0.01144,0.02370
1987,No migration background,Rural regions,(2c_voc) Vocational Maturity Certificate,0.02093,46,1767,0.01426,0.02761
1987,No migration background,Rural regions,(3a) Lower Tertiary Education,0.01815,42,1767,0.01193,0.02438
1987,No migration background,Rural regions,(3b) Higher Tertiary Education,0.03146,72,1767,0.02332,0.03960
1987,Direct migration background,Urban regions,(1a) Inadequately completed,0.14948,659,2329,0.13500,0.16397
1987,Direct migration background,Urban regions,(1b) General Elementary School,0.25962,757,2329,0.24181,0.27743
1987,Direct migration background,Urban regions,(1c) Basic Vocational Qualification,0.25333,514,2329,0.23566,0.27099
1987,Direct migration background,Urban regions,(2) Intermediate General/Vocational Qualification,0.09435,120,2329,0.08248,0.10623
1987,Direct migration background,Urban regions,(2c_gen) General Maturity Certificate,0.03788,102,2329,0.03012,0.04563
1987,Direct migration background,Urban regions,(2c_voc) Vocational Maturity Certificate,0.04829,108,2329,0.03958,0.05700
1987,Direct migration background,Urban regions,(3b) Higher Tertiary Education,0.04251,69,2329,0.03432,0.05071
1987,Direct migration background,Rural regions,(1a) Inadequately completed,0.10685,81,303,0.07201,0.14169
1987,Direct migration background,Rural regions,(1b) General Elementary School,0.29656,125,303,0.24505,0.34807
1987,Direct migration background,Rural regions,(1c) Basic Vocational Qualification,0.26436,97,303,0.21462,0.31410
1987,Indirect migration background,Urban regions,(1b) General Elementary School,0.03268,41,83,-0.00580,0.07117
1987,Indirect migration background,Urban regions,(1c) Basic Vocational Qualification,0.04417,42,83,-0.00030,0.08865
1988,No migration background,Urban regions,(0) No qualification (yet),0.01299,103,5311,0.00995,0.01604
1988,No migration background,Urban regions,(1a) Inadequately completed,0.00624,41,5311,0.00412,0.00836
1988,No migration background,Urban regions,(1b) General Elementary School,0.16653,991,5311,0.15651,0.17655
1988,No migration background,Urban regions,(1c) Basic Vocational Qualification,0.33727,2068,5311,0.32456,0.34999
1988,No migration background,Urban regions,(2) Intermediate General/Vocational Qualification,0.18146,1172,5311,0.17109,0.19182
