year,quintil_oecd,regtyp,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,No answer / don't know,(0) No qualification (yet),0.01491,37,2429,0.01009,0.01973
1984,1st Quintile,No answer / don't know,(1a) Inadequately completed,0.04736,378,2429,0.03891,0.05581
1984,1st Quintile,No answer / don't know,(1b) General Elementary School,0.37719,868,2429,0.35791,0.39647
1984,1st Quintile,No answer / don't know,(1c) Basic Vocational Qualification,0.35114,704,2429,0.33215,0.37012
1984,1st Quintile,No answer / don't know,(2) Intermediate General/Vocational Qualification,0.09578,177,2429,0.08407,0.10749
1984,1st Quintile,No answer / don't know,(2c_gen) General Maturity Certificate,0.04951,131,2429,0.04088,0.05814
1984,1st Quintile,No answer / don't know,(2c_voc) Vocational Maturity Certificate,0.02810,81,2429,0.02153,0.03468
1984,1st Quintile,No answer / don't know,(3b) Higher Tertiary Education,0.02552,53,2429,0.01924,0.03179
1984,2nd Quintile,No answer / don't know,(0) No qualification (yet),0.01983,47,2334,0.01417,0.02548
1984,2nd Quintile,No answer / don't know,(1a) Inadequately completed,0.03051,268,2334,0.02353,0.03749
1984,2nd Quintile,No answer / don't know,(1b) General Elementary School,0.32060,737,2334,0.30167,0.33954
1984,2nd Quintile,No answer / don't know,(1c) Basic Vocational Qualification,0.42108,869,2334,0.40104,0.44111
1984,2nd Quintile,No answer / don't know,(2) Intermediate General/Vocational Qualification,0.13848,270,2334,0.12446,0.15250
1984,2nd Quintile,No answer / don't know,(2c_gen) General Maturity Certificate,0.02984,86,2334,0.02293,0.03674
1984,2nd Quintile,No answer / don't know,(2c_voc) Vocational Maturity Certificate,0.01963,57,2334,0.01400,0.02526
1984,3rd Quintile,No answer / don't know,(0) No qualification (yet),0.01606,35,2343,0.01096,0.02115
1984,3rd Quintile,No answer / don't know,(1a) Inadequately completed,0.01900,174,2343,0.01347,0.02453
1984,3rd Quintile,No answer / don't know,(1b) General Elementary School,0.24792,600,2343,0.23043,0.26540
1984,3rd Quintile,No answer / don't know,(1c) Basic Vocational Qualification,0.42862,907,2343,0.40857,0.44866
1984,3rd Quintile,No answer / don't know,(2) Intermediate General/Vocational Qualification,0.18481,372,2343,0.16909,0.20053
