year,age_gr,regtyp,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,No answer / don't know,(0) No qualification (yet),0.06405,188,3414,0.05584,0.07227
1984,17-29 y.,No answer / don't know,(1a) Inadequately completed,0.02761,213,3414,0.02211,0.03311
1984,17-29 y.,No answer / don't know,(1b) General Elementary School,0.15339,710,3414,0.14130,0.16548
1984,17-29 y.,No answer / don't know,(1c) Basic Vocational Qualification,0.27016,874,3414,0.25526,0.28506
1984,17-29 y.,No answer / don't know,(2) Intermediate General/Vocational Qualification,0.29233,817,3414,0.27707,0.30759
1984,17-29 y.,No answer / don't know,(2c_gen) General Maturity Certificate,0.10301,326,3414,0.09281,0.11321
1984,17-29 y.,No answer / don't know,(2c_voc) Vocational Maturity Certificate,0.05100,158,3414,0.04362,0.05838
1984,17-29 y.,No answer / don't know,(3a) Lower Tertiary Education,0.01244,39,3414,0.00872,0.01616
1984,17-29 y.,No answer / don't know,(3b) Higher Tertiary Education,0.02599,89,3414,0.02065,0.03133
1984,30-45 y.,No answer / don't know,(1a) Inadequately completed,0.03174,445,3865,0.02622,0.03727
1984,30-45 y.,No answer / don't know,(1b) General Elementary School,0.15830,773,3865,0.14679,0.16980
1984,30-45 y.,No answer / don't know,(1c) Basic Vocational Qualification,0.46702,1537,3865,0.45129,0.48275
1984,30-45 y.,No answer / don't know,(2) Intermediate General/Vocational Qualification,0.17528,521,3865,0.16329,0.18727
1984,30-45 y.,No answer / don't know,(2c_gen) General Maturity Certificate,0.01132,60,3865,0.00799,0.01466
1984,30-45 y.,No answer / don't know,(2c_voc) Vocational Maturity Certificate,0.03479,151,3865,0.02902,0.04057
1984,30-45 y.,No answer / don't know,(3a) Lower Tertiary Education,0.03743,110,3865,0.03145,0.04342
1984,30-45 y.,No answer / don't know,(3b) Higher Tertiary Education,0.08411,268,3865,0.07536,0.09286
1984,46-65 y.,No answer / don't know,(1a) Inadequately completed,0.02281,417,3507,0.01787,0.02775
1984,46-65 y.,No answer / don't know,(1b) General Elementary School,0.30580,1029,3507,0.29055,0.32105
1984,46-65 y.,No answer / don't know,(1c) Basic Vocational Qualification,0.43790,1367,3507,0.42148,0.45432
