year,bula_h,quintil_oecd,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,2nd Quintile,(1c) Basic Vocational Qualification,0.40925,37,37,0.24863,0.56987
1984,Schleswig-Holstein,4th Quintile,(1c) Basic Vocational Qualification,0.41726,46,46,0.27318,0.56134
1984,Schleswig-Holstein,5th Quintile,(2) Intermediate General/Vocational Qualification,0.36239,37,37,0.20536,0.51941
1984,Lower Saxony,1st Quintile,(1a) Inadequately completed,0.02692,34,234,0.00614,0.04770
1984,Lower Saxony,1st Quintile,(1b) General Elementary School,0.34341,110,234,0.28244,0.40438
1984,Lower Saxony,1st Quintile,(1c) Basic Vocational Qualification,0.24711,90,234,0.19173,0.30250
1984,Lower Saxony,2nd Quintile,(1b) General Elementary School,0.19597,54,200,0.14082,0.25112
1984,Lower Saxony,2nd Quintile,(1c) Basic Vocational Qualification,0.37435,104,200,0.30711,0.44159
1984,Lower Saxony,2nd Quintile,(2) Intermediate General/Vocational Qualification,0.16371,42,200,0.11230,0.21512
1984,Lower Saxony,3rd Quintile,(1b) General Elementary School,0.18914,54,191,0.13345,0.24482
1984,Lower Saxony,3rd Quintile,(1c) Basic Vocational Qualification,0.33668,89,191,0.26948,0.40387
1984,Lower Saxony,3rd Quintile,(2) Intermediate General/Vocational Qualification,0.18515,48,191,0.12992,0.24038
1984,Lower Saxony,4th Quintile,(1b) General Elementary School,0.20382,62,202,0.14812,0.25951
1984,Lower Saxony,4th Quintile,(1c) Basic Vocational Qualification,0.33737,93,202,0.27200,0.40273
1984,Lower Saxony,4th Quintile,(2) Intermediate General/Vocational Qualification,0.16868,47,202,0.11691,0.22045
1984,Lower Saxony,5th Quintile,(1c) Basic Vocational Qualification,0.25629,65,160,0.18843,0.32415
1984,Lower Saxony,5th Quintile,(2) Intermediate General/Vocational Qualification,0.26045,62,160,0.19223,0.32867
1984,Lower Saxony,5th Quintile,(3b) Higher Tertiary Education,0.13107,33,160,0.07861,0.18352
1984,North Rhine-Westphalia,1st Quintile,(1a) Inadequately completed,0.04334,139,686,0.02809,0.05859
1984,North Rhine-Westphalia,1st Quintile,(1b) General Elementary School,0.23224,236,686,0.20062,0.26386
1984,North Rhine-Westphalia,1st Quintile,(1c) Basic Vocational Qualification,0.27540,210,686,0.24194,0.30885
1984,North Rhine-Westphalia,1st Quintile,(2) Intermediate General/Vocational Qualification,0.07808,58,686,0.05799,0.09817
1984,North Rhine-Westphalia,1st Quintile,(2c_gen) General Maturity Certificate,0.03444,43,686,0.02079,0.04810
1984,North Rhine-Westphalia,2nd Quintile,(1a) Inadequately completed,0.03569,88,587,0.02067,0.05070
1984,North Rhine-Westphalia,2nd Quintile,(1b) General Elementary School,0.26353,200,587,0.22786,0.29920
1984,North Rhine-Westphalia,2nd Quintile,(1c) Basic Vocational Qualification,0.31234,205,587,0.27481,0.34986
1984,North Rhine-Westphalia,2nd Quintile,(2) Intermediate General/Vocational Qualification,0.09529,63,587,0.07152,0.11906
1984,North Rhine-Westphalia,2nd Quintile,(2c_gen) General Maturity Certificate,0.03191,31,587,0.01768,0.04614
1984,North Rhine-Westphalia,3rd Quintile,(1a) Inadequately completed,0.01979,46,506,0.00764,0.03194
1984,North Rhine-Westphalia,3rd Quintile,(1b) General Elementary School,0.16335,125,506,0.13111,0.19559
1984,North Rhine-Westphalia,3rd Quintile,(1c) Basic Vocational Qualification,0.40349,257,506,0.36070,0.44628
1984,North Rhine-Westphalia,3rd Quintile,(2) Intermediate General/Vocational Qualification,0.11991,78,506,0.09158,0.14824
1984,North Rhine-Westphalia,4th Quintile,(1a) Inadequately completed,0.01964,50,537,0.00789,0.03139
1984,North Rhine-Westphalia,4th Quintile,(1b) General Elementary School,0.13344,117,537,0.10465,0.16222
1984,North Rhine-Westphalia,4th Quintile,(1c) Basic Vocational Qualification,0.35424,250,537,0.31375,0.39473
1984,North Rhine-Westphalia,4th Quintile,(2) Intermediate General/Vocational Qualification,0.18320,120,537,0.15045,0.21595
1984,North Rhine-Westphalia,5th Quintile,(1b) General Elementary School,0.08194,58,565,0.05931,0.10458
1984,North Rhine-Westphalia,5th Quintile,(1c) Basic Vocational Qualification,0.31958,212,565,0.28110,0.35807
1984,North Rhine-Westphalia,5th Quintile,(2) Intermediate General/Vocational Qualification,0.21507,143,565,0.18116,0.24898
1984,North Rhine-Westphalia,5th Quintile,(2c_voc) Vocational Maturity Certificate,0.06838,48,565,0.04755,0.08921
1984,North Rhine-Westphalia,5th Quintile,(3a) Lower Tertiary Education,0.05427,34,565,0.03557,0.07297
1984,North Rhine-Westphalia,5th Quintile,(3b) Higher Tertiary Education,0.09995,70,565,0.07519,0.12470
1984,Hesse,1st Quintile,(1a) Inadequately completed,0.04719,43,194,0.01728,0.07711
1984,Hesse,1st Quintile,(1b) General Elementary School,0.25475,94,194,0.19328,0.31623
1984,Hesse,1st Quintile,(1c) Basic Vocational Qualification,0.23834,57,194,0.17823,0.29846
1984,Hesse,2nd Quintile,(1b) General Elementary School,0.26141,74,148,0.19037,0.33244
1984,Hesse,2nd Quintile,(1c) Basic Vocational Qualification,0.33141,74,148,0.25532,0.40751
1984,Hesse,3rd Quintile,(1b) General Elementary School,0.23776,55,129,0.16401,0.31151
1984,Hesse,3rd Quintile,(1c) Basic Vocational Qualification,0.34570,74,129,0.26330,0.42809
1984,Hesse,4th Quintile,(1b) General Elementary School,0.15861,52,175,0.10433,0.21289
1984,Hesse,4th Quintile,(1c) Basic Vocational Qualification,0.30904,80,175,0.24038,0.37770
1984,Hesse,4th Quintile,(2) Intermediate General/Vocational Qualification,0.18489,43,175,0.12720,0.24257
1984,Hesse,5th Quintile,(1b) General Elementary School,0.10454,40,222,0.06420,0.14488
1984,Hesse,5th Quintile,(1c) Basic Vocational Qualification,0.30929,105,222,0.24835,0.37023
1984,Hesse,5th Quintile,(2) Intermediate General/Vocational Qualification,0.26706,77,222,0.20873,0.32539
1984,"Rhineland-Palatinate, Saarland",1st Quintile,(1b) General Elementary School,0.38295,78,134,0.30034,0.46557
1984,"Rhineland-Palatinate, Saarland",1st Quintile,(1c) Basic Vocational Qualification,0.27273,56,134,0.19704,0.34843
1984,"Rhineland-Palatinate, Saarland",2nd Quintile,(1b) General Elementary School,0.34523,74,149,0.26863,0.42183
1984,"Rhineland-Palatinate, Saarland",2nd Quintile,(1c) Basic Vocational Qualification,0.33024,75,149,0.25447,0.40601
1984,"Rhineland-Palatinate, Saarland",3rd Quintile,(1b) General Elementary School,0.29989,70,139,0.22344,0.37634
1984,"Rhineland-Palatinate, Saarland",3rd Quintile,(1c) Basic Vocational Qualification,0.34717,69,139,0.26774,0.42660
1984,"Rhineland-Palatinate, Saarland",4th Quintile,(1b) General Elementary School,0.18583,32,131,0.11897,0.25270
1984,"Rhineland-Palatinate, Saarland",4th Quintile,(1c) Basic Vocational Qualification,0.37500,62,131,0.29177,0.45822
1984,"Rhineland-Palatinate, Saarland",4th Quintile,(2) Intermediate General/Vocational Qualification,0.23471,37,131,0.16185,0.30756
1984,"Rhineland-Palatinate, Saarland",5th Quintile,(1c) Basic Vocational Qualification,0.44311,63,63,0.31946,0.56676
1984,Baden-Wuerttemberg,1st Quintile,(1a) Inadequately completed,0.03586,78,333,0.01586,0.05586
1984,Baden-Wuerttemberg,1st Quintile,(1b) General Elementary School,0.34478,150,333,0.29366,0.39591
1984,Baden-Wuerttemberg,1st Quintile,(1c) Basic Vocational Qualification,0.22772,105,333,0.18261,0.27284
1984,Baden-Wuerttemberg,2nd Quintile,(1a) Inadequately completed,0.02943,78,424,0.01333,0.04554
1984,Baden-Wuerttemberg,2nd Quintile,(1b) General Elementary School,0.25658,159,424,0.21496,0.29820
1984,Baden-Wuerttemberg,2nd Quintile,(1c) Basic Vocational Qualification,0.28033,142,424,0.23753,0.32314
1984,Baden-Wuerttemberg,2nd Quintile,(2) Intermediate General/Vocational Qualification,0.10344,45,424,0.07442,0.13246
1984,Baden-Wuerttemberg,3rd Quintile,(1a) Inadequately completed,0.01771,56,412,0.00496,0.03046
