year,pgisced97,quintil_oecd,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Primary Level,1st Quintile,(1a) Inadequately completed,0.92137,351,351,0.89317,0.94957
1984,Primary Level,2nd Quintile,(1a) Inadequately completed,0.88703,230,230,0.84603,0.92803
1984,Primary Level,3rd Quintile,(1a) Inadequately completed,0.82341,152,152,0.76259,0.88423
1984,Primary Level,4th Quintile,(1a) Inadequately completed,0.91410,158,158,0.87027,0.95794
1984,Primary Level,5th Quintile,(1a) Inadequately completed,0.99663,82,82,0.98401,1.00925
1984,Lower Secondary Level,1st Quintile,(1b) General Elementary School,0.89922,860,939,0.87995,0.91848
1984,Lower Secondary Level,1st Quintile,(2) Intermediate General/Vocational Qualification,0.10078,79,939,0.08152,0.12005
1984,Lower Secondary Level,2nd Quintile,(1b) General Elementary School,0.87053,731,828,0.84764,0.89341
1984,Lower Secondary Level,2nd Quintile,(2) Intermediate General/Vocational Qualification,0.12947,97,828,0.10659,0.15236
1984,Lower Secondary Level,3rd Quintile,(1b) General Elementary School,0.82992,593,704,0.80215,0.85770
1984,Lower Secondary Level,3rd Quintile,(2) Intermediate General/Vocational Qualification,0.17008,111,704,0.14230,0.19785
1984,Lower Secondary Level,4th Quintile,(1b) General Elementary School,0.80386,488,586,0.77168,0.83604
1984,Lower Secondary Level,4th Quintile,(2) Intermediate General/Vocational Qualification,0.19614,98,586,0.16396,0.22832
1984,Lower Secondary Level,5th Quintile,(1b) General Elementary School,0.72814,293,385,0.68364,0.77264
1984,Lower Secondary Level,5th Quintile,(2) Intermediate General/Vocational Qualification,0.27186,92,385,0.22736,0.31636
1984,Upper Secondary Level,1st Quintile,(1c) Basic Vocational Qualification,0.77977,673,880,0.75238,0.80717
1984,Upper Secondary Level,1st Quintile,(2) Intermediate General/Vocational Qualification,0.09796,76,880,0.07831,0.11762
1984,Upper Secondary Level,1st Quintile,(2c_gen) General Maturity Certificate,0.11625,131,880,0.09506,0.13744
1984,Upper Secondary Level,2nd Quintile,(1a) Inadequately completed,0.00857,38,1095,0.00311,0.01404
1984,Upper Secondary Level,2nd Quintile,(1c) Basic Vocational Qualification,0.78162,824,1095,0.75714,0.80610
