year,age_gr,migback,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,No migration background,(0) No qualification (yet),0.06849,159,2343,0.05826,0.07872
1984,17-29 y.,No migration background,(1a) Inadequately completed,0.01699,39,2343,0.01176,0.02223
1984,17-29 y.,No migration background,(1b) General Elementary School,0.13848,322,2343,0.12449,0.15246
1984,17-29 y.,No migration background,(1c) Basic Vocational Qualification,0.27263,639,2343,0.25459,0.29067
1984,17-29 y.,No migration background,(2) Intermediate General/Vocational Qualification,0.31018,728,2343,0.29145,0.32892
1984,17-29 y.,No migration background,(2c_gen) General Maturity Certificate,0.10473,244,2343,0.09233,0.11713
1984,17-29 y.,No migration background,(2c_voc) Vocational Maturity Certificate,0.04811,113,2343,0.03945,0.05678
1984,17-29 y.,No migration background,(3a) Lower Tertiary Education,0.01264,33,2343,0.00812,0.01717
1984,17-29 y.,No migration background,(3b) Higher Tertiary Education,0.02511,66,2343,0.01877,0.03145
1984,17-29 y.,Direct migration background,(1a) Inadequately completed,0.12537,170,931,0.10408,0.14665
1984,17-29 y.,Direct migration background,(1b) General Elementary School,0.27667,359,931,0.24792,0.30542
1984,17-29 y.,Direct migration background,(1c) Basic Vocational Qualification,0.24294,215,931,0.21538,0.27051
1984,17-29 y.,Direct migration background,(2) Intermediate General/Vocational Qualification,0.11401,68,931,0.09359,0.13444
1984,17-29 y.,Direct migration background,(2c_gen) General Maturity Certificate,0.08830,75,931,0.07006,0.10654
1984,17-29 y.,Direct migration background,(2c_voc) Vocational Maturity Certificate,0.07949,44,931,0.06210,0.09687
1984,30-45 y.,No migration background,(1b) General Elementary School,0.14547,364,2456,0.13152,0.15942
1984,30-45 y.,No migration background,(1c) Basic Vocational Qualification,0.49331,1215,2456,0.47353,0.51308
1984,30-45 y.,No migration background,(2) Intermediate General/Vocational Qualification,0.19028,483,2456,0.17475,0.20580
1984,30-45 y.,No migration background,(2c_voc) Vocational Maturity Certificate,0.02933,74,2456,0.02265,0.03600
1984,30-45 y.,No migration background,(3a) Lower Tertiary Education,0.04040,103,2456,0.03261,0.04819
1984,30-45 y.,No migration background,(3b) Higher Tertiary Education,0.08685,217,2456,0.07571,0.09799
1984,30-45 y.,Direct migration background,(1a) Inadequately completed,0.21017,433,1350,0.18843,0.23191
1984,30-45 y.,Direct migration background,(1b) General Elementary School,0.23409,404,1350,0.21149,0.25668
1984,30-45 y.,Direct migration background,(1c) Basic Vocational Qualification,0.27985,313,1350,0.25589,0.30380
1984,30-45 y.,Direct migration background,(2) Intermediate General/Vocational Qualification,0.07287,34,1350,0.05900,0.08674
1984,30-45 y.,Direct migration background,(2c_gen) General Maturity Certificate,0.03311,38,1350,0.02357,0.04266
1984,30-45 y.,Direct migration background,(2c_voc) Vocational Maturity Certificate,0.06952,77,1350,0.05594,0.08309
1984,30-45 y.,Direct migration background,(3b) Higher Tertiary Education,0.06545,51,1350,0.05225,0.07865
1984,46-65 y.,No migration background,(1b) General Elementary School,0.30782,792,2575,0.28998,0.32565
1984,46-65 y.,No migration background,(1c) Basic Vocational Qualification,0.45232,1179,2575,0.43309,0.47155
1984,46-65 y.,No migration background,(2) Intermediate General/Vocational Qualification,0.12985,336,2575,0.11686,0.14283
1984,46-65 y.,No migration background,(2c_voc) Vocational Maturity Certificate,0.03086,82,2575,0.02418,0.03755
1984,46-65 y.,No migration background,(3a) Lower Tertiary Education,0.03268,84,2575,0.02581,0.03955
1984,46-65 y.,No migration background,(3b) Higher Tertiary Education,0.03787,102,2575,0.03050,0.04524
1984,46-65 y.,Direct migration background,(1a) Inadequately completed,0.19500,407,857,0.16846,0.22154
1984,46-65 y.,Direct migration background,(1b) General Elementary School,0.28014,234,857,0.25006,0.31023
1984,46-65 y.,Direct migration background,(1c) Basic Vocational Qualification,0.29147,182,857,0.26103,0.32192
1984,46-65 y.,Direct migration background,(2) Intermediate General/Vocational Qualification,0.11601,34,857,0.09456,0.13746
1984,66 and older,No migration background,(1b) General Elementary School,0.38751,469,1188,0.35979,0.41522
1984,66 and older,No migration background,(1c) Basic Vocational Qualification,0.37736,469,1188,0.34978,0.40494
1984,66 and older,No migration background,(2) Intermediate General/Vocational Qualification,0.14321,172,1188,0.12328,0.16313
1984,66 and older,No migration background,(2c_voc) Vocational Maturity Certificate,0.02975,40,1188,0.02009,0.03942
1984,66 and older,No migration background,(3b) Higher Tertiary Education,0.03060,38,1188,0.02080,0.04040
1985,17-29 y.,No migration background,(0) No qualification (yet),0.07268,155,2169,0.06175,0.08361
1985,17-29 y.,No migration background,(1a) Inadequately completed,0.01934,41,2169,0.01354,0.02513
1985,17-29 y.,No migration background,(1b) General Elementary School,0.13876,304,2169,0.12421,0.15331
