year,sex,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,male,(0) No qualification (yet),0.01725,95,5910,0.01393,0.02057
1984,male,(1a) Inadequately completed,0.02335,478,5910,0.01950,0.02720
1984,male,(1b) General Elementary School,0.12837,977,5910,0.11984,0.13690
1984,male,(1c) Basic Vocational Qualification,0.48504,2523,5910,0.47230,0.49779
1984,male,(2) Intermediate General/Vocational Qualification,0.15814,785,5910,0.14884,0.16744
1984,male,(2c_gen) General Maturity Certificate,0.03748,238,5910,0.03264,0.04232
1984,male,(2c_voc) Vocational Maturity Certificate,0.04667,279,5910,0.04129,0.05204
1984,male,(3a) Lower Tertiary Education,0.04073,192,5910,0.03569,0.04577
1984,male,(3b) Higher Tertiary Education,0.06297,343,5910,0.05677,0.06916
1984,female,(0) No qualification (yet),0.01480,93,6163,0.01178,0.01781
1984,female,(1a) Inadequately completed,0.02471,615,6163,0.02084,0.02859
1984,female,(1b) General Elementary School,0.34493,2018,6163,0.33307,0.35680
1984,female,(1c) Basic Vocational Qualification,0.31103,1731,6163,0.29947,0.32258
1984,female,(2) Intermediate General/Vocational Qualification,0.20783,1100,6163,0.19770,0.21796
1984,female,(2c_gen) General Maturity Certificate,0.02461,177,6163,0.02074,0.02848
1984,female,(2c_voc) Vocational Maturity Certificate,0.02719,174,6163,0.02313,0.03126
1984,female,(3a) Lower Tertiary Education,0.01346,74,6163,0.01059,0.01634
1984,female,(3b) Higher Tertiary Education,0.03143,181,6163,0.02708,0.03579
1985,male,(0) No qualification (yet),0.02289,112,5354,0.01888,0.02689
1985,male,(1a) Inadequately completed,0.02331,388,5354,0.01927,0.02735
1985,male,(1b) General Elementary School,0.12391,866,5354,0.11508,0.13274
1985,male,(1c) Basic Vocational Qualification,0.47519,2262,5354,0.46181,0.48857
1985,male,(2) Intermediate General/Vocational Qualification,0.16526,754,5354,0.15531,0.17521
1985,male,(2c_gen) General Maturity Certificate,0.03523,215,5354,0.03029,0.04017
1985,male,(2c_voc) Vocational Maturity Certificate,0.04718,248,5354,0.04150,0.05286
1985,male,(3a) Lower Tertiary Education,0.04056,177,5354,0.03528,0.04585
1985,male,(3b) Higher Tertiary Education,0.06648,332,5354,0.05980,0.07315
1985,female,(0) No qualification (yet),0.01317,75,5531,0.01017,0.01618
1985,female,(1a) Inadequately completed,0.02399,512,5531,0.01996,0.02802
1985,female,(1b) General Elementary School,0.33266,1750,5531,0.32024,0.34508
1985,female,(1c) Basic Vocational Qualification,0.30866,1563,5531,0.29648,0.32083
1985,female,(2) Intermediate General/Vocational Qualification,0.22106,1061,5531,0.21012,0.23199
1985,female,(2c_gen) General Maturity Certificate,0.02423,162,5531,0.02018,0.02828
1985,female,(2c_voc) Vocational Maturity Certificate,0.02892,162,5531,0.02450,0.03334
1985,female,(3a) Lower Tertiary Education,0.01411,71,5531,0.01100,0.01722
1985,female,(3b) Higher Tertiary Education,0.03320,175,5531,0.02848,0.03792
1986,male,(0) No qualification (yet),0.01987,116,5171,0.01606,0.02367
1986,male,(1a) Inadequately completed,0.02339,364,5171,0.01927,0.02751
1986,male,(1b) General Elementary School,0.12205,848,5171,0.11313,0.13097
1986,male,(1c) Basic Vocational Qualification,0.46733,2130,5171,0.45373,0.48094
1986,male,(2) Intermediate General/Vocational Qualification,0.17006,738,5171,0.15982,0.18030
1986,male,(2c_gen) General Maturity Certificate,0.04069,231,5171,0.03531,0.04608
1986,male,(2c_voc) Vocational Maturity Certificate,0.04680,239,5171,0.04105,0.05256
1986,male,(3a) Lower Tertiary Education,0.04275,177,5171,0.03724,0.04827
1986,male,(3b) Higher Tertiary Education,0.06705,328,5171,0.06023,0.07387
1986,female,(0) No qualification (yet),0.01063,73,5276,0.00786,0.01340
1986,female,(1a) Inadequately completed,0.02468,475,5276,0.02050,0.02887
1986,female,(1b) General Elementary School,0.32020,1622,5276,0.30761,0.33279
1986,female,(1c) Basic Vocational Qualification,0.31035,1490,5276,0.29786,0.32283
1986,female,(2) Intermediate General/Vocational Qualification,0.22552,1034,5276,0.21424,0.23680
1986,female,(2c_gen) General Maturity Certificate,0.02837,168,5276,0.02389,0.03286
1986,female,(2c_voc) Vocational Maturity Certificate,0.03183,170,5276,0.02709,0.03656
1986,female,(3a) Lower Tertiary Education,0.01478,70,5276,0.01152,0.01803
1986,female,(3b) Higher Tertiary Education,0.03364,174,5276,0.02877,0.03851
1987,male,(0) No qualification (yet),0.01488,102,5098,0.01156,0.01821
1987,male,(1a) Inadequately completed,0.02337,353,5098,0.01922,0.02752
1987,male,(1b) General Elementary School,0.11762,843,5098,0.10878,0.12647
1987,male,(1c) Basic Vocational Qualification,0.47367,2107,5098,0.45997,0.48738
1987,male,(2) Intermediate General/Vocational Qualification,0.17020,745,5098,0.15989,0.18052
1987,male,(2c_gen) General Maturity Certificate,0.04241,227,5098,0.03687,0.04794
1987,male,(2c_voc) Vocational Maturity Certificate,0.04670,227,5098,0.04091,0.05249
1987,male,(3a) Lower Tertiary Education,0.04399,176,5098,0.03836,0.04962
1987,male,(3b) Higher Tertiary Education,0.06715,318,5098,0.06028,0.07402
1987,female,(0) No qualification (yet),0.01281,90,5202,0.00975,0.01586
1987,female,(1a) Inadequately completed,0.02363,458,5202,0.01950,0.02775
1987,female,(1b) General Elementary School,0.31747,1592,5202,0.30482,0.33012
1987,female,(1c) Basic Vocational Qualification,0.31222,1474,5202,0.29962,0.32481
1987,female,(2) Intermediate General/Vocational Qualification,0.22341,1014,5202,0.21209,0.23473
1987,female,(2c_gen) General Maturity Certificate,0.02485,152,5202,0.02062,0.02908
1987,female,(2c_voc) Vocational Maturity Certificate,0.03360,174,5202,0.02871,0.03850
1987,female,(3a) Lower Tertiary Education,0.01607,73,5202,0.01265,0.01949
1987,female,(3b) Higher Tertiary Education,0.03595,175,5202,0.03089,0.04101
1988,male,(0) No qualification (yet),0.01636,90,4843,0.01279,0.01994
1988,male,(1a) Inadequately completed,0.02105,309,4843,0.01700,0.02509
1988,male,(1b) General Elementary School,0.11948,836,4843,0.11035,0.12862
1988,male,(1c) Basic Vocational Qualification,0.47437,2003,4843,0.46031,0.48844
1988,male,(2) Intermediate General/Vocational Qualification,0.16537,697,4843,0.15490,0.17583
1988,male,(2c_gen) General Maturity Certificate,0.04374,218,4843,0.03798,0.04950
1988,male,(2c_voc) Vocational Maturity Certificate,0.04711,218,4843,0.04114,0.05308
1988,male,(3a) Lower Tertiary Education,0.04416,167,4843,0.03837,0.04995
1988,male,(3b) Higher Tertiary Education,0.06836,305,4843,0.06125,0.07546
1988,female,(0) No qualification (yet),0.01208,73,4949,0.00903,0.01512
1988,female,(1a) Inadequately completed,0.02269,436,4949,0.01854,0.02684
1988,female,(1b) General Elementary School,0.30759,1487,4949,0.29473,0.32045
1988,female,(1c) Basic Vocational Qualification,0.31659,1418,4949,0.30363,0.32955
1988,female,(2) Intermediate General/Vocational Qualification,0.22996,1004,4949,0.21824,0.24169
1988,female,(2c_gen) General Maturity Certificate,0.02311,131,4949,0.01892,0.02729
1988,female,(2c_voc) Vocational Maturity Certificate,0.03595,170,4949,0.03076,0.04113
1988,female,(3a) Lower Tertiary Education,0.01468,66,4949,0.01133,0.01803
1988,female,(3b) Higher Tertiary Education,0.03736,164,4949,0.03208,0.04265
1989,male,(0) No qualification (yet),0.02021,91,4677,0.01618,0.02425
1989,male,(1a) Inadequately completed,0.02068,294,4677,0.01660,0.02476
1989,male,(1b) General Elementary School,0.11836,790,4677,0.10910,0.12762
1989,male,(1c) Basic Vocational Qualification,0.46289,1911,4677,0.44860,0.47718
1989,male,(2) Intermediate General/Vocational Qualification,0.16493,674,4677,0.15429,0.17557
1989,male,(2c_gen) General Maturity Certificate,0.04506,225,4677,0.03911,0.05100
1989,male,(2c_voc) Vocational Maturity Certificate,0.04938,220,4677,0.04317,0.05559
1989,male,(3a) Lower Tertiary Education,0.04652,170,4677,0.04049,0.05256
1989,male,(3b) Higher Tertiary Education,0.07197,302,4677,0.06456,0.07937
1989,female,(0) No qualification (yet),0.01380,85,4808,0.01050,0.01710
1989,female,(1a) Inadequately completed,0.02435,418,4808,0.02000,0.02871
1989,female,(1b) General Elementary School,0.30041,1414,4808,0.28745,0.31336
1989,female,(1c) Basic Vocational Qualification,0.31691,1379,4808,0.30376,0.33007
1989,female,(2) Intermediate General/Vocational Qualification,0.22936,977,4808,0.21748,0.24125
1989,female,(2c_gen) General Maturity Certificate,0.02264,127,4808,0.01844,0.02685
1989,female,(2c_voc) Vocational Maturity Certificate,0.03867,182,4808,0.03322,0.04413
1989,female,(3a) Lower Tertiary Education,0.01458,62,4808,0.01119,0.01797
1989,female,(3b) Higher Tertiary Education,0.03926,164,4808,0.03377,0.04475
1990,male,(0) No qualification (yet),0.01455,93,6670,0.01168,0.01743
1990,male,(1a) Inadequately completed,0.02064,313,6670,0.01723,0.02405
1990,male,(1b) General Elementary School,0.09919,813,6670,0.09202,0.10637
1990,male,(1c) Basic Vocational Qualification,0.43574,2544,6670,0.42384,0.44764
1990,male,(2) Intermediate General/Vocational Qualification,0.20668,1479,6670,0.19696,0.21640
1990,male,(2c_gen) General Maturity Certificate,0.03768,226,6670,0.03311,0.04225
1990,male,(2c_voc) Vocational Maturity Certificate,0.04683,278,6670,0.04176,0.05190
1990,male,(3a) Lower Tertiary Education,0.06017,425,6670,0.05446,0.06588
1990,male,(3b) Higher Tertiary Education,0.07851,499,6670,0.07205,0.08496
1990,female,(0) No qualification (yet),0.00971,70,7008,0.00742,0.01201
1990,female,(1a) Inadequately completed,0.02178,414,7008,0.01836,0.02520
1990,female,(1b) General Elementary School,0.26682,1657,7008,0.25646,0.27718
1990,female,(1c) Basic Vocational Qualification,0.31667,2006,7008,0.30578,0.32756
1990,female,(2) Intermediate General/Vocational Qualification,0.24440,1721,7008,0.23434,0.25447
1990,female,(2c_gen) General Maturity Certificate,0.02077,157,7008,0.01743,0.02411
1990,female,(2c_voc) Vocational Maturity Certificate,0.03369,216,7008,0.02947,0.03792
1990,female,(3a) Lower Tertiary Education,0.04346,464,7008,0.03868,0.04823
1990,female,(3b) Higher Tertiary Education,0.04269,303,7008,0.03796,0.04742
1991,male,(0) No qualification (yet),0.01237,84,6526,0.00969,0.01505
1991,male,(1a) Inadequately completed,0.02104,305,6526,0.01756,0.02453
1991,male,(1b) General Elementary School,0.09752,792,6526,0.09032,0.10471
1991,male,(1c) Basic Vocational Qualification,0.42745,2469,6526,0.41545,0.43945
1991,male,(2) Intermediate General/Vocational Qualification,0.20811,1441,6526,0.19826,0.21796
1991,male,(2c_gen) General Maturity Certificate,0.03636,226,6526,0.03182,0.04090
1991,male,(2c_voc) Vocational Maturity Certificate,0.04918,285,6526,0.04394,0.05443
1991,male,(3a) Lower Tertiary Education,0.06433,423,6526,0.05838,0.07029
1991,male,(3b) Higher Tertiary Education,0.08363,501,6526,0.07691,0.09034
1991,female,(0) No qualification (yet),0.01036,69,6826,0.00795,0.01276
1991,female,(1a) Inadequately completed,0.02371,421,6826,0.02010,0.02732
1991,female,(1b) General Elementary School,0.25619,1557,6826,0.24583,0.26654
1991,female,(1c) Basic Vocational Qualification,0.31426,1938,6826,0.30325,0.32527
1991,female,(2) Intermediate General/Vocational Qualification,0.24966,1708,6826,0.23939,0.25993
1991,female,(2c_gen) General Maturity Certificate,0.02034,160,6826,0.01699,0.02369
1991,female,(2c_voc) Vocational Maturity Certificate,0.03462,219,6826,0.03029,0.03896
1991,female,(3a) Lower Tertiary Education,0.04667,461,6826,0.04167,0.05168
1991,female,(3b) Higher Tertiary Education,0.04419,293,6826,0.03931,0.04906
1992,male,(0) No qualification (yet),0.01162,73,6349,0.00898,0.01426
1992,male,(1a) Inadequately completed,0.02235,303,6349,0.01871,0.02599
1992,male,(1b) General Elementary School,0.09782,778,6349,0.09051,0.10513
1992,male,(1c) Basic Vocational Qualification,0.42389,2386,6349,0.41173,0.43605
1992,male,(2) Intermediate General/Vocational Qualification,0.20853,1395,6349,0.19854,0.21852
1992,male,(2c_gen) General Maturity Certificate,0.03445,214,6349,0.02996,0.03894
1992,male,(2c_voc) Vocational Maturity Certificate,0.05160,289,6349,0.04615,0.05704
1992,male,(3a) Lower Tertiary Education,0.06415,415,6349,0.05813,0.07018
1992,male,(3b) Higher Tertiary Education,0.08559,496,6349,0.07871,0.09247
1992,female,(0) No qualification (yet),0.00956,74,6718,0.00723,0.01189
1992,female,(1a) Inadequately completed,0.02596,422,6718,0.02216,0.02977
1992,female,(1b) General Elementary School,0.24921,1491,6718,0.23887,0.25956
1992,female,(1c) Basic Vocational Qualification,0.31155,1885,6718,0.30047,0.32263
1992,female,(2) Intermediate General/Vocational Qualification,0.25180,1708,6718,0.24142,0.26218
1992,female,(2c_gen) General Maturity Certificate,0.02400,165,6718,0.02034,0.02766
1992,female,(2c_voc) Vocational Maturity Certificate,0.03562,229,6718,0.03118,0.04005
1992,female,(3a) Lower Tertiary Education,0.04701,451,6718,0.04195,0.05207
1992,female,(3b) Higher Tertiary Education,0.04529,293,6718,0.04032,0.05026
1993,male,(0) No qualification (yet),0.01031,58,6245,0.00781,0.01282
1993,male,(1a) Inadequately completed,0.02522,310,6245,0.02133,0.02911
1993,male,(1b) General Elementary School,0.09564,745,6245,0.08834,0.10293
1993,male,(1c) Basic Vocational Qualification,0.41715,2333,6245,0.40492,0.42938
1993,male,(2) Intermediate General/Vocational Qualification,0.21460,1395,6245,0.20442,0.22478
1993,male,(2c_gen) General Maturity Certificate,0.03304,212,6245,0.02861,0.03748
1993,male,(2c_voc) Vocational Maturity Certificate,0.04878,283,6245,0.04344,0.05412
