year,age_gr,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,(0) No qualification (yet),0.06405,188,3414,0.05584,0.07227
1984,17-29 y.,(1a) Inadequately completed,0.02761,213,3414,0.02211,0.03311
1984,17-29 y.,(1b) General Elementary School,0.15339,710,3414,0.14130,0.16548
1984,17-29 y.,(1c) Basic Vocational Qualification,0.27016,874,3414,0.25526,0.28506
1984,17-29 y.,(2) Intermediate General/Vocational Qualification,0.29233,817,3414,0.27707,0.30759
1984,17-29 y.,(2c_gen) General Maturity Certificate,0.10301,326,3414,0.09281,0.11321
1984,17-29 y.,(2c_voc) Vocational Maturity Certificate,0.05100,158,3414,0.04362,0.05838
1984,17-29 y.,(3a) Lower Tertiary Education,0.01244,39,3414,0.00872,0.01616
1984,17-29 y.,(3b) Higher Tertiary Education,0.02599,89,3414,0.02065,0.03133
1984,30-45 y.,(1a) Inadequately completed,0.03174,445,3865,0.02622,0.03727
1984,30-45 y.,(1b) General Elementary School,0.15830,773,3865,0.14679,0.16980
1984,30-45 y.,(1c) Basic Vocational Qualification,0.46702,1537,3865,0.45129,0.48275
1984,30-45 y.,(2) Intermediate General/Vocational Qualification,0.17528,521,3865,0.16329,0.18727
1984,30-45 y.,(2c_gen) General Maturity Certificate,0.01132,60,3865,0.00799,0.01466
1984,30-45 y.,(2c_voc) Vocational Maturity Certificate,0.03479,151,3865,0.02902,0.04057
1984,30-45 y.,(3a) Lower Tertiary Education,0.03743,110,3865,0.03145,0.04342
1984,30-45 y.,(3b) Higher Tertiary Education,0.08411,268,3865,0.07536,0.09286
1984,46-65 y.,(1a) Inadequately completed,0.02281,417,3507,0.01787,0.02775
1984,46-65 y.,(1b) General Elementary School,0.30580,1029,3507,0.29055,0.32105
1984,46-65 y.,(1c) Basic Vocational Qualification,0.43790,1367,3507,0.42148,0.45432
1984,46-65 y.,(2) Intermediate General/Vocational Qualification,0.12860,370,3507,0.11752,0.13968
1984,46-65 y.,(2c_voc) Vocational Maturity Certificate,0.02996,103,3507,0.02431,0.03560
1984,46-65 y.,(3a) Lower Tertiary Education,0.03323,94,3507,0.02729,0.03916
1984,46-65 y.,(3b) Higher Tertiary Education,0.03854,127,3507,0.03217,0.04491
1984,66 and older,(1b) General Elementary School,0.39000,483,1217,0.36258,0.41741
1984,66 and older,(1c) Basic Vocational Qualification,0.37414,476,1217,0.34694,0.40133
1984,66 and older,(2) Intermediate General/Vocational Qualification,0.14390,177,1217,0.12418,0.16363
1984,66 and older,(2c_voc) Vocational Maturity Certificate,0.02912,41,1217,0.01967,0.03857
1984,66 and older,(3b) Higher Tertiary Education,0.03096,40,1217,0.02122,0.04069
1985,17-29 y.,(0) No qualification (yet),0.07073,187,3071,0.06166,0.07979
1985,17-29 y.,(1a) Inadequately completed,0.02751,164,3071,0.02173,0.03330
1985,17-29 y.,(1b) General Elementary School,0.15306,623,3071,0.14033,0.16580
1985,17-29 y.,(1c) Basic Vocational Qualification,0.24959,746,3071,0.23429,0.26490
1985,17-29 y.,(2) Intermediate General/Vocational Qualification,0.30954,791,3071,0.29318,0.32589
1985,17-29 y.,(2c_gen) General Maturity Certificate,0.09634,299,3071,0.08590,0.10678
1985,17-29 y.,(2c_voc) Vocational Maturity Certificate,0.05350,141,3071,0.04554,0.06146
1985,17-29 y.,(3a) Lower Tertiary Education,0.01280,35,3071,0.00883,0.01678
1985,17-29 y.,(3b) Higher Tertiary Education,0.02692,85,3071,0.02120,0.03265
1985,30-45 y.,(1a) Inadequately completed,0.02958,352,3433,0.02391,0.03525
1985,30-45 y.,(1b) General Elementary School,0.14308,650,3433,0.13137,0.15480
1985,30-45 y.,(1c) Basic Vocational Qualification,0.46232,1379,3433,0.44564,0.47900
1985,30-45 y.,(2) Intermediate General/Vocational Qualification,0.18549,501,3433,0.17249,0.19849
1985,30-45 y.,(2c_gen) General Maturity Certificate,0.01128,51,3433,0.00775,0.01481
1985,30-45 y.,(2c_voc) Vocational Maturity Certificate,0.03806,137,3433,0.03166,0.04446
1985,30-45 y.,(3a) Lower Tertiary Education,0.03827,105,3433,0.03185,0.04469
1985,30-45 y.,(3b) Higher Tertiary Education,0.09192,258,3433,0.08225,0.10158
1985,46-65 y.,(1a) Inadequately completed,0.02264,367,3256,0.01753,0.02775
1985,46-65 y.,(1b) General Elementary School,0.30111,947,3256,0.28535,0.31686
1985,46-65 y.,(1c) Basic Vocational Qualification,0.43709,1272,3256,0.42005,0.45413
1985,46-65 y.,(2) Intermediate General/Vocational Qualification,0.13336,358,3256,0.12168,0.14503
1985,46-65 y.,(2c_voc) Vocational Maturity Certificate,0.02873,96,3256,0.02299,0.03447
1985,46-65 y.,(3a) Lower Tertiary Education,0.03160,84,3256,0.02559,0.03761
1985,46-65 y.,(3b) Higher Tertiary Education,0.04197,132,3256,0.03508,0.04885
1985,66 and older,(1b) General Elementary School,0.36564,396,1057,0.33659,0.39469
1985,66 and older,(1c) Basic Vocational Qualification,0.38277,428,1057,0.35345,0.41209
1985,66 and older,(2) Intermediate General/Vocational Qualification,0.15471,165,1057,0.13290,0.17652
1985,66 and older,(2c_voc) Vocational Maturity Certificate,0.02960,36,1057,0.01938,0.03983
1985,66 and older,(3b) Higher Tertiary Education,0.02913,32,1057,0.01899,0.03927
1986,17-29 y.,(0) No qualification (yet),0.06030,189,2987,0.05176,0.06883
1986,17-29 y.,(1a) Inadequately completed,0.02834,158,2987,0.02239,0.03429
1986,17-29 y.,(1b) General Elementary School,0.15367,621,2987,0.14074,0.16661
1986,17-29 y.,(1c) Basic Vocational Qualification,0.24580,704,2987,0.23035,0.26124
1986,17-29 y.,(2) Intermediate General/Vocational Qualification,0.30800,769,2987,0.29144,0.32456
1986,17-29 y.,(2c_gen) General Maturity Certificate,0.11461,318,2987,0.10318,0.12603
1986,17-29 y.,(2c_voc) Vocational Maturity Certificate,0.05335,134,2987,0.04529,0.06141
1986,17-29 y.,(3a) Lower Tertiary Education,0.01454,35,2987,0.01024,0.01883
1986,17-29 y.,(3b) Higher Tertiary Education,0.02141,59,2987,0.01621,0.02660
1986,30-45 y.,(1a) Inadequately completed,0.02885,309,3230,0.02308,0.03462
1986,30-45 y.,(1b) General Elementary School,0.13136,584,3230,0.11971,0.14301
1986,30-45 y.,(1c) Basic Vocational Qualification,0.45201,1270,3230,0.43484,0.46918
1986,30-45 y.,(2) Intermediate General/Vocational Qualification,0.19316,490,3230,0.17954,0.20678
1986,30-45 y.,(2c_gen) General Maturity Certificate,0.01267,53,3230,0.00881,0.01653
1986,30-45 y.,(2c_voc) Vocational Maturity Certificate,0.04303,148,3230,0.03603,0.05003
1986,30-45 y.,(3a) Lower Tertiary Education,0.03946,102,3230,0.03275,0.04618
1986,30-45 y.,(3b) Higher Tertiary Education,0.09946,274,3230,0.08914,0.10978
1986,46-65 y.,(1a) Inadequately completed,0.02272,351,3178,0.01754,0.02790
1986,46-65 y.,(1b) General Elementary School,0.28777,901,3178,0.27203,0.30352
1986,46-65 y.,(1c) Basic Vocational Qualification,0.44299,1258,3178,0.42572,0.46027
1986,46-65 y.,(2) Intermediate General/Vocational Qualification,0.13973,353,3178,0.12767,0.15178
1986,46-65 y.,(2c_voc) Vocational Maturity Certificate,0.02745,89,3178,0.02177,0.03313
1986,46-65 y.,(3a) Lower Tertiary Education,0.03265,86,3178,0.02647,0.03883
1986,46-65 y.,(3b) Higher Tertiary Education,0.04368,140,3178,0.03658,0.05079
1986,66 and older,(1b) General Elementary School,0.35756,364,950,0.32707,0.38806
1986,66 and older,(1c) Basic Vocational Qualification,0.37645,388,950,0.34562,0.40727
1986,66 and older,(2) Intermediate General/Vocational Qualification,0.16249,160,950,0.13902,0.18596
1986,66 and older,(2c_voc) Vocational Maturity Certificate,0.03323,38,950,0.02182,0.04463
1987,17-29 y.,(0) No qualification (yet),0.05736,192,2925,0.04893,0.06579
1987,17-29 y.,(1a) Inadequately completed,0.02279,128,2925,0.01738,0.02820
1987,17-29 y.,(1b) General Elementary School,0.15167,629,2925,0.13867,0.16467
1987,17-29 y.,(1c) Basic Vocational Qualification,0.24988,692,2925,0.23419,0.26557
1987,17-29 y.,(2) Intermediate General/Vocational Qualification,0.30986,763,2925,0.29309,0.32662
1987,17-29 y.,(2c_gen) General Maturity Certificate,0.11387,299,2925,0.10235,0.12538
1987,17-29 y.,(2c_voc) Vocational Maturity Certificate,0.05756,132,2925,0.04912,0.06600
1987,17-29 y.,(3a) Lower Tertiary Education,0.01685,39,2925,0.01218,0.02151
1987,17-29 y.,(3b) Higher Tertiary Education,0.02017,51,2925,0.01508,0.02527
1987,30-45 y.,(1a) Inadequately completed,0.03173,306,3129,0.02558,0.03787
1987,30-45 y.,(1b) General Elementary School,0.12823,554,3129,0.11651,0.13994
1987,30-45 y.,(1c) Basic Vocational Qualification,0.44279,1215,3129,0.42538,0.46019
1987,30-45 y.,(2) Intermediate General/Vocational Qualification,0.19968,492,3129,0.18567,0.21369
1987,30-45 y.,(2c_gen) General Maturity Certificate,0.01254,53,3129,0.00864,0.01644
1987,30-45 y.,(2c_voc) Vocational Maturity Certificate,0.04580,145,3129,0.03848,0.05313
1987,30-45 y.,(3a) Lower Tertiary Education,0.04047,99,3129,0.03356,0.04737
1987,30-45 y.,(3b) Higher Tertiary Education,0.09877,265,3129,0.08831,0.10922
1987,46-65 y.,(1a) Inadequately completed,0.02494,357,3159,0.01950,0.03038
1987,46-65 y.,(1b) General Elementary School,0.27647,874,3159,0.26087,0.29207
1987,46-65 y.,(1c) Basic Vocational Qualification,0.45390,1269,3159,0.43653,0.47126
1987,46-65 y.,(2) Intermediate General/Vocational Qualification,0.13487,342,3159,0.12296,0.14679
1987,46-65 y.,(2c_voc) Vocational Maturity Certificate,0.02662,87,3159,0.02101,0.03224
1987,46-65 y.,(3a) Lower Tertiary Education,0.03171,83,3159,0.02560,0.03782
1987,46-65 y.,(3b) Higher Tertiary Education,0.04825,147,3159,0.04078,0.05573
1987,66 and older,(1b) General Elementary School,0.35638,378,982,0.32641,0.38635
1987,66 and older,(1c) Basic Vocational Qualification,0.38000,405,982,0.34962,0.41037
1987,66 and older,(2) Intermediate General/Vocational Qualification,0.16064,162,982,0.13767,0.18362
1987,66 and older,(2c_voc) Vocational Maturity Certificate,0.03106,37,982,0.02020,0.04191
1988,17-29 y.,(0) No qualification (yet),0.05991,163,2762,0.05105,0.06876
1988,17-29 y.,(1a) Inadequately completed,0.02085,119,2762,0.01552,0.02618
1988,17-29 y.,(1b) General Elementary School,0.15294,626,2762,0.13952,0.16637
1988,17-29 y.,(1c) Basic Vocational Qualification,0.25132,652,2762,0.23514,0.26750
1988,17-29 y.,(2) Intermediate General/Vocational Qualification,0.30629,728,2762,0.28910,0.32348
1988,17-29 y.,(2c_gen) General Maturity Certificate,0.11369,271,2762,0.10185,0.12553
