year,regtyp,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,(0) No qualification (yet),0.01520,150,8563,0.01261,0.01779
1985,Urban regions,(1a) Inadequately completed,0.02107,792,8563,0.01803,0.02411
1985,Urban regions,(1b) General Elementary School,0.18298,1977,8563,0.17479,0.19117
1985,Urban regions,(1c) Basic Vocational Qualification,0.31930,2916,8563,0.30943,0.32918
1985,Urban regions,(2) Intermediate General/Vocational Qualification,0.16616,1413,8563,0.15828,0.17405
1985,Urban regions,(2c_gen) General Maturity Certificate,0.02885,340,8563,0.02531,0.03240
1985,Urban regions,(2c_voc) Vocational Maturity Certificate,0.03394,342,8563,0.03010,0.03777
1985,Urban regions,(3a) Lower Tertiary Education,0.02448,210,8563,0.02121,0.02776
1985,Urban regions,(3b) Higher Tertiary Education,0.04416,423,8563,0.03981,0.04851
1985,Rural regions,(0) No qualification (yet),0.01348,37,2322,0.00879,0.01817
1985,Rural regions,(1a) Inadequately completed,0.01556,108,2322,0.01053,0.02060
1985,Rural regions,(1b) General Elementary School,0.23232,639,2322,0.21514,0.24951
1985,Rural regions,(1c) Basic Vocational Qualification,0.33127,909,2322,0.31212,0.35042
1985,Rural regions,(2) Intermediate General/Vocational Qualification,0.15012,402,2322,0.13558,0.16465
1985,Rural regions,(2c_gen) General Maturity Certificate,0.01117,37,2322,0.00690,0.01545
1985,Rural regions,(2c_voc) Vocational Maturity Certificate,0.02300,68,2322,0.01690,0.02909
1985,Rural regions,(3a) Lower Tertiary Education,0.01491,38,2322,0.00998,0.01984
1985,Rural regions,(3b) Higher Tertiary Education,0.03010,84,2322,0.02315,0.03705
1986,Urban regions,(0) No qualification (yet),0.01412,166,8236,0.01157,0.01666
1986,Urban regions,(1a) Inadequately completed,0.02121,734,8236,0.01810,0.02432
1986,Urban regions,(1b) General Elementary School,0.17726,1866,8236,0.16901,0.18551
1986,Urban regions,(1c) Basic Vocational Qualification,0.31680,2769,8236,0.30676,0.32685
1986,Urban regions,(2) Intermediate General/Vocational Qualification,0.16887,1386,8236,0.16078,0.17696
1986,Urban regions,(2c_gen) General Maturity Certificate,0.03221,349,8236,0.02840,0.03603
1986,Urban regions,(2c_voc) Vocational Maturity Certificate,0.03508,342,8236,0.03111,0.03906
1986,Urban regions,(3a) Lower Tertiary Education,0.02568,206,8236,0.02226,0.02909
1986,Urban regions,(3b) Higher Tertiary Education,0.04415,418,8236,0.03971,0.04859
1986,Rural regions,(1a) Inadequately completed,0.01628,105,2188,0.01097,0.02158
1986,Rural regions,(1b) General Elementary School,0.22203,604,2188,0.20461,0.23945
1986,Rural regions,(1c) Basic Vocational Qualification,0.32798,851,2188,0.30831,0.34766
1986,Rural regions,(2) Intermediate General/Vocational Qualification,0.15551,386,2188,0.14032,0.17070
1986,Rural regions,(2c_gen) General Maturity Certificate,0.01669,50,2188,0.01132,0.02206
1986,Rural regions,(2c_voc) Vocational Maturity Certificate,0.02382,67,2188,0.01743,0.03022
1986,Rural regions,(3a) Lower Tertiary Education,0.01583,41,2188,0.01060,0.02107
1986,Rural regions,(3b) Higher Tertiary Education,0.03159,84,2188,0.02426,0.03892
1987,Urban regions,(0) No qualification (yet),0.01284,166,8116,0.01039,0.01529
1987,Urban regions,(1a) Inadequately completed,0.02156,713,8116,0.01840,0.02472
1987,Urban regions,(1b) General Elementary School,0.17472,1848,8116,0.16645,0.18298
1987,Urban regions,(1c) Basic Vocational Qualification,0.31908,2734,8116,0.30894,0.32922
1987,Urban regions,(2) Intermediate General/Vocational Qualification,0.16588,1364,8116,0.15779,0.17398
1987,Urban regions,(2c_gen) General Maturity Certificate,0.03061,329,8116,0.02686,0.03436
1987,Urban regions,(2c_voc) Vocational Maturity Certificate,0.03692,344,8116,0.03281,0.04102
1987,Urban regions,(3a) Lower Tertiary Education,0.02646,205,8116,0.02297,0.02995
1987,Urban regions,(3b) Higher Tertiary Education,0.04533,413,8116,0.04080,0.04985
1987,Rural regions,(1a) Inadequately completed,0.01289,98,2158,0.00813,0.01765
1987,Rural regions,(1b) General Elementary School,0.21518,587,2158,0.19784,0.23253
1987,Rural regions,(1c) Basic Vocational Qualification,0.32894,847,2158,0.30911,0.34877
1987,Rural regions,(2) Intermediate General/Vocational Qualification,0.15841,395,2158,0.14300,0.17382
1987,Rural regions,(2c_gen) General Maturity Certificate,0.01753,50,2158,0.01199,0.02307
1987,Rural regions,(2c_voc) Vocational Maturity Certificate,0.02052,57,2158,0.01454,0.02650
1987,Rural regions,(3a) Lower Tertiary Education,0.01722,44,2158,0.01173,0.02271
1987,Rural regions,(3b) Higher Tertiary Education,0.03144,80,2158,0.02407,0.03880
1988,Urban regions,(0) No qualification (yet),0.01225,134,7751,0.00980,0.01469
1988,Urban regions,(1a) Inadequately completed,0.01958,651,7751,0.01650,0.02267
1988,Urban regions,(1b) General Elementary School,0.17070,1787,7751,0.16233,0.17908
1988,Urban regions,(1c) Basic Vocational Qualification,0.31879,2618,7751,0.30842,0.32917
1988,Urban regions,(2) Intermediate General/Vocational Qualification,0.16751,1329,7751,0.15920,0.17583
