year,sampreg,sex,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,male,(0) No qualification (yet),0.01398,95,5910,0.01098,0.01697
1984,West,male,(1a) Inadequately completed,0.01892,478,5910,0.01545,0.02239
1984,West,male,(1b) General Elementary School,0.10400,977,5910,0.09622,0.11178
1984,West,male,(1c) Basic Vocational Qualification,0.39296,2523,5910,0.38051,0.40542
1984,West,male,(2) Intermediate General/Vocational Qualification,0.12812,785,5910,0.11960,0.13664
1984,West,male,(2c_gen) General Maturity Certificate,0.03036,238,5910,0.02599,0.03474
1984,West,male,(2c_voc) Vocational Maturity Certificate,0.03781,279,5910,0.03294,0.04267
1984,West,male,(3a) Lower Tertiary Education,0.03300,192,5910,0.02844,0.03755
1984,West,male,(3b) Higher Tertiary Education,0.05101,343,5910,0.04540,0.05662
1984,West,female,(0) No qualification (yet),0.01237,93,6163,0.00961,0.01513
1984,West,female,(1a) Inadequately completed,0.02066,615,6163,0.01711,0.02422
1984,West,female,(1b) General Elementary School,0.28841,2018,6163,0.27710,0.29972
1984,West,female,(1c) Basic Vocational Qualification,0.26006,1731,6163,0.24911,0.27101
1984,West,female,(2) Intermediate General/Vocational Qualification,0.17377,1100,6163,0.16431,0.18324
1984,West,female,(2c_gen) General Maturity Certificate,0.02058,177,6163,0.01703,0.02412
1984,West,female,(2c_voc) Vocational Maturity Certificate,0.02274,174,6163,0.01902,0.02646
1984,West,female,(3a) Lower Tertiary Education,0.01126,74,6163,0.00862,0.01389
1984,West,female,(3b) Higher Tertiary Education,0.02628,181,6163,0.02229,0.03028
1985,West,male,(0) No qualification (yet),0.01881,112,5354,0.01517,0.02245
1985,West,male,(1a) Inadequately completed,0.01915,388,5354,0.01548,0.02282
1985,West,male,(1b) General Elementary School,0.10181,866,5354,0.09371,0.10991
1985,West,male,(1c) Basic Vocational Qualification,0.39044,2262,5354,0.37737,0.40351
1985,West,male,(2) Intermediate General/Vocational Qualification,0.13579,754,5354,0.12661,0.14496
1985,West,male,(2c_gen) General Maturity Certificate,0.02895,215,5354,0.02445,0.03344
1985,West,male,(2c_voc) Vocational Maturity Certificate,0.03876,248,5354,0.03359,0.04393
1985,West,male,(3a) Lower Tertiary Education,0.03333,177,5354,0.02852,0.03814
1985,West,male,(3b) Higher Tertiary Education,0.05462,332,5354,0.04853,0.06071
1985,West,female,(0) No qualification (yet),0.01110,75,5531,0.00834,0.01386
1985,West,female,(1a) Inadequately completed,0.02022,512,5531,0.01651,0.02393
1985,West,female,(1b) General Elementary School,0.28032,1750,5531,0.26848,0.29216
1985,West,female,(1c) Basic Vocational Qualification,0.26009,1563,5531,0.24853,0.27166
1985,West,female,(2) Intermediate General/Vocational Qualification,0.18628,1061,5531,0.17602,0.19654
1985,West,female,(2c_gen) General Maturity Certificate,0.02042,162,5531,0.01669,0.02414
1985,West,female,(2c_voc) Vocational Maturity Certificate,0.02437,162,5531,0.02031,0.02843
1985,West,female,(3a) Lower Tertiary Education,0.01189,71,5531,0.00904,0.01475
1985,West,female,(3b) Higher Tertiary Education,0.02798,175,5531,0.02363,0.03232
1986,West,male,(0) No qualification (yet),0.01633,116,5171,0.01288,0.01979
1986,West,male,(1a) Inadequately completed,0.01923,364,5171,0.01549,0.02297
1986,West,male,(1b) General Elementary School,0.10033,848,5171,0.09214,0.10852
1986,West,male,(1c) Basic Vocational Qualification,0.38417,2130,5171,0.37091,0.39743
1986,West,male,(2) Intermediate General/Vocational Qualification,0.13980,738,5171,0.13035,0.14925
1986,West,male,(2c_gen) General Maturity Certificate,0.03345,231,5171,0.02855,0.03835
1986,West,male,(2c_voc) Vocational Maturity Certificate,0.03848,239,5171,0.03323,0.04372
