"pgcasmin","year","bildungsniveau","sampreg","n","percent","lower_confidence","upper_confidence"
"(0) in school","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","196","0.401506119420194","0.374981014219312","0.428031224621077"
"(0) in school","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"(0) in school","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"(0) in school","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"(0) in school","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"(0) in school","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"(0) in school","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"(0) in school","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"(0) in school","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"(0) in school","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"(1a) inadequately completed","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","1116","0.598493880579806","0.571968775378924","0.625018985780688"
"(1a) inadequately completed","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"(1a) inadequately completed","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"(1a) inadequately completed","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"(1a) inadequately completed","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"(1a) inadequately completed","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"(1a) inadequately completed","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"(1a) inadequately completed","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"(1a) inadequately completed","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"(1a) inadequately completed","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"(1b) general elementary school","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"(1b) general elementary school","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"(1b) general elementary school","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","3020","0.382879007773189","0.371719885052216","0.394038130494162"
"(1b) general elementary school","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"(1b) general elementary school","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"(1b) general elementary school","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"(1b) general elementary school","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"(1b) general elementary school","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"(1b) general elementary school","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"(1b) general elementary school","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"(1c) basic vocational qualification","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"(1c) basic vocational qualification","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"(1c) basic vocational qualification","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","4269","0.617120992226811","0.605961869505838","0.628280114947784"
"(1c) basic vocational qualification","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"(1c) basic vocational qualification","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"(1c) basic vocational qualification","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"(1c) basic vocational qualification","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"(1c) basic vocational qualification","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"(1c) basic vocational qualification","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"(1c) basic vocational qualification","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"(2b) intermediate general qualification","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"(2b) intermediate general qualification","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"(2b) intermediate general qualification","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"(2b) intermediate general qualification","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"(2b) intermediate general qualification","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","477","0.242570081319325","0.223235403446229","0.261904759192421"
"(2b) intermediate general qualification","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"(2b) intermediate general qualification","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"(2b) intermediate general qualification","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"(2b) intermediate general qualification","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"(2b) intermediate general qualification","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"(2a) intermediate vocational","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"(2a) intermediate vocational","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
