year,bula_h,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,(1b) General Elementary School,0.19588,72,317,0.15212,0.23964
1984,Schleswig-Holstein,(1c) Basic Vocational Qualification,0.41759,153,317,0.36321,0.47196
1984,Schleswig-Holstein,(2) Intermediate General/Vocational Qualification,0.23652,92,317,0.18967,0.28338
1984,Hamburg,(1b) General Elementary School,0.17592,57,218,0.12526,0.22658
1984,Hamburg,(1c) Basic Vocational Qualification,0.39538,106,218,0.33033,0.46044
1984,Hamburg,(2) Intermediate General/Vocational Qualification,0.21578,55,218,0.16104,0.27051
1984,Lower Saxony,(1a) Inadequately completed,0.01683,67,1183,0.00950,0.02416
1984,Lower Saxony,(1b) General Elementary School,0.26126,306,1183,0.23621,0.28630
1984,Lower Saxony,(1c) Basic Vocational Qualification,0.37573,442,1183,0.34812,0.40334
1984,Lower Saxony,(2) Intermediate General/Vocational Qualification,0.20377,228,1183,0.18081,0.22674
1984,Lower Saxony,(2c_gen) General Maturity Certificate,0.02276,41,1183,0.01426,0.03126
1984,Lower Saxony,(2c_voc) Vocational Maturity Certificate,0.03030,38,1183,0.02053,0.04007
1984,Lower Saxony,(3b) Higher Tertiary Education,0.04956,61,1183,0.03719,0.06194
1984,Bremen,(1b) General Elementary School,0.28170,33,92,0.18928,0.37413
1984,Bremen,(1c) Basic Vocational Qualification,0.45013,59,92,0.34791,0.55235
1984,North Rhine-Westphalia,(0) No qualification (yet),0.01931,61,3224,0.01456,0.02406
1984,North Rhine-Westphalia,(1a) Inadequately completed,0.03193,342,3224,0.02586,0.03799
1984,North Rhine-Westphalia,(1b) General Elementary School,0.21744,738,3224,0.20320,0.23168
1984,North Rhine-Westphalia,(1c) Basic Vocational Qualification,0.40611,1135,3224,0.38916,0.42307
1984,North Rhine-Westphalia,(2) Intermediate General/Vocational Qualification,0.16783,462,3224,0.15492,0.18073
1984,North Rhine-Westphalia,(2c_gen) General Maturity Certificate,0.03675,132,3224,0.03026,0.04325
1984,North Rhine-Westphalia,(2c_voc) Vocational Maturity Certificate,0.04058,129,3224,0.03377,0.04739
1984,North Rhine-Westphalia,(3a) Lower Tertiary Education,0.02891,75,3224,0.02313,0.03470
1984,North Rhine-Westphalia,(3b) Higher Tertiary Education,0.05114,150,3224,0.04353,0.05874
1984,Hesse,(1a) Inadequately completed,0.02730,129,1192,0.01805,0.03656
1984,Hesse,(1b) General Elementary School,0.22928,316,1192,0.20540,0.25315
1984,Hesse,(1c) Basic Vocational Qualification,0.35984,390,1192,0.33259,0.38710
1984,Hesse,(2) Intermediate General/Vocational Qualification,0.19880,188,1192,0.17613,0.22146
1984,Hesse,(2c_gen) General Maturity Certificate,0.04607,59,1192,0.03416,0.05797
1984,Hesse,(2c_voc) Vocational Maturity Certificate,0.03352,47,1192,0.02330,0.04375
1984,Hesse,(3b) Higher Tertiary Education,0.06093,63,1192,0.04735,0.07452
1984,"Rhineland-Palatinate, Saarland",(1a) Inadequately completed,0.02508,67,769,0.01402,0.03614
1984,"Rhineland-Palatinate, Saarland",(1b) General Elementary School,0.33201,268,769,0.29871,0.36532
1984,"Rhineland-Palatinate, Saarland",(1c) Basic Vocational Qualification,0.40834,325,769,0.37358,0.44311
1984,"Rhineland-Palatinate, Saarland",(2) Intermediate General/Vocational Qualification,0.14351,109,769,0.11871,0.16830
1984,Baden-Wuerttemberg,(0) No qualification (yet),0.01867,35,2231,0.01305,0.02429
1984,Baden-Wuerttemberg,(1a) Inadequately completed,0.02718,299,2231,0.02043,0.03393
1984,Baden-Wuerttemberg,(1b) General Elementary School,0.28064,619,2231,0.26199,0.29928
1984,Baden-Wuerttemberg,(1c) Basic Vocational Qualification,0.37559,736,2231,0.35549,0.39569
1984,Baden-Wuerttemberg,(2) Intermediate General/Vocational Qualification,0.16909,282,2231,0.15354,0.18465
1984,Baden-Wuerttemberg,(2c_gen) General Maturity Certificate,0.02664,58,2231,0.01996,0.03333
1984,Baden-Wuerttemberg,(2c_voc) Vocational Maturity Certificate,0.03460,77,2231,0.02701,0.04219
1984,Baden-Wuerttemberg,(3a) Lower Tertiary Education,0.02745,44,2231,0.02067,0.03423
1984,Baden-Wuerttemberg,(3b) Higher Tertiary Education,0.04014,81,2231,0.03199,0.04829
1984,Bavaria,(1a) Inadequately completed,0.01431,108,2057,0.00918,0.01945
1984,Bavaria,(1b) General Elementary School,0.23275,495,2057,0.21448,0.25101
1984,Bavaria,(1c) Basic Vocational Qualification,0.40813,789,2057,0.38689,0.42938
1984,Bavaria,(2) Intermediate General/Vocational Qualification,0.19758,370,2057,0.18037,0.21480
1984,Bavaria,(2c_gen) General Maturity Certificate,0.02552,58,2057,0.01870,0.03233
1984,Bavaria,(2c_voc) Vocational Maturity Certificate,0.03586,80,2057,0.02782,0.04390
1984,Bavaria,(3a) Lower Tertiary Education,0.02878,55,2057,0.02155,0.03600
1984,Bavaria,(3b) Higher Tertiary Education,0.04708,102,2057,0.03792,0.05623
1984,Berlin,(1a) Inadequately completed,0.03236,41,327,0.01315,0.05157
1984,Berlin,(1b) General Elementary School,0.21211,91,327,0.16773,0.25649
1984,Berlin,(1c) Basic Vocational Qualification,0.33846,119,327,0.28709,0.38982
1984,Berlin,(2) Intermediate General/Vocational Qualification,0.22066,76,327,0.17564,0.26567
1985,Schleswig-Holstein,(1b) General Elementary School,0.20777,71,294,0.16131,0.25422
1985,Schleswig-Holstein,(1c) Basic Vocational Qualification,0.41643,143,294,0.35999,0.47288
1985,Schleswig-Holstein,(2) Intermediate General/Vocational Qualification,0.22542,80,294,0.17757,0.27327
1985,Hamburg,(1b) General Elementary School,0.16314,47,203,0.11219,0.21410
1985,Hamburg,(1c) Basic Vocational Qualification,0.40492,99,203,0.33722,0.47261
1985,Hamburg,(2) Intermediate General/Vocational Qualification,0.23695,57,203,0.17831,0.29559
1985,Lower Saxony,(1a) Inadequately completed,0.01549,50,1050,0.00802,0.02296
1985,Lower Saxony,(1b) General Elementary School,0.24780,258,1050,0.22167,0.27393
1985,Lower Saxony,(1c) Basic Vocational Qualification,0.36886,393,1050,0.33966,0.39806
1985,Lower Saxony,(2) Intermediate General/Vocational Qualification,0.21744,220,1050,0.19248,0.24241
1985,Lower Saxony,(2c_gen) General Maturity Certificate,0.02558,37,1050,0.01603,0.03513
1985,Lower Saxony,(2c_voc) Vocational Maturity Certificate,0.02988,35,1050,0.01958,0.04019
1985,Lower Saxony,(3b) Higher Tertiary Education,0.05016,57,1050,0.03695,0.06337
1985,Bremen,(1c) Basic Vocational Qualification,0.44485,52,52,0.30846,0.58124
1985,North Rhine-Westphalia,(0) No qualification (yet),0.02245,61,2919,0.01708,0.02783
1985,North Rhine-Westphalia,(1a) Inadequately completed,0.03064,279,2919,0.02438,0.03689
1985,North Rhine-Westphalia,(1b) General Elementary School,0.20438,626,2919,0.18975,0.21901
1985,North Rhine-Westphalia,(1c) Basic Vocational Qualification,0.39881,1023,2919,0.38104,0.41658
1985,North Rhine-Westphalia,(2) Intermediate General/Vocational Qualification,0.17839,453,2919,0.16450,0.19228
1985,North Rhine-Westphalia,(2c_gen) General Maturity Certificate,0.03785,129,2919,0.03092,0.04477
1985,North Rhine-Westphalia,(2c_voc) Vocational Maturity Certificate,0.04270,125,2919,0.03537,0.05004
1985,North Rhine-Westphalia,(3a) Lower Tertiary Education,0.02766,67,2919,0.02171,0.03361
1985,North Rhine-Westphalia,(3b) Higher Tertiary Education,0.05712,156,2919,0.04870,0.06555
1985,Hesse,(1a) Inadequately completed,0.02557,107,1076,0.01614,0.03501
1985,Hesse,(1b) General Elementary School,0.22826,289,1076,0.20317,0.25335
1985,Hesse,(1c) Basic Vocational Qualification,0.35471,348,1076,0.32611,0.38331
1985,Hesse,(2) Intermediate General/Vocational Qualification,0.20635,179,1076,0.18216,0.23054
1985,Hesse,(2c_gen) General Maturity Certificate,0.03891,48,1076,0.02735,0.05047
1985,Hesse,(2c_voc) Vocational Maturity Certificate,0.03285,41,1076,0.02219,0.04350
1985,Hesse,(3b) Higher Tertiary Education,0.06726,64,1076,0.05229,0.08223
1985,"Rhineland-Palatinate, Saarland",(1a) Inadequately completed,0.02768,59,690,0.01543,0.03993
