"pgcasmin","year","alter_gr","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"(0) in school","1984","16-34 Jahre alt","(noch) kein Abschluss","196","0.631691098158338","0.590548698748282","0.672833497568395"
"(0) in school","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"(0) in school","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"(0) in school","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"(0) in school","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"(0) in school","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"(0) in school","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"(0) in school","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"(0) in school","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"(0) in school","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"(0) in school","1984","66 und älter","(noch) kein Abschluss","","","",""
"(0) in school","1984","66 und älter","Hauptschulabschluss","","","",""
"(0) in school","1984","66 und älter","Realschulabschluss","","","",""
"(0) in school","1984","66 und älter","(Fach-)Abitur","","","",""
"(0) in school","1984","66 und älter","AkademikerInnen","","","",""
"(1a) inadequately completed","1984","16-34 Jahre alt","(noch) kein Abschluss","332","0.368308901841662","0.327166502431605","0.409451301251718"
"(1a) inadequately completed","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"(1a) inadequately completed","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"(1a) inadequately completed","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"(1a) inadequately completed","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"(1a) inadequately completed","1984","35-65 Jahre alt","(noch) kein Abschluss","766","1","1","1"
"(1a) inadequately completed","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"(1a) inadequately completed","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"(1a) inadequately completed","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"(1a) inadequately completed","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"(1a) inadequately completed","1984","66 und älter","(noch) kein Abschluss","","","",""
"(1a) inadequately completed","1984","66 und älter","Hauptschulabschluss","","","",""
"(1a) inadequately completed","1984","66 und älter","Realschulabschluss","","","",""
"(1a) inadequately completed","1984","66 und älter","(Fach-)Abitur","","","",""
"(1a) inadequately completed","1984","66 und älter","AkademikerInnen","","","",""
"(1b) general elementary school","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"(1b) general elementary school","1984","16-34 Jahre alt","Hauptschulabschluss","943","0.330436220674008","0.310944288200892","0.349928153147123"
"(1b) general elementary school","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"(1b) general elementary school","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"(1b) general elementary school","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"(1b) general elementary school","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"(1b) general elementary school","1984","35-65 Jahre alt","Hauptschulabschluss","1589","0.357152232991139","0.342451277985805","0.371853187996473"
"(1b) general elementary school","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"(1b) general elementary school","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"(1b) general elementary school","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"(1b) general elementary school","1984","66 und älter","(noch) kein Abschluss","","","",""
"(1b) general elementary school","1984","66 und älter","Hauptschulabschluss","488","0.509058310440688","0.477614353101639","0.540502267779737"
"(1b) general elementary school","1984","66 und älter","Realschulabschluss","","","",""
"(1b) general elementary school","1984","66 und älter","(Fach-)Abitur","","","",""
"(1b) general elementary school","1984","66 und älter","AkademikerInnen","","","",""
"(1c) basic vocational qualification","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"(1c) basic vocational qualification","1984","16-34 Jahre alt","Hauptschulabschluss","1294","0.669563779325992","0.650071846852877","0.689055711799108"
"(1c) basic vocational qualification","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"(1c) basic vocational qualification","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"(1c) basic vocational qualification","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"(1c) basic vocational qualification","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"(1c) basic vocational qualification","1984","35-65 Jahre alt","Hauptschulabschluss","2492","0.642847767008861","0.628146812003527","0.657548722014195"
"(1c) basic vocational qualification","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"(1c) basic vocational qualification","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"(1c) basic vocational qualification","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"(1c) basic vocational qualification","1984","66 und älter","(noch) kein Abschluss","","","",""
"(1c) basic vocational qualification","1984","66 und älter","Hauptschulabschluss","483","0.490941689559312","0.459497732220264","0.522385646898361"
"(1c) basic vocational qualification","1984","66 und älter","Realschulabschluss","","","",""
"(1c) basic vocational qualification","1984","66 und älter","(Fach-)Abitur","","","",""
"(1c) basic vocational qualification","1984","66 und älter","AkademikerInnen","","","",""
"(2b) intermediate general qualification","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"(2b) intermediate general qualification","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"(2b) intermediate general qualification","1984","16-34 Jahre alt","Realschulabschluss","364","0.356364484122697","0.326798997417462","0.385929970827932"
"(2b) intermediate general qualification","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"(2b) intermediate general qualification","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"(2b) intermediate general qualification","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"(2b) intermediate general qualification","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"(2b) intermediate general qualification","1984","35-65 Jahre alt","Realschulabschluss","81","0.114507460528159","0.0909521475078897","0.138062773548429"
"(2b) intermediate general qualification","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"(2b) intermediate general qualification","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"(2b) intermediate general qualification","1984","66 und älter","(noch) kein Abschluss","","","",""
"(2b) intermediate general qualification","1984","66 und älter","Hauptschulabschluss","","","",""
"(2b) intermediate general qualification","1984","66 und älter","Realschulabschluss","32","0.192326096075098","0.134426541398442","0.250225650751754"
"(2b) intermediate general qualification","1984","66 und älter","(Fach-)Abitur","","","",""
"(2b) intermediate general qualification","1984","66 und älter","AkademikerInnen","","","",""
"(2a) intermediate vocational","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"(2a) intermediate vocational","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"(2a) intermediate vocational","1984","16-34 Jahre alt","Realschulabschluss","644","0.643635515877303","0.614070029172068","0.673201002582538"
