"pgcasmin","year","alter_gr","migback","n","percent","lower_confidence","upper_confidence"
"(0) in school","1984","16-34 Jahre alt","kein Migrationshintergrund","164","0.053467116772362","0.0455632514292155","0.0613709821155085"
"(0) in school","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"(0) in school","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"(0) in school","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"(0) in school","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"(0) in school","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"(0) in school","1984","66 und älter","kein Migrationshintergrund","","","",""
"(0) in school","1984","66 und älter","direkter Migrationshintergrund","","","",""
"(0) in school","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"(1a) inadequately completed","1984","16-34 Jahre alt","kein Migrationshintergrund","45","0.014614389161329","0.010398183968013","0.0188305943546449"
"(1a) inadequately completed","1984","16-34 Jahre alt","direkter Migrationshintergrund","282","0.149090065375213","0.130304797110621","0.167875333639804"
"(1a) inadequately completed","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"(1a) inadequately completed","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"(1a) inadequately completed","1984","35-65 Jahre alt","direkter Migrationshintergrund","751","0.21368514694947","0.195425985777955","0.231944308120984"
"(1a) inadequately completed","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"(1a) inadequately completed","1984","66 und älter","kein Migrationshintergrund","","","",""
"(1a) inadequately completed","1984","66 und älter","direkter Migrationshintergrund","","","",""
"(1a) inadequately completed","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"(1b) general elementary school","1984","16-34 Jahre alt","kein Migrationshintergrund","427","0.137760326656468","0.125651435382387","0.149869217930549"
"(1b) general elementary school","1984","16-34 Jahre alt","direkter Migrationshintergrund","485","0.258500550142868","0.235409833910675","0.281591266375062"
"(1b) general elementary school","1984","16-34 Jahre alt","indirekter Migrationshintergrund","31","0.249215585485043","0.16485635144335","0.333574819526735"
"(1b) general elementary school","1984","35-65 Jahre alt","kein Migrationshintergrund","1055","0.251528828024511","0.238596203437549","0.264461452611473"
"(1b) general elementary school","1984","35-65 Jahre alt","direkter Migrationshintergrund","528","0.268845278779651","0.249095998834332","0.288594558724971"
"(1b) general elementary school","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"(1b) general elementary school","1984","66 und älter","kein Migrationshintergrund","474","0.38851361398096","0.361362710510138","0.415664517451783"
"(1b) general elementary school","1984","66 und älter","direkter Migrationshintergrund","","","",""
"(1b) general elementary school","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"(1c) basic vocational qualification","1984","16-34 Jahre alt","kein Migrationshintergrund","965","0.31207016770603","0.295791213719112","0.328349121692947"
"(1c) basic vocational qualification","1984","16-34 Jahre alt","direkter Migrationshintergrund","304","0.264491458662251","0.241229250492457","0.287753666832045"
"(1c) basic vocational qualification","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"(1c) basic vocational qualification","1984","35-65 Jahre alt","kein Migrationshintergrund","2070","0.477765094256885","0.462876784188814","0.492653404324956"
"(1c) basic vocational qualification","1984","35-65 Jahre alt","direkter Migrationshintergrund","412","0.28351852733439","0.263441998864239","0.303595055804542"
"(1c) basic vocational qualification","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"(1c) basic vocational qualification","1984","66 und älter","kein Migrationshintergrund","474","0.378709442370484","0.351689263973054","0.405729620767913"
"(1c) basic vocational qualification","1984","66 und älter","direkter Migrationshintergrund","","","",""
"(1c) basic vocational qualification","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1984","16-34 Jahre alt","kein Migrationshintergrund","309","0.10200029321553","0.0913670167817666","0.112633569649294"
"(2b) intermediate general qualification","1984","16-34 Jahre alt","direkter Migrationshintergrund","40","0.0425862937625939","0.0319366275828902","0.0532359599422977"
"(2b) intermediate general qualification","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1984","35-65 Jahre alt","kein Migrationshintergrund","68","0.0155008071787631","0.0118187537376296","0.0191828606198966"
"(2b) intermediate general qualification","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1984","66 und älter","kein Migrationshintergrund","32","0.028241120017992","0.0190131115182271","0.0374691285177569"
"(2b) intermediate general qualification","1984","66 und älter","direkter Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"(2a) intermediate vocational","1984","16-34 Jahre alt","kein Migrationshintergrund","594","0.187411419348779","0.173700654600975","0.201122184096584"
"(2a) intermediate vocational","1984","16-34 Jahre alt","direkter Migrationshintergrund","41","0.0577142887041882","0.0454148801374731","0.0700136972709033"
"(2a) intermediate vocational","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"(2a) intermediate vocational","1984","35-65 Jahre alt","kein Migrationshintergrund","576","0.131002805201493","0.120946122837278","0.141059487565709"
"(2a) intermediate vocational","1984","35-65 Jahre alt","direkter Migrationshintergrund","44","0.0760510257203451","0.0642431453013496","0.0878589061393406"
"(2a) intermediate vocational","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"(2a) intermediate vocational","1984","66 und älter","kein Migrationshintergrund","141","0.114716540638302","0.0969647582806416","0.132468322995962"
"(2a) intermediate vocational","1984","66 und älter","direkter Migrationshintergrund","","","",""
"(2a) intermediate vocational","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1984","16-34 Jahre alt","kein Migrationshintergrund","260","0.0836279495952408","0.0739018225402256","0.093354076650256"
"(2c_gen) general maturity certificate","1984","16-34 Jahre alt","direkter Migrationshintergrund","90","0.0751842479652494","0.0612769650075922","0.0890915309229066"
"(2c_gen) general maturity certificate","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
