year,migback,pgisced97,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Primary Level,(1a) Inadequately completed,0.75735,59,59,0.64702,0.86768
1984,No migration background,Lower Secondary Level,(1b) General Elementary School,0.83717,1929,2338,0.82220,0.85214
1984,No migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.16283,409,2338,0.14786,0.17780
1984,No migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.70528,3219,4614,0.69212,0.71844
1984,No migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.23663,1116,4614,0.22436,0.24889
1984,No migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.05632,279,4614,0.04967,0.06297
1984,No migration background,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.47495,283,601,0.43499,0.51491
1984,No migration background,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.31497,194,601,0.27780,0.35213
1984,No migration background,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.20647,124,601,0.17408,0.23886
1984,No migration background,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.36832,243,666,0.33166,0.40498
1984,No migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.63168,423,666,0.59502,0.66834
1984,Direct migration background,Primary Level,(1a) Inadequately completed,0.97204,912,912,0.96133,0.98274
1984,Direct migration background,Lower Secondary Level,(1b) General Elementary School,0.90354,1005,1057,0.88573,0.92134
1984,Direct migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.09646,52,1057,0.07866,0.11427
1984,Direct migration background,Upper Secondary Level,(1a) Inadequately completed,0.04986,106,1009,0.03642,0.06330
1984,Direct migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.69126,702,1009,0.66274,0.71978
1984,Direct migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.15440,72,1009,0.13210,0.17671
1984,Direct migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.10447,129,1009,0.08559,0.12336
1984,Direct migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.70039,99,99,0.60969,0.79108
1984,Indirect migration background,Lower Secondary Level,(1b) General Elementary School,0.68981,37,37,0.53870,0.84091
1984,Indirect migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.63369,33,33,0.46675,0.80062
1985,No migration background,Primary Level,(1a) Inadequately completed,0.73226,61,61,0.62022,0.84430
1985,No migration background,Lower Secondary Level,(1b) General Elementary School,0.81782,1689,2091,0.80127,0.83437
1985,No migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.18218,402,2091,0.16563,0.19873
1985,No migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.69532,2882,4202,0.68140,0.70924
1985,No migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.24830,1062,4202,0.23523,0.26136
1985,No migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.05425,258,4202,0.04740,0.06110
1985,No migration background,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.46554,263,565,0.42437,0.50670
1985,No migration background,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.31418,183,565,0.27587,0.35249
1985,No migration background,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.21545,119,565,0.18152,0.24939
1985,No migration background,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.35669,225,641,0.31957,0.39380
1985,No migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.64331,416,641,0.60620,0.68043
1985,Direct migration background,Primary Level,(1a) Inadequately completed,0.96695,739,739,0.95405,0.97985
1985,Direct migration background,Lower Secondary Level,(1b) General Elementary School,0.89442,858,911,0.87445,0.91439
1985,Direct migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.10558,53,911,0.08561,0.12555
1985,Direct migration background,Upper Secondary Level,(1a) Inadequately completed,0.04176,82,890,0.02861,0.05491
1985,Direct migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.69488,625,890,0.66461,0.72515
1985,Direct migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.16336,70,890,0.13905,0.18766
