year,age_gr,bula_h,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Schleswig-Holstein,(2) Intermediate General/Vocational Qualification,0.35831,32,32,0.18952,0.52711
1984,17-29 y.,Lower Saxony,(1b) General Elementary School,0.14834,58,269,0.10579,0.19090
1984,17-29 y.,Lower Saxony,(1c) Basic Vocational Qualification,0.25264,81,269,0.20062,0.30467
1984,17-29 y.,Lower Saxony,(2) Intermediate General/Vocational Qualification,0.33903,99,269,0.28236,0.39571
1984,17-29 y.,Lower Saxony,(2c_gen) General Maturity Certificate,0.08047,31,269,0.04790,0.11303
1984,17-29 y.,North Rhine-Westphalia,(0) No qualification (yet),0.07396,61,925,0.05709,0.09084
1984,17-29 y.,North Rhine-Westphalia,(1a) Inadequately completed,0.03648,72,925,0.02439,0.04857
1984,17-29 y.,North Rhine-Westphalia,(1b) General Elementary School,0.12896,187,925,0.10735,0.15058
1984,17-29 y.,North Rhine-Westphalia,(1c) Basic Vocational Qualification,0.25266,225,925,0.22464,0.28068
1984,17-29 y.,North Rhine-Westphalia,(2) Intermediate General/Vocational Qualification,0.27781,215,925,0.24892,0.30669
1984,17-29 y.,North Rhine-Westphalia,(2c_gen) General Maturity Certificate,0.12186,109,925,0.10077,0.14295
1984,17-29 y.,North Rhine-Westphalia,(2c_voc) Vocational Maturity Certificate,0.06660,56,925,0.05052,0.08267
1984,17-29 y.,Hesse,(1b) General Elementary School,0.11712,87,297,0.08049,0.15376
1984,17-29 y.,Hesse,(1c) Basic Vocational Qualification,0.19834,74,297,0.15291,0.24376
1984,17-29 y.,Hesse,(2) Intermediate General/Vocational Qualification,0.31239,84,297,0.25959,0.36519
1984,17-29 y.,Hesse,(2c_gen) General Maturity Certificate,0.16409,52,297,0.12190,0.20628
1984,17-29 y.,"Rhineland-Palatinate, Saarland",(1b) General Elementary School,0.23172,62,194,0.17219,0.29125
1984,17-29 y.,"Rhineland-Palatinate, Saarland",(1c) Basic Vocational Qualification,0.33329,77,194,0.26678,0.39979
1984,17-29 y.,"Rhineland-Palatinate, Saarland",(2) Intermediate General/Vocational Qualification,0.24990,55,194,0.18882,0.31098
1984,17-29 y.,Baden-Wuerttemberg,(0) No qualification (yet),0.07330,35,611,0.05262,0.09399
1984,17-29 y.,Baden-Wuerttemberg,(1a) Inadequately completed,0.01773,48,611,0.00726,0.02820
1984,17-29 y.,Baden-Wuerttemberg,(1b) General Elementary School,0.19749,165,611,0.16590,0.22909
1984,17-29 y.,Baden-Wuerttemberg,(1c) Basic Vocational Qualification,0.29661,186,611,0.26036,0.33286
1984,17-29 y.,Baden-Wuerttemberg,(2) Intermediate General/Vocational Qualification,0.26700,130,611,0.23189,0.30211
1984,17-29 y.,Baden-Wuerttemberg,(2c_gen) General Maturity Certificate,0.09248,47,611,0.06949,0.11547
1984,17-29 y.,Bavaria,(1b) General Elementary School,0.15002,99,473,0.11780,0.18223
1984,17-29 y.,Bavaria,(1c) Basic Vocational Qualification,0.33471,177,473,0.29214,0.37728
1984,17-29 y.,Bavaria,(2) Intermediate General/Vocational Qualification,0.29451,151,473,0.25338,0.33563
1984,17-29 y.,Bavaria,(2c_gen) General Maturity Certificate,0.08692,46,473,0.06150,0.11233
1984,30-45 y.,Schleswig-Holstein,(1c) Basic Vocational Qualification,0.50385,66,100,0.40536,0.60234
1984,30-45 y.,Schleswig-Holstein,(2) Intermediate General/Vocational Qualification,0.22846,34,100,0.14576,0.31117
1984,30-45 y.,Hamburg,(1c) Basic Vocational Qualification,0.40341,36,36,0.24088,0.56594
1984,30-45 y.,Lower Saxony,(1b) General Elementary School,0.14127,62,337,0.10403,0.17851
1984,30-45 y.,Lower Saxony,(1c) Basic Vocational Qualification,0.48748,171,337,0.43403,0.54093
1984,30-45 y.,Lower Saxony,(2) Intermediate General/Vocational Qualification,0.19187,64,337,0.14977,0.23398
1984,30-45 y.,Lower Saxony,(3b) Higher Tertiary Education,0.11446,40,337,0.08042,0.14850
1984,30-45 y.,North Rhine-Westphalia,(1a) Inadequately completed,0.04349,145,1058,0.03119,0.05578
1984,30-45 y.,North Rhine-Westphalia,(1b) General Elementary School,0.14300,198,1058,0.12189,0.16410
1984,30-45 y.,North Rhine-Westphalia,(1c) Basic Vocational Qualification,0.47874,433,1058,0.44862,0.50885
1984,30-45 y.,North Rhine-Westphalia,(2) Intermediate General/Vocational Qualification,0.15045,129,1058,0.12890,0.17201
1984,30-45 y.,North Rhine-Westphalia,(2c_voc) Vocational Maturity Certificate,0.03263,36,1058,0.02192,0.04334
1984,30-45 y.,North Rhine-Westphalia,(3a) Lower Tertiary Education,0.04248,34,1058,0.03032,0.05464
1984,30-45 y.,North Rhine-Westphalia,(3b) Higher Tertiary Education,0.09752,83,1058,0.07964,0.11541
1984,30-45 y.,Hesse,(1a) Inadequately completed,0.02745,48,309,0.00920,0.04569
