year,pgisced97,plb0050,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Pre-primary Level,No,0.11794,57,57,0.03346,0.20242
2001,Primary Level,Yes,0.15823,54,103,0.08741,0.22906
2001,Primary Level,No,0.14260,49,103,0.07474,0.21046
2001,Lower Secondary Level,Yes,0.16647,571,1243,0.14575,0.18718
2001,Lower Secondary Level,No,0.19409,672,1243,0.17209,0.21608
2001,Upper Secondary Level,Yes,0.27149,3236,6596,0.26075,0.28222
2001,Upper Secondary Level,No,0.27541,3360,6596,0.26463,0.28619
2001,Post-secondary Non-tertiary Level,Yes,0.34127,376,696,0.30602,0.37652
2001,Post-secondary Non-tertiary Level,No,0.29145,320,696,0.25766,0.32523
2001,First Stage of Tertiary Education,Yes,0.33284,578,1120,0.30523,0.36045
2001,First Stage of Tertiary Education,No,0.30184,542,1120,0.27494,0.32874
2001,Second Stage of Tertiary Education,Yes,0.41043,1530,2559,0.39137,0.42950
2001,Second Stage of Tertiary Education,No,0.28517,1029,2559,0.26767,0.30267
2006,Pre-primary Level,No,0.06558,34,34,-0.01888,0.15003
2006,Primary Level,Yes,0.13341,31,69,0.05259,0.21423
2006,Primary Level,No,0.15619,38,69,0.06990,0.24248
2006,Lower Secondary Level,Yes,0.14946,394,890,0.12602,0.17290
2006,Lower Secondary Level,No,0.18887,496,890,0.16314,0.21459
2006,Upper Secondary Level,Yes,0.25840,2834,5901,0.24723,0.26957
2006,Upper Secondary Level,No,0.26725,3067,5901,0.25596,0.27855
2006,Post-secondary Non-tertiary Level,Yes,0.33729,422,829,0.30508,0.36949
2006,Post-secondary Non-tertiary Level,No,0.34152,407,829,0.30922,0.37382
2006,First Stage of Tertiary Education,Yes,0.29855,525,1059,0.27097,0.32612
2006,First Stage of Tertiary Education,No,0.32082,534,1059,0.29269,0.34895
2006,Second Stage of Tertiary Education,Yes,0.39409,1911,3169,0.37708,0.41111
2006,Second Stage of Tertiary Education,No,0.26967,1258,3169,0.25422,0.28513
2011,Primary Level,No,0.18758,42,42,0.06808,0.30707
2011,Lower Secondary Level,Yes,0.15259,350,757,0.12696,0.17823
2011,Lower Secondary Level,No,0.16114,407,757,0.13493,0.18735
2011,Upper Secondary Level,Yes,0.24379,2700,5435,0.23238,0.25521
2011,Upper Secondary Level,No,0.24056,2735,5435,0.22919,0.25192
2011,Post-secondary Non-tertiary Level,Yes,0.35701,458,833,0.32445,0.38957
2011,Post-secondary Non-tertiary Level,No,0.25393,375,833,0.22435,0.28351
2011,First Stage of Tertiary Education,Yes,0.28501,458,876,0.25510,0.31492
2011,First Stage of Tertiary Education,No,0.28746,418,876,0.25747,0.31744
2011,Second Stage of Tertiary Education,Yes,0.37090,1849,2942,0.35344,0.38835
2011,Second Stage of Tertiary Education,No,0.22109,1093,2942,0.20609,0.23609
2016,Pre-primary Level,No,0.05221,39,39,-0.01852,0.12293
2016,Primary Level,Yes,0.15052,60,147,0.09251,0.20852
2016,Primary Level,No,0.15368,87,147,0.09518,0.21218
2016,Lower Secondary Level,Yes,0.16738,458,1144,0.14574,0.18902
2016,Lower Secondary Level,No,0.21500,686,1144,0.19118,0.23882
2016,Upper Secondary Level,Yes,0.26404,2980,6187,0.25305,0.27502
2016,Upper Secondary Level,No,0.27040,3207,6187,0.25933,0.28147
2016,Post-secondary Non-tertiary Level,Yes,0.38152,745,1454,0.35655,0.40650
2016,Post-secondary Non-tertiary Level,No,0.32303,709,1454,0.29899,0.34708
2016,First Stage of Tertiary Education,Yes,0.35474,495,872,0.32296,0.38651
2016,First Stage of Tertiary Education,No,0.26402,377,872,0.23475,0.29330
2016,Second Stage of Tertiary Education,Yes,0.40043,2412,3747,0.38474,0.41612
2016,Second Stage of Tertiary Education,No,0.21514,1335,3747,0.20199,0.22830
2019,Pre-primary Level,No,0.05579,35,35,-0.02136,0.13295
2019,Primary Level,Yes,0.17463,64,151,0.11387,0.23538
2019,Primary Level,No,0.16912,87,151,0.10913,0.22911
2019,Lower Secondary Level,Yes,0.16979,459,1150,0.14808,0.19150
2019,Lower Secondary Level,No,0.25172,691,1150,0.22662,0.27681
2019,Upper Secondary Level,Yes,0.26694,3023,6514,0.25620,0.27769
2019,Upper Secondary Level,No,0.27673,3491,6514,0.26586,0.28759
2019,Post-secondary Non-tertiary Level,Yes,0.42117,816,1635,0.39723,0.44511
2019,Post-secondary Non-tertiary Level,No,0.31090,819,1635,0.28846,0.33335
2019,First Stage of Tertiary Education,Yes,0.36115,519,1124,0.33305,0.38924
2019,First Stage of Tertiary Education,No,0.26386,605,1124,0.23808,0.28964
2019,Second Stage of Tertiary Education,Yes,0.41001,2608,4723,0.39598,0.42403
2019,Second Stage of Tertiary Education,No,0.22251,2115,4723,0.21064,0.23437
