year,regtyp,plb0050,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Urban regions,Yes,0.24406,4370,8212,0.23477,0.25335
2001,Urban regions,No,0.21359,3842,8212,0.20472,0.22245
2001,Rural regions,Yes,0.20651,2007,4235,0.19432,0.21871
2001,Rural regions,No,0.22947,2228,4235,0.21681,0.24214
2006,Urban regions,Yes,0.23376,4271,8033,0.22451,0.24302
2006,Urban regions,No,0.21195,3762,8033,0.20301,0.22089
2006,Rural regions,Yes,0.20019,1904,4070,0.18789,0.21248
2006,Rural regions,No,0.23369,2166,4070,0.22069,0.24669
2011,Urban regions,Yes,0.22577,3923,7133,0.21607,0.23548
2011,Urban regions,No,0.18358,3210,7133,0.17459,0.19256
2011,Rural regions,Yes,0.21043,2009,3969,0.19774,0.22311
2011,Rural regions,No,0.20658,1960,3969,0.19398,0.21918
2016,Urban regions,Yes,0.24883,4807,9019,0.23990,0.25775
2016,Urban regions,No,0.21000,4212,9019,0.20159,0.21841
2016,Rural regions,Yes,0.24427,2481,4870,0.23220,0.25634
2016,Rural regions,No,0.21907,2389,4870,0.20745,0.23069
2019,Urban regions,Yes,0.26170,4985,10002,0.25309,0.27032
2019,Urban regions,No,0.21297,5017,10002,0.20494,0.22099
2019,Rural regions,Yes,0.24150,2454,5313,0.22999,0.25300
2019,Rural regions,No,0.23077,2859,5313,0.21944,0.24210
