"year","migback","sampreg","mean","median","n","lower_confidence","upper_confidence"
"1984","direkter Migrationshintergrund","Ost","","","","",""
"1984","direkter Migrationshintergrund","West","7.4","7.5","3315","7.32","7.48"
"1984","indirekter Migrationshintergrund","Ost","","","","",""
"1984","indirekter Migrationshintergrund","West","7.97","7.5","126","7.68","8.26"
"1984","kein Migrationshintergrund ","Ost","","","","",""
"1984","kein Migrationshintergrund ","West","7.45","7.5","8535","7.41","7.49"
"1985","direkter Migrationshintergrund","Ost","","","","",""
"1985","direkter Migrationshintergrund","West","7.35","7.5","2860","7.27","7.43"
"1985","indirekter Migrationshintergrund","Ost","","","","",""
"1985","indirekter Migrationshintergrund","West","7.76","7.5","139","7.48","8.04"
"1985","kein Migrationshintergrund ","Ost","","","","",""
"1985","kein Migrationshintergrund ","West","7.35","7.5","7886","7.31","7.39"
"1986","direkter Migrationshintergrund","Ost","","","","",""
"1986","direkter Migrationshintergrund","West","7.52","7.5","2782","7.45","7.59"
"1986","indirekter Migrationshintergrund","Ost","","","","",""
"1986","indirekter Migrationshintergrund","West","8.13","7.5","154","7.85","8.41"
"1986","kein Migrationshintergrund ","Ost","","","","",""
"1986","kein Migrationshintergrund ","West","7.51","7.5","7522","7.47","7.55"
"1987","direkter Migrationshintergrund","Ost","","","","",""
"1987","direkter Migrationshintergrund","West","7.35","7.5","2766","7.28","7.42"
"1987","indirekter Migrationshintergrund","Ost","","","","",""
"1987","indirekter Migrationshintergrund","West","7.94","7.5","172","7.69","8.19"
"1987","kein Migrationshintergrund ","Ost","","","","",""
"1987","kein Migrationshintergrund ","West","7.27","7.5","7387","7.23","7.31"
"1988","direkter Migrationshintergrund","Ost","","","","",""
"1988","direkter Migrationshintergrund","West","","","","",""
"1988","indirekter Migrationshintergrund","Ost","","","","",""
"1988","indirekter Migrationshintergrund","West","","","","",""
"1988","kein Migrationshintergrund ","Ost","","","","",""
"1988","kein Migrationshintergrund ","West","","","","",""
"1989","direkter Migrationshintergrund","Ost","","","","",""
"1989","direkter Migrationshintergrund","West","","","","",""
"1989","indirekter Migrationshintergrund","Ost","","","","",""
"1989","indirekter Migrationshintergrund","West","","","","",""
"1989","kein Migrationshintergrund ","Ost","","","","",""
"1989","kein Migrationshintergrund ","West","","","","",""
"1990","direkter Migrationshintergrund","Ost","","","","",""
"1990","direkter Migrationshintergrund","West","","","","",""
"1990","indirekter Migrationshintergrund","Ost","","","","",""
