"year","migback","mean","median","n","lower_confidence","upper_confidence"
"1984","direkter Migrationshintergrund","7.4","7.5","3315","7.32","7.48"
"1984","indirekter Migrationshintergrund","7.97","7.5","126","7.68","8.26"
"1984","kein Migrationshintergrund ","7.45","7.5","8535","7.41","7.49"
"1985","direkter Migrationshintergrund","7.35","7.5","2860","7.27","7.43"
"1985","indirekter Migrationshintergrund","7.76","7.5","139","7.48","8.04"
"1985","kein Migrationshintergrund ","7.35","7.5","7886","7.31","7.39"
"1986","direkter Migrationshintergrund","7.52","7.5","2782","7.45","7.59"
"1986","indirekter Migrationshintergrund","8.13","7.5","154","7.85","8.41"
"1986","kein Migrationshintergrund ","7.51","7.5","7522","7.47","7.55"
"1987","direkter Migrationshintergrund","7.35","7.5","2766","7.28","7.42"
"1987","indirekter Migrationshintergrund","7.94","7.5","172","7.69","8.19"
"1987","kein Migrationshintergrund ","7.27","7.5","7387","7.23","7.31"
"1988","direkter Migrationshintergrund","","","","",""
"1988","indirekter Migrationshintergrund","","","","",""
"1988","kein Migrationshintergrund ","","","","",""
"1989","direkter Migrationshintergrund","","","","",""
"1989","indirekter Migrationshintergrund","","","","",""
"1989","kein Migrationshintergrund ","","","","",""
"1990","direkter Migrationshintergrund","","","","",""
"1990","indirekter Migrationshintergrund","","","","",""
"1990","kein Migrationshintergrund ","","","","",""
"1991","direkter Migrationshintergrund","","","","",""
"1991","indirekter Migrationshintergrund","","","","",""
"1991","kein Migrationshintergrund ","","","","",""
"1992","direkter Migrationshintergrund","","","","",""
"1992","indirekter Migrationshintergrund","","","","",""
"1992","kein Migrationshintergrund ","","","","",""
"1993","direkter Migrationshintergrund","","","","",""
"1993","indirekter Migrationshintergrund","","","","",""
"1993","kein Migrationshintergrund ","","","","",""
"1994","direkter Migrationshintergrund","","","","",""
"1994","indirekter Migrationshintergrund","","","","",""
"1994","kein Migrationshintergrund ","","","","",""
"1995","direkter Migrationshintergrund","","","","",""
"1995","indirekter Migrationshintergrund","","","","",""
"1995","kein Migrationshintergrund ","","","","",""
"1996","direkter Migrationshintergrund","","","","",""
"1996","indirekter Migrationshintergrund","","","","",""
"1996","kein Migrationshintergrund ","","","","",""
"1997","direkter Migrationshintergrund","","","","",""
"1997","indirekter Migrationshintergrund","","","","",""
"1997","kein Migrationshintergrund ","","","","",""
"1998","direkter Migrationshintergrund","","","","",""
"1998","indirekter Migrationshintergrund","","","","",""
"1998","kein Migrationshintergrund ","","","","",""
"1999","direkter Migrationshintergrund","","","","",""
"1999","indirekter Migrationshintergrund","","","","",""
"1999","kein Migrationshintergrund ","","","","",""
"2000","direkter Migrationshintergrund","","","","",""
"2000","indirekter Migrationshintergrund","","","","",""
"2000","kein Migrationshintergrund ","","","","",""
"2001","direkter Migrationshintergrund","","","","",""
"2001","indirekter Migrationshintergrund","","","","",""
"2001","kein Migrationshintergrund ","","","","",""
"2002","direkter Migrationshintergrund","","","","",""
"2002","indirekter Migrationshintergrund","","","","",""
"2002","kein Migrationshintergrund ","","","","",""
"2003","direkter Migrationshintergrund","","","","",""
"2003","indirekter Migrationshintergrund","","","","",""
"2003","kein Migrationshintergrund ","","","","",""
"2004","direkter Migrationshintergrund","","","","",""
"2004","indirekter Migrationshintergrund","","","","",""
"2004","kein Migrationshintergrund ","","","","",""
"2005","direkter Migrationshintergrund","","","","",""
"2005","indirekter Migrationshintergrund","","","","",""
"2005","kein Migrationshintergrund ","","","","",""
"2006","direkter Migrationshintergrund","","","","",""
"2006","indirekter Migrationshintergrund","","","","",""
"2006","kein Migrationshintergrund ","","","","",""
"2007","direkter Migrationshintergrund","","","","",""
"2007","indirekter Migrationshintergrund","","","","",""
"2007","kein Migrationshintergrund ","","","","",""
"2008","direkter Migrationshintergrund","6.82","6.5","1878","6.73","6.91"
"2008","indirekter Migrationshintergrund","7.51","7.5","762","7.4","7.62"
"2008","kein Migrationshintergrund ","7.01","6.5","16487","6.98","7.04"
"2009","direkter Migrationshintergrund","","","","",""
"2009","indirekter Migrationshintergrund","","","","",""
"2009","kein Migrationshintergrund ","","","","",""
"2010","direkter Migrationshintergrund","","","","",""
"2010","indirekter Migrationshintergrund","","","","",""
"2010","kein Migrationshintergrund ","","","","",""
"2011","direkter Migrationshintergrund","","","","",""
"2011","indirekter Migrationshintergrund","","","","",""
"2011","kein Migrationshintergrund ","","","","",""
"2012","direkter Migrationshintergrund","","","","",""
"2012","indirekter Migrationshintergrund","","","","",""
"2012","kein Migrationshintergrund ","","","","",""
"2013","direkter Migrationshintergrund","7.49","7.5","5286","7.44","7.54"
"2013","indirekter Migrationshintergrund","7.87","7.5","1628","7.79","7.95"
"2013","kein Migrationshintergrund ","7.29","7.5","16593","7.26","7.32"
"2014","direkter Migrationshintergrund","","","","",""
"2014","indirekter Migrationshintergrund","","","","",""
"2014","kein Migrationshintergrund ","","","","",""
"2015","direkter Migrationshintergrund","","","","",""
"2015","indirekter Migrationshintergrund","","","","",""
"2015","kein Migrationshintergrund ","","","","",""
"2016","direkter Migrationshintergrund","","","","",""
"2016","indirekter Migrationshintergrund","","","","",""
"2016","kein Migrationshintergrund ","","","","",""
"2017","direkter Migrationshintergrund","","","","",""
"2017","indirekter Migrationshintergrund","","","","",""
"2017","kein Migrationshintergrund ","","","","",""
"2018","direkter Migrationshintergrund","7.67","7.5","4328","7.62","7.72"
"2018","indirekter Migrationshintergrund","7.87","7.5","1690","7.79","7.95"
"2018","kein Migrationshintergrund ","7.55","7.5","19308","7.53","7.57"
