"year","regtyp","sex","mean","median","n","lower_confidence","upper_confidence"
"1985","Laendlicher Raum","maennlich","7.2","7.5","1145","7.08","7.32"
"1985","Laendlicher Raum","weiblich","7.18","7.5","1195","7.06","7.3"
"1985","Staedtischer Raum","maennlich","7.37","7.5","4217","7.31","7.43"
"1985","Staedtischer Raum","weiblich","7.44","7.5","4328","7.38","7.5"
"1986","Laendlicher Raum","maennlich","7.4","7.5","1092","7.29","7.51"
"1986","Laendlicher Raum","weiblich","7.43","7.5","1148","7.32","7.54"
"1986","Staedtischer Raum","maennlich","7.54","7.5","4079","7.48","7.6"
"1986","Staedtischer Raum","weiblich","7.55","7.5","4139","7.49","7.61"
"1987","Laendlicher Raum","maennlich","7.17","7.5","1074","7.06","7.28"
"1987","Laendlicher Raum","weiblich","7.1","7.5","1129","6.98","7.22"
"1987","Staedtischer Raum","maennlich","7.34","7.5","4040","7.28","7.4"
"1987","Staedtischer Raum","weiblich","7.33","7.5","4082","7.27","7.39"
"1988","Laendlicher Raum","maennlich","","","","",""
"1988","Laendlicher Raum","weiblich","","","","",""
"1988","Staedtischer Raum","maennlich","","","","",""
"1988","Staedtischer Raum","weiblich","","","","",""
"1989","Laendlicher Raum","maennlich","","","","",""
"1989","Laendlicher Raum","weiblich","","","","",""
"1989","Staedtischer Raum","maennlich","","","","",""
"1989","Staedtischer Raum","weiblich","","","","",""
"1990","Laendlicher Raum","maennlich","","","","",""
"1990","Laendlicher Raum","weiblich","","","","",""
"1990","Staedtischer Raum","maennlich","","","","",""
"1990","Staedtischer Raum","weiblich","","","","",""
"1991","Laendlicher Raum","maennlich","","","","",""
"1991","Laendlicher Raum","weiblich","","","","",""
"1991","Staedtischer Raum","maennlich","","","","",""
"1991","Staedtischer Raum","weiblich","","","","",""
"1992","Laendlicher Raum","maennlich","","","","",""
"1992","Laendlicher Raum","weiblich","","","","",""
"1992","Staedtischer Raum","maennlich","","","","",""
"1992","Staedtischer Raum","weiblich","","","","",""
"1993","Laendlicher Raum","maennlich","","","","",""
