"year","bula_h","migback","mean","median","n","lower_confidence","upper_confidence"
"1984","Baden-Württemberg","direkter Migrationshintergrund","7.66","7.5","861","7.51","7.81"
"1984","Baden-Württemberg","indirekter Migrationshintergrund","","","","",""
"1984","Baden-Württemberg","kein Migrationshintergrund ","7.49","7.5","1327","7.38","7.6"
"1984","Bayern","direkter Migrationshintergrund","7.48","7.5","439","7.28","7.68"
"1984","Bayern","indirekter Migrationshintergrund","","","","",""
"1984","Bayern","kein Migrationshintergrund ","7.37","7.5","1586","7.27","7.47"
"1984","Berlin","direkter Migrationshintergrund","6.9","6.5","109","6.41","7.39"
"1984","Berlin","indirekter Migrationshintergrund","","","","",""
"1984","Berlin","kein Migrationshintergrund ","7.45","7.5","285","7.2","7.7"
"1984","Brandenburg","direkter Migrationshintergrund","","","","",""
"1984","Brandenburg","indirekter Migrationshintergrund","","","","",""
"1984","Brandenburg","kein Migrationshintergrund ","","","","",""
"1984","Bremen","direkter Migrationshintergrund","6.44","7.5","34","5.41","7.47"
"1984","Bremen","indirekter Migrationshintergrund","","","","",""
"1984","Bremen","kein Migrationshintergrund ","6.91","6.5","96","6.37","7.45"
"1984","Hamburg","direkter Migrationshintergrund","6.84","6.5","86","6.33","7.35"
"1984","Hamburg","indirekter Migrationshintergrund","","","","",""
"1984","Hamburg","kein Migrationshintergrund ","7.47","7.5","216","7.18","7.76"
"1984","Hessen","direkter Migrationshintergrund","7.58","7.5","463","7.37","7.79"
"1984","Hessen","indirekter Migrationshintergrund","","","","",""
"1984","Hessen","kein Migrationshintergrund ","7.45","7.5","751","7.3","7.6"
"1984","Mecklenburg-Vorpommern","direkter Migrationshintergrund","","","","",""
"1984","Mecklenburg-Vorpommern","indirekter Migrationshintergrund","","","","",""
"1984","Mecklenburg-Vorpommern","kein Migrationshintergrund ","","","","",""
"1984","Niedersachsen","direkter Migrationshintergrund","6.92","6.5","197","6.62","7.22"
"1984","Niedersachsen","indirekter Migrationshintergrund","","","","",""
"1984","Niedersachsen","kein Migrationshintergrund ","7.35","7.5","1014","7.22","7.48"
"1984","Nordrhein-Westfalen","direkter Migrationshintergrund","7.31","7.5","938","7.17","7.45"
"1984","Nordrhein-Westfalen","indirekter Migrationshintergrund","8.24","8.5","38","7.67","8.81"
"1984","Nordrhein-Westfalen","kein Migrationshintergrund ","7.54","7.5","2238","7.45","7.63"
