"year","bula_h","mean","median","n","lower_confidence","upper_confidence"
"1984","Baden-Wuerttemberg","","","","",""
"1984","Bayern","","","","",""
"1984","Berlin","7.39","8","400","7.16","7.62"
"1984","Brandenburg","","","","",""
"1984","Bremen","","","","",""
"1984","Hamburg","7.41","8","305","7.16","7.66"
"1984","Hessen","","","","",""
"1984","Mecklenburg-Vorpommern","","","","",""
"1984","Niedersachsen","","","","",""
"1984","Nordrhein-Westfalen","7.51","8","3234","7.44","7.58"
"1984","Rheinland-Pfalz","7.35","8","847","7.21","7.49"
"1984","Saarland","","","","",""
"1984","Sachsen","","","","",""
"1984","Sachsen-Anhalt","","","","",""
"1984","Schleswig-Holstein","7.82","8","379","7.63","8.01"
"1984","Thueringen","","","","",""
"1985","Baden-Wuerttemberg","","","","",""
"1985","Bayern","","","","",""
"1985","Berlin","7.18","8","363","6.94","7.42"
"1985","Brandenburg","","","","",""
"1985","Bremen","","","","",""
"1985","Hamburg","","","","",""
"1985","Hessen","","","","",""
"1985","Mecklenburg-Vorpommern","","","","",""
"1985","Niedersachsen","","","","",""
"1985","Nordrhein-Westfalen","","","","",""
"1985","Rheinland-Pfalz","7.45","8","764","7.32","7.58"
"1985","Saarland","","","","",""
"1985","Sachsen","","","","",""
"1985","Sachsen-Anhalt","","","","",""
"1985","Schleswig-Holstein","7.48","8","352","7.26","7.7"
"1985","Thueringen","","","","",""
"1986","Baden-Wuerttemberg","","","","",""
"1986","Bayern","","","","",""
"1986","Berlin","7.35","8","346","7.13","7.57"
"1986","Brandenburg","","","","",""
"1986","Bremen","","","","",""
"1986","Hamburg","","","","",""
"1986","Hessen","","","","",""
"1986","Mecklenburg-Vorpommern","","","","",""
"1986","Niedersachsen","","","","",""
"1986","Nordrhein-Westfalen","","","","",""
"1986","Rheinland-Pfalz","7.57","8","766","7.44","7.7"
"1986","Saarland","","","","",""
"1986","Sachsen","","","","",""
"1986","Sachsen-Anhalt","","","","",""
"1986","Schleswig-Holstein","7.68","8","321","7.46","7.9"
"1986","Thueringen","","","","",""
"1987","Baden-Wuerttemberg","","","","",""
"1987","Bayern","","","","",""
"1987","Berlin","7.18","7","356","6.98","7.38"
"1987","Brandenburg","","","","",""
"1987","Bremen","7.78","8","98","7.39","8.17"
"1987","Hamburg","","","","",""
"1987","Hessen","","","","",""
"1987","Mecklenburg-Vorpommern","","","","",""
"1987","Niedersachsen","","","","",""
"1987","Nordrhein-Westfalen","","","","",""
"1987","Rheinland-Pfalz","7.35","8","767","7.22","7.48"
"1987","Saarland","","","","",""
"1987","Sachsen","","","","",""
"1987","Sachsen-Anhalt","","","","",""
"1987","Schleswig-Holstein","7.09","8","313","6.84","7.34"
"1987","Thueringen","","","","",""
"1988","Baden-Wuerttemberg","","","","",""
"1988","Bayern","","","","",""
"1988","Berlin","","","","",""
"1988","Brandenburg","","","","",""
"1988","Bremen","","","","",""
"1988","Hamburg","","","","",""
"1988","Hessen","","","","",""
"1988","Mecklenburg-Vorpommern","","","","",""
"1988","Niedersachsen","","","","",""
"1988","Nordrhein-Westfalen","","","","",""
"1988","Rheinland-Pfalz","","","","",""
"1988","Saarland","","","","",""
"1988","Sachsen","","","","",""
"1988","Sachsen-Anhalt","","","","",""
"1988","Schleswig-Holstein","","","","",""
"1988","Thueringen","","","","",""
"1989","Baden-Wuerttemberg","","","","",""
"1989","Bayern","","","","",""
"1989","Berlin","","","","",""
"1989","Brandenburg","","","","",""
"1989","Bremen","","","","",""
"1989","Hamburg","","","","",""
"1989","Hessen","","","","",""
"1989","Mecklenburg-Vorpommern","","","","",""
"1989","Niedersachsen","","","","",""
"1989","Nordrhein-Westfalen","","","","",""
"1989","Rheinland-Pfalz","","","","",""
"1989","Saarland","","","","",""
"1989","Sachsen","","","","",""
"1989","Sachsen-Anhalt","","","","",""
"1989","Schleswig-Holstein","","","","",""
"1989","Thueringen","","","","",""
"1990","Baden-Wuerttemberg","","","","",""
"1990","Bayern","","","","",""
"1990","Berlin","","","","",""
"1990","Brandenburg","","","","",""
"1990","Bremen","","","","",""
"1990","Hamburg","","","","",""
"1990","Hessen","","","","",""
"1990","Mecklenburg-Vorpommern","","","","",""
"1990","Niedersachsen","","","","",""
"1990","Nordrhein-Westfalen","","","","",""
"1990","Rheinland-Pfalz","","","","",""
"1990","Saarland","","","","",""
"1990","Sachsen","","","","",""
"1990","Sachsen-Anhalt","","","","",""
"1990","Schleswig-Holstein","","","","",""
"1990","Thueringen","","","","",""
"1991","Baden-Wuerttemberg","","","","",""
"1991","Bayern","","","","",""
"1991","Berlin","","","","",""
"1991","Brandenburg","","","","",""
"1991","Bremen","","","","",""
"1991","Hamburg","","","","",""
"1991","Hessen","","","","",""
"1991","Mecklenburg-Vorpommern","","","","",""
"1991","Niedersachsen","","","","",""
"1991","Nordrhein-Westfalen","","","","",""
"1991","Rheinland-Pfalz","","","","",""
"1991","Saarland","","","","",""
"1991","Sachsen","","","","",""
"1991","Sachsen-Anhalt","","","","",""
"1991","Schleswig-Holstein","","","","",""
"1991","Thueringen","","","","",""
"1992","Baden-Wuerttemberg","","","","",""
"1992","Bayern","","","","",""
"1992","Berlin","","","","",""
"1992","Brandenburg","","","","",""
"1992","Bremen","","","","",""
"1992","Hamburg","","","","",""
"1992","Hessen","","","","",""
"1992","Mecklenburg-Vorpommern","","","","",""
"1992","Niedersachsen","","","","",""
"1992","Nordrhein-Westfalen","","","","",""
"1992","Rheinland-Pfalz","","","","",""
"1992","Saarland","","","","",""
"1992","Sachsen","","","","",""
"1992","Sachsen-Anhalt","","","","",""
"1992","Schleswig-Holstein","","","","",""
"1992","Thueringen","","","","",""
"1993","Baden-Wuerttemberg","","","","",""
"1993","Bayern","","","","",""
"1993","Berlin","","","","",""
"1993","Brandenburg","","","","",""
"1993","Bremen","","","","",""
"1993","Hamburg","","","","",""
"1993","Hessen","","","","",""
"1993","Mecklenburg-Vorpommern","","","","",""
"1993","Niedersachsen","","","","",""
"1993","Nordrhein-Westfalen","","","","",""
"1993","Rheinland-Pfalz","","","","",""
"1993","Saarland","","","","",""
"1993","Sachsen","","","","",""
"1993","Sachsen-Anhalt","","","","",""
"1993","Schleswig-Holstein","","","","",""
"1993","Thueringen","","","","",""
"1994","Baden-Wuerttemberg","","","","",""
"1994","Bayern","","","","",""
"1994","Berlin","","","","",""
"1994","Brandenburg","","","","",""
"1994","Bremen","","","","",""
"1994","Hamburg","","","","",""
"1994","Hessen","","","","",""
"1994","Mecklenburg-Vorpommern","","","","",""
"1994","Niedersachsen","","","","",""
"1994","Nordrhein-Westfalen","","","","",""
"1994","Rheinland-Pfalz","","","","",""
"1994","Saarland","","","","",""
"1994","Sachsen","","","","",""
"1994","Sachsen-Anhalt","","","","",""
"1994","Schleswig-Holstein","","","","",""
"1994","Thueringen","","","","",""
"1995","Baden-Wuerttemberg","","","","",""
"1995","Bayern","","","","",""
"1995","Berlin","","","","",""
"1995","Brandenburg","","","","",""
"1995","Bremen","","","","",""
"1995","Hamburg","","","","",""
"1995","Hessen","","","","",""
"1995","Mecklenburg-Vorpommern","","","","",""
"1995","Niedersachsen","","","","",""
"1995","Nordrhein-Westfalen","","","","",""
"1995","Rheinland-Pfalz","","","","",""
"1995","Saarland","","","","",""
"1995","Sachsen","","","","",""
"1995","Sachsen-Anhalt","","","","",""
"1995","Schleswig-Holstein","","","","",""
"1995","Thueringen","","","","",""
"1996","Baden-Wuerttemberg","","","","",""
"1996","Bayern","","","","",""
"1996","Berlin","","","","",""
"1996","Brandenburg","","","","",""
"1996","Bremen","","","","",""
"1996","Hamburg","","","","",""
"1996","Hessen","","","","",""
"1996","Mecklenburg-Vorpommern","","","","",""
"1996","Niedersachsen","","","","",""
"1996","Nordrhein-Westfalen","","","","",""
"1996","Rheinland-Pfalz","","","","",""
"1996","Saarland","","","","",""
"1996","Sachsen","","","","",""
"1996","Sachsen-Anhalt","","","","",""
"1996","Schleswig-Holstein","","","","",""
"1996","Thueringen","","","","",""
"1997","Baden-Wuerttemberg","","","","",""
"1997","Bayern","","","","",""
"1997","Berlin","","","","",""
"1997","Brandenburg","","","","",""
"1997","Bremen","","","","",""
"1997","Hamburg","","","","",""
"1997","Hessen","","","","",""
"1997","Mecklenburg-Vorpommern","","","","",""
"1997","Niedersachsen","","","","",""
"1997","Nordrhein-Westfalen","","","","",""
"1997","Rheinland-Pfalz","","","","",""
"1997","Saarland","","","","",""
"1997","Sachsen","","","","",""
"1997","Sachsen-Anhalt","","","","",""
"1997","Schleswig-Holstein","","","","",""
"1997","Thueringen","","","","",""
"1998","Baden-Wuerttemberg","","","","",""
"1998","Bayern","","","","",""
"1998","Berlin","","","","",""
"1998","Brandenburg","","","","",""
"1998","Bremen","","","","",""
"1998","Hamburg","","","","",""
"1998","Hessen","","","","",""
"1998","Mecklenburg-Vorpommern","","","","",""
"1998","Niedersachsen","","","","",""
"1998","Nordrhein-Westfalen","","","","",""
"1998","Rheinland-Pfalz","","","","",""
"1998","Saarland","","","","",""
"1998","Sachsen","","","","",""
"1998","Sachsen-Anhalt","","","","",""
"1998","Schleswig-Holstein","","","","",""
"1998","Thueringen","","","","",""
"1999","Baden-Wuerttemberg","","","","",""
"1999","Bayern","","","","",""
"1999","Berlin","","","","",""
"1999","Brandenburg","","","","",""
"1999","Bremen","","","","",""
"1999","Hamburg","","","","",""
"1999","Hessen","","","","",""
"1999","Mecklenburg-Vorpommern","","","","",""
"1999","Niedersachsen","","","","",""
"1999","Nordrhein-Westfalen","","","","",""
"1999","Rheinland-Pfalz","","","","",""
"1999","Saarland","","","","",""
"1999","Sachsen","","","","",""
"1999","Sachsen-Anhalt","","","","",""
"1999","Schleswig-Holstein","","","","",""
"1999","Thueringen","","","","",""
"2000","Baden-Wuerttemberg","","","","",""
"2000","Bayern","","","","",""
"2000","Berlin","","","","",""
"2000","Brandenburg","","","","",""
"2000","Bremen","","","","",""
"2000","Hamburg","","","","",""
"2000","Hessen","","","","",""
"2000","Mecklenburg-Vorpommern","","","","",""
"2000","Niedersachsen","","","","",""
"2000","Nordrhein-Westfalen","","","","",""
"2000","Rheinland-Pfalz","","","","",""
"2000","Saarland","","","","",""
"2000","Sachsen","","","","",""
"2000","Sachsen-Anhalt","","","","",""
"2000","Schleswig-Holstein","","","","",""
"2000","Thueringen","","","","",""
"2001","Baden-Wuerttemberg","","","","",""
