"year","bildungsniveau","sampreg","mean","median","n","lower_confidence","upper_confidence"
"1984","(Fach-)Abitur","Ost","","","","",""
"1984","(Fach-)Abitur","West","7.54","7.5","852","7.4","7.68"
"1984","(noch) kein Abschluss","Ost","","","","",""
"1984","(noch) kein Abschluss","West","7.3","7.5","1263","7.17","7.43"
"1984","AkademikerIn","Ost","","","","",""
"1984","AkademikerIn","West","7.96","7.5","773","7.84","8.08"
"1984","Hauptschule","Ost","","","","",""
"1984","Hauptschule","West","7.28","7.5","7147","7.23","7.33"
"1984","Realschule","Ost","","","","",""
"1984","Realschule","West","7.82","7.5","1853","7.74","7.9"
"1985","(Fach-)Abitur","Ost","","","","",""
"1985","(Fach-)Abitur","West","7.56","7.5","778","7.43","7.69"
"1985","(noch) kein Abschluss","Ost","","","","",""
"1985","(noch) kein Abschluss","West","7.34","7.5","1061","7.22","7.46"
"1985","AkademikerIn","Ost","","","","",""
"1985","AkademikerIn","West","7.75","7.5","747","7.63","7.87"
"1985","Hauptschule","Ost","","","","",""
"1985","Hauptschule","West","7.2","7.5","6372","7.15","7.25"
"1985","Realschule","Ost","","","","",""
"1985","Realschule","West","7.64","7.5","1795","7.56","7.72"
"1986","(Fach-)Abitur","Ost","","","","",""
"1986","(Fach-)Abitur","West","7.6","7.5","793","7.47","7.73"
"1986","(noch) kein Abschluss","Ost","","","","",""
"1986","(noch) kein Abschluss","West","7.36","7.5","1017","7.24","7.48"
"1986","AkademikerIn","Ost","","","","",""
"1986","AkademikerIn","West","7.91","7.5","743","7.8","8.02"
"1986","Hauptschule","Ost","","","","",""
"1986","Hauptschule","West","7.42","7.5","6017","7.37","7.47"
"1986","Realschule","Ost","","","","",""
"1986","Realschule","West","7.66","7.5","1755","7.58","7.74"
"1987","(Fach-)Abitur","Ost","","","","",""
"1987","(Fach-)Abitur","West","7.4","7.5","765","7.27","7.53"
"1987","(noch) kein Abschluss","Ost","","","","",""
"1987","(noch) kein Abschluss","West","7.07","7.5","988","6.94","7.2"
"1987","AkademikerIn","Ost","","","","",""
"1987","AkademikerIn","West","7.55","7.5","736","7.43","7.67"
"1987","Hauptschule","Ost","","","","",""
"1987","Hauptschule","West","7.2","7.5","5946","7.15","7.25"
"1987","Realschule","Ost","","","","",""
"1987","Realschule","West","7.42","7.5","1740","7.34","7.5"
"1988","(Fach-)Abitur","Ost","","","","",""
"1988","(Fach-)Abitur","West","","","","",""
"1988","(noch) kein Abschluss","Ost","","","","",""
"1988","(noch) kein Abschluss","West","","","","",""
"1988","AkademikerIn","Ost","","","","",""
"1988","AkademikerIn","West","","","","",""
"1988","Hauptschule","Ost","","","","",""
"1988","Hauptschule","West","","","","",""
"1988","Realschule","Ost","","","","",""
"1988","Realschule","West","","","","",""
"1989","(Fach-)Abitur","Ost","","","","",""
"1989","(Fach-)Abitur","West","","","","",""
"1989","(noch) kein Abschluss","Ost","","","","",""
"1989","(noch) kein Abschluss","West","","","","",""
"1989","AkademikerIn","Ost","","","","",""
"1989","AkademikerIn","West","","","","",""
"1989","Hauptschule","Ost","","","","",""
"1989","Hauptschule","West","","","","",""
"1989","Realschule","Ost","","","","",""
"1989","Realschule","West","","","","",""
"1990","(Fach-)Abitur","Ost","","","","",""
"1990","(Fach-)Abitur","West","","","","",""
"1990","(noch) kein Abschluss","Ost","","","","",""
"1990","(noch) kein Abschluss","West","","","","",""
"1990","AkademikerIn","Ost","","","","",""
"1990","AkademikerIn","West","","","","",""
"1990","Hauptschule","Ost","","","","",""
"1990","Hauptschule","West","","","","",""
"1990","Realschule","Ost","","","","",""
"1990","Realschule","West","","","","",""
"1991","(Fach-)Abitur","Ost","","","","",""
"1991","(Fach-)Abitur","West","","","","",""
"1991","(noch) kein Abschluss","Ost","","","","",""
"1991","(noch) kein Abschluss","West","","","","",""
"1991","AkademikerIn","Ost","","","","",""
"1991","AkademikerIn","West","","","","",""
"1991","Hauptschule","Ost","","","","",""
"1991","Hauptschule","West","","","","",""
"1991","Realschule","Ost","","","","",""
"1991","Realschule","West","","","","",""
"1992","(Fach-)Abitur","Ost","","","","",""
"1992","(Fach-)Abitur","West","","","","",""
"1992","(noch) kein Abschluss","Ost","","","","",""
"1992","(noch) kein Abschluss","West","","","","",""
"1992","AkademikerIn","Ost","","","","",""
"1992","AkademikerIn","West","","","","",""
"1992","Hauptschule","Ost","","","","",""
"1992","Hauptschule","West","","","","",""
"1992","Realschule","Ost","","","","",""
"1992","Realschule","West","","","","",""
"1993","(Fach-)Abitur","Ost","","","","",""
"1993","(Fach-)Abitur","West","","","","",""
"1993","(noch) kein Abschluss","Ost","","","","",""
"1993","(noch) kein Abschluss","West","","","","",""
"1993","AkademikerIn","Ost","","","","",""
"1993","AkademikerIn","West","","","","",""
"1993","Hauptschule","Ost","","","","",""
"1993","Hauptschule","West","","","","",""
"1993","Realschule","Ost","","","","",""
"1993","Realschule","West","","","","",""
"1994","(Fach-)Abitur","Ost","","","","",""
"1994","(Fach-)Abitur","West","","","","",""
"1994","(noch) kein Abschluss","Ost","","","","",""
"1994","(noch) kein Abschluss","West","","","","",""
"1994","AkademikerIn","Ost","","","","",""
"1994","AkademikerIn","West","","","","",""
"1994","Hauptschule","Ost","","","","",""
"1994","Hauptschule","West","","","","",""
"1994","Realschule","Ost","","","","",""
"1994","Realschule","West","","","","",""
"1995","(Fach-)Abitur","Ost","","","","",""
"1995","(Fach-)Abitur","West","","","","",""
"1995","(noch) kein Abschluss","Ost","","","","",""
"1995","(noch) kein Abschluss","West","","","","",""
"1995","AkademikerIn","Ost","","","","",""
"1995","AkademikerIn","West","","","","",""
"1995","Hauptschule","Ost","","","","",""
"1995","Hauptschule","West","","","","",""
"1995","Realschule","Ost","","","","",""
"1995","Realschule","West","","","","",""
"1996","(Fach-)Abitur","Ost","","","","",""
"1996","(Fach-)Abitur","West","","","","",""
"1996","(noch) kein Abschluss","Ost","","","","",""
"1996","(noch) kein Abschluss","West","","","","",""
"1996","AkademikerIn","Ost","","","","",""
"1996","AkademikerIn","West","","","","",""
"1996","Hauptschule","Ost","","","","",""
"1996","Hauptschule","West","","","","",""
"1996","Realschule","Ost","","","","",""
