"year","bildungsniveau","regtyp","mean","median","n","lower_confidence","upper_confidence"
"1985","(Fach-)Abitur","Laendlicher Raum","7.4","7.5","107","7.04","7.76"
"1985","(Fach-)Abitur","Staedtischer Raum","7.59","7.5","671","7.45","7.73"
"1985","(noch) kein Abschluss","Laendlicher Raum","7.31","7.5","142","6.94","7.68"
"1985","(noch) kein Abschluss","Staedtischer Raum","7.35","7.5","919","7.22","7.48"
"1985","AkademikerIn","Laendlicher Raum","7.94","7.5","122","7.66","8.22"
"1985","AkademikerIn","Staedtischer Raum","7.71","7.5","625","7.58","7.84"
"1985","Hauptschule","Laendlicher Raum","6.99","6.5","1545","6.88","7.1"
"1985","Hauptschule","Staedtischer Raum","7.27","7.5","4827","7.21","7.33"
"1985","Realschule","Laendlicher Raum","7.64","7.5","404","7.47","7.81"
"1985","Realschule","Staedtischer Raum","7.63","7.5","1391","7.54","7.72"
"1986","(Fach-)Abitur","Laendlicher Raum","7.44","7.5","120","7.11","7.77"
"1986","(Fach-)Abitur","Staedtischer Raum","7.63","7.5","673","7.49","7.77"
"1986","(noch) kein Abschluss","Laendlicher Raum","7.32","7.5","127","6.98","7.66"
"1986","(noch) kein Abschluss","Staedtischer Raum","7.37","7.5","890","7.24","7.5"
"1986","AkademikerIn","Laendlicher Raum","7.96","7.5","124","7.7","8.22"
"1986","AkademikerIn","Staedtischer Raum","7.9","7.5","619","7.78","8.02"
"1986","Hauptschule","Laendlicher Raum","7.29","7.5","1459","7.19","7.39"
"1986","Hauptschule","Staedtischer Raum","7.46","7.5","4558","7.4","7.52"
"1986","Realschule","Laendlicher Raum","7.68","7.5","390","7.52","7.84"
"1986","Realschule","Staedtischer Raum","7.66","7.5","1365","7.57","7.75"
"1987","(Fach-)Abitur","Laendlicher Raum","7.53","7.5","108","7.19","7.87"
"1987","(Fach-)Abitur","Staedtischer Raum","7.37","7.5","657","7.23","7.51"
"1987","(noch) kein Abschluss","Laendlicher Raum","6.86","6.5","121","6.44","7.28"
"1987","(noch) kein Abschluss","Staedtischer Raum","7.11","7.5","867","6.98","7.24"
"1987","AkademikerIn","Laendlicher Raum","7.47","7.5","123","7.17","7.77"
"1987","AkademikerIn","Staedtischer Raum","7.57","7.5","613","7.44","7.7"
"1987","Hauptschule","Laendlicher Raum","7.01","6.5","1431","6.91","7.11"
"1987","Hauptschule","Staedtischer Raum","7.27","7.5","4515","7.22","7.32"
"1987","Realschule","Laendlicher Raum","7.34","7.5","398","7.16","7.52"
"1987","Realschule","Staedtischer Raum","7.45","7.5","1342","7.36","7.54"
"1988","(Fach-)Abitur","Laendlicher Raum","","","","",""
"1988","(Fach-)Abitur","Staedtischer Raum","","","","",""
"1988","(noch) kein Abschluss","Laendlicher Raum","","","","",""
"1988","(noch) kein Abschluss","Staedtischer Raum","","","","",""
"1988","AkademikerIn","Laendlicher Raum","","","","",""
"1988","AkademikerIn","Staedtischer Raum","","","","",""
"1988","Hauptschule","Laendlicher Raum","","","","",""
"1988","Hauptschule","Staedtischer Raum","","","","",""
"1988","Realschule","Laendlicher Raum","","","","",""
"1988","Realschule","Staedtischer Raum","","","","",""
"1989","(Fach-)Abitur","Laendlicher Raum","","","","",""
"1989","(Fach-)Abitur","Staedtischer Raum","","","","",""
"1989","(noch) kein Abschluss","Laendlicher Raum","","","","",""
"1989","(noch) kein Abschluss","Staedtischer Raum","","","","",""
"1989","AkademikerIn","Laendlicher Raum","","","","",""
"1989","AkademikerIn","Staedtischer Raum","","","","",""
"1989","Hauptschule","Laendlicher Raum","","","","",""
"1989","Hauptschule","Staedtischer Raum","","","","",""
"1989","Realschule","Laendlicher Raum","","","","",""
"1989","Realschule","Staedtischer Raum","","","","",""
