"year","sampreg","sex","mean","median","n","lower_confidence","upper_confidence"
"1984","Ost","männlich","","","","",""
"1984","Ost","weiblich","","","","",""
"1984","West","männlich","7.43","7.5","5851","7.38","7.48"
"1984","West","weiblich","7.47","7.5","6125","7.42","7.52"
"1985","Ost","männlich","","","","",""
"1985","Ost","weiblich","","","","",""
"1985","West","männlich","7.33","7.5","5362","7.28","7.38"
"1985","West","weiblich","7.38","7.5","5523","7.33","7.43"
"1986","Ost","männlich","","","","",""
"1986","Ost","weiblich","","","","",""
"1986","West","männlich","7.51","7.5","5171","7.46","7.56"
"1986","West","weiblich","7.52","7.5","5287","7.47","7.57"
"1987","Ost","männlich","","","","",""
"1987","Ost","weiblich","","","","",""
"1987","West","männlich","7.3","7.5","5114","7.25","7.35"
"1987","West","weiblich","7.27","7.5","5211","7.22","7.32"
"1988","Ost","männlich","","","","",""
"1988","Ost","weiblich","","","","",""
"1988","West","männlich","","","","",""
"1988","West","weiblich","","","","",""
"1989","Ost","männlich","","","","",""
"1989","Ost","weiblich","","","","",""
"1989","West","männlich","","","","",""
"1989","West","weiblich","","","","",""
"1990","Ost","männlich","","","","",""
"1990","Ost","weiblich","","","","",""
"1990","West","männlich","","","","",""
"1990","West","weiblich","","","","",""
"1991","Ost","männlich","","","","",""
"1991","Ost","weiblich","","","","",""
"1991","West","männlich","","","","",""
"1991","West","weiblich","","","","",""
"1992","Ost","männlich","","","","",""
"1992","Ost","weiblich","","","","",""
"1992","West","männlich","","","","",""
"1992","West","weiblich","","","","",""
"1993","Ost","männlich","","","","",""
"1993","Ost","weiblich","","","","",""
"1993","West","männlich","","","","",""
"1993","West","weiblich","","","","",""
"1994","Ost","männlich","","","","",""
"1994","Ost","weiblich","","","","",""
"1994","West","männlich","","","","",""
"1994","West","weiblich","","","","",""
"1995","Ost","männlich","","","","",""
"1995","Ost","weiblich","","","","",""
"1995","West","männlich","","","","",""
"1995","West","weiblich","","","","",""
"1996","Ost","männlich","","","","",""
"1996","Ost","weiblich","","","","",""
"1996","West","männlich","","","","",""
"1996","West","weiblich","","","","",""
"1997","Ost","männlich","","","","",""
"1997","Ost","weiblich","","","","",""
"1997","West","männlich","","","","",""
"1997","West","weiblich","","","","",""
"1998","Ost","männlich","","","","",""
"1998","Ost","weiblich","","","","",""
"1998","West","männlich","","","","",""
"1998","West","weiblich","","","","",""
"1999","Ost","männlich","","","","",""
"1999","Ost","weiblich","","","","",""
"1999","West","männlich","","","","",""
"1999","West","weiblich","","","","",""
"2000","Ost","männlich","","","","",""
"2000","Ost","weiblich","","","","",""
"2000","West","männlich","","","","",""
"2000","West","weiblich","","","","",""
"2001","Ost","männlich","","","","",""
"2001","Ost","weiblich","","","","",""
"2001","West","männlich","","","","",""
"2001","West","weiblich","","","","",""
"2002","Ost","männlich","","","","",""
"2002","Ost","weiblich","","","","",""
"2002","West","männlich","","","","",""
"2002","West","weiblich","","","","",""
"2003","Ost","männlich","","","","",""
"2003","Ost","weiblich","","","","",""
"2003","West","männlich","","","","",""
"2003","West","weiblich","","","","",""
"2004","Ost","männlich","","","","",""
"2004","Ost","weiblich","","","","",""
"2004","West","männlich","","","","",""
"2004","West","weiblich","","","","",""
"2005","Ost","männlich","","","","",""
"2005","Ost","weiblich","","","","",""
"2005","West","männlich","","","","",""
"2005","West","weiblich","","","","",""
"2006","Ost","männlich","","","","",""
"2006","Ost","weiblich","","","","",""
"2006","West","männlich","","","","",""
"2006","West","weiblich","","","","",""
"2007","Ost","männlich","","","","",""
"2007","Ost","weiblich","","","","",""
"2007","West","männlich","","","","",""
"2007","West","weiblich","","","","",""
"2008","Ost","männlich","6.52","6.5","2293","6.44","6.6"
"2008","Ost","weiblich","6.64","6.5","2456","6.57","6.71"
"2008","West","männlich","7.12","7.5","6829","7.08","7.16"
"2008","West","weiblich","7.1","7.5","7549","7.06","7.14"
"2009","Ost","männlich","","","","",""
"2009","Ost","weiblich","","","","",""
"2009","West","männlich","","","","",""
"2009","West","weiblich","","","","",""
"2010","Ost","männlich","","","","",""
"2010","Ost","weiblich","","","","",""
"2010","West","männlich","","","","",""
"2010","West","weiblich","","","","",""
"2011","Ost","männlich","","","","",""
"2011","Ost","weiblich","","","","",""
"2011","West","männlich","","","","",""
"2011","West","weiblich","","","","",""
"2012","Ost","männlich","","","","",""
"2012","Ost","weiblich","","","","",""
"2012","West","männlich","","","","",""
"2012","West","weiblich","","","","",""
"2013","Ost","männlich","6.91","6.5","2258","6.83","6.99"
"2013","Ost","weiblich","6.96","6.5","2526","6.89","7.03"
"2013","West","männlich","7.42","7.5","8813","7.39","7.45"
"2013","West","weiblich","7.44","7.5","9910","7.41","7.47"
"2014","Ost","männlich","","","","",""
"2014","Ost","weiblich","","","","",""
"2014","West","männlich","","","","",""
"2014","West","weiblich","","","","",""
"2015","Ost","männlich","","","","",""
"2015","Ost","weiblich","","","","",""
"2015","West","männlich","","","","",""
"2015","West","weiblich","","","","",""
"2016","Ost","männlich","","","","",""
"2016","Ost","weiblich","","","","",""
"2016","West","männlich","","","","",""
"2016","West","weiblich","","","","",""
"2017","Ost","männlich","","","","",""
"2017","Ost","weiblich","","","","",""
"2017","West","männlich","","","","",""
"2017","West","weiblich","","","","",""
"2018","Ost","männlich","7.26","7.5","2510","7.2","7.32"
"2018","Ost","weiblich","7.36","7.5","2936","7.3","7.42"
"2018","West","männlich","7.6","7.5","9172","7.57","7.63"
"2018","West","weiblich","7.68","7.5","10708","7.65","7.71"
