"year","bildungsniveau","sex","mean","median","n","lower_confidence","upper_confidence"
"1984","(Fach-)Abitur","maennlich","7.53","8","510","7.35","7.71"
"1984","(Fach-)Abitur","weiblich","7.56","8","345","7.33","7.79"
"1984","(noch) kein Abschluss","maennlich","7.31","8","587","7.12","7.5"
"1984","(noch) kein Abschluss","weiblich","7.33","8","707","7.17","7.49"
"1984","AkademikerInnen","maennlich","7.93","8","526","7.78","8.08"
"1984","AkademikerInnen","weiblich","8.01","8","250","7.8","8.22"
"1984","Hauptschulabschluss","maennlich","7.23","8","3465","7.16","7.3"
"1984","Hauptschulabschluss","weiblich","7.32","8","3721","7.25","7.39"
"1984","Realschulabschluss","maennlich","7.81","8","776","7.69","7.93"
"1984","Realschulabschluss","weiblich","7.83","8","1080","7.71","7.95"
"1985","(Fach-)Abitur","maennlich","7.5","8","464","7.34","7.66"
"1985","(Fach-)Abitur","weiblich","7.6","8","320","7.39","7.81"
"1985","(noch) kein Abschluss","maennlich","7.41","8","506","7.23","7.59"
"1985","(noch) kein Abschluss","weiblich","7.24","8","573","7.07","7.41"
"1985","AkademikerInnen","maennlich","7.74","8","505","7.6","7.88"
"1985","AkademikerInnen","weiblich","7.77","8","245","7.57","7.97"
"1985","Hauptschulabschluss","maennlich","7.15","8","3120","7.08","7.22"
"1985","Hauptschulabschluss","weiblich","7.24","8","3283","7.17","7.31"
"1985","Realschulabschluss","maennlich","7.56","8","753","7.43","7.69"
"1985","Realschulabschluss","weiblich","7.69","8","1046","7.58","7.8"
"1986","(Fach-)Abitur","maennlich","7.58","8","467","7.41","7.75"
"1986","(Fach-)Abitur","weiblich","7.59","8","336","7.4","7.78"
"1986","(noch) kein Abschluss","maennlich","7.39","8","484","7.2","7.58"
"1986","(noch) kein Abschluss","weiblich","7.29","8","546","7.13","7.45"
"1986","AkademikerInnen","maennlich","7.83","8","505","7.7","7.96"
"1986","AkademikerInnen","weiblich","8.08","8","240","7.89","8.27"
"1986","Hauptschulabschluss","maennlich","7.41","8","2960","7.34","7.48"
"1986","Hauptschulabschluss","weiblich","7.42","8","3085","7.35","7.49"
"1986","Realschulabschluss","maennlich","7.61","8","731","7.49","7.73"
