"year","migback","regtyp","mean","median","n","lower_confidence","upper_confidence"
"1985","direkter Migrationshintergrund","Laendlicher Raum","7.23","7.5","347","6.99","7.47"
"1985","direkter Migrationshintergrund","Staedtischer Raum","7.37","7.5","2513","7.29","7.45"
"1985","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"1985","indirekter Migrationshintergrund","Staedtischer Raum","7.76","7.5","121","7.46","8.06"
"1985","kein Migrationshintergrund ","Laendlicher Raum","7.19","7.5","1975","7.1","7.28"
"1985","kein Migrationshintergrund ","Staedtischer Raum","7.41","7.5","5911","7.36","7.46"
"1986","direkter Migrationshintergrund","Laendlicher Raum","7.72","7.5","361","7.51","7.93"
"1986","direkter Migrationshintergrund","Staedtischer Raum","7.48","7.5","2421","7.4","7.56"
"1986","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"1986","indirekter Migrationshintergrund","Staedtischer Raum","8.1","7.5","134","7.8","8.4"
"1986","kein Migrationshintergrund ","Laendlicher Raum","7.39","7.5","1859","7.31","7.47"
"1986","kein Migrationshintergrund ","Staedtischer Raum","7.55","7.5","5663","7.5","7.6"
"1987","direkter Migrationshintergrund","Laendlicher Raum","7.56","7.5","366","7.35","7.77"
"1987","direkter Migrationshintergrund","Staedtischer Raum","7.32","7.5","2400","7.24","7.4"
"1987","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"1987","indirekter Migrationshintergrund","Staedtischer Raum","7.81","7.5","151","7.55","8.07"
"1987","kein Migrationshintergrund ","Laendlicher Raum","7.09","6.5","1816","7","7.18"
"1987","kein Migrationshintergrund ","Staedtischer Raum","7.33","7.5","5571","7.28","7.38"
"1988","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"1988","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"1988","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"1988","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"1988","kein Migrationshintergrund ","Laendlicher Raum","","","","",""
"1988","kein Migrationshintergrund ","Staedtischer Raum","","","","",""
"1989","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"1989","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"1989","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"1989","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"1989","kein Migrationshintergrund ","Laendlicher Raum","","","","",""
"1989","kein Migrationshintergrund ","Staedtischer Raum","","","","",""
"1990","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"1990","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"1990","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"1990","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"1990","kein Migrationshintergrund ","Laendlicher Raum","","","","",""
"1990","kein Migrationshintergrund ","Staedtischer Raum","","","","",""
"1991","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"1991","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"1991","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"1991","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"1991","kein Migrationshintergrund ","Laendlicher Raum","","","","",""
"1991","kein Migrationshintergrund ","Staedtischer Raum","","","","",""
"1992","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"1992","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"1992","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"1992","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"1992","kein Migrationshintergrund ","Laendlicher Raum","","","","",""
"1992","kein Migrationshintergrund ","Staedtischer Raum","","","","",""
"1993","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"1993","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"1993","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"1993","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"1993","kein Migrationshintergrund ","Laendlicher Raum","","","","",""
"1993","kein Migrationshintergrund ","Staedtischer Raum","","","","",""
"1994","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"1994","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"1994","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"1994","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"1994","kein Migrationshintergrund ","Laendlicher Raum","","","","",""
"1994","kein Migrationshintergrund ","Staedtischer Raum","","","","",""
"1995","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"1995","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"1995","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"1995","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"1995","kein Migrationshintergrund ","Laendlicher Raum","","","","",""
"1995","kein Migrationshintergrund ","Staedtischer Raum","","","","",""
"1996","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"1996","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"1996","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"1996","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"1996","kein Migrationshintergrund ","Laendlicher Raum","","","","",""
"1996","kein Migrationshintergrund ","Staedtischer Raum","","","","",""
"1997","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"1997","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"1997","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"1997","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"1997","kein Migrationshintergrund ","Laendlicher Raum","","","","",""
"1997","kein Migrationshintergrund ","Staedtischer Raum","","","","",""
"1998","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"1998","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"1998","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"1998","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"1998","kein Migrationshintergrund ","Laendlicher Raum","","","","",""
"1998","kein Migrationshintergrund ","Staedtischer Raum","","","","",""
"1999","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"1999","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"1999","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"1999","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"1999","kein Migrationshintergrund ","Laendlicher Raum","","","","",""
"1999","kein Migrationshintergrund ","Staedtischer Raum","","","","",""
"2000","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2000","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2000","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2000","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2000","kein Migrationshintergrund ","Laendlicher Raum","","","","",""
"2000","kein Migrationshintergrund ","Staedtischer Raum","","","","",""
"2001","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2001","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2001","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2001","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2001","kein Migrationshintergrund ","Laendlicher Raum","","","","",""
"2001","kein Migrationshintergrund ","Staedtischer Raum","","","","",""
"2002","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2002","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2002","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2002","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2002","kein Migrationshintergrund ","Laendlicher Raum","","","","",""
"2002","kein Migrationshintergrund ","Staedtischer Raum","","","","",""
"2003","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2003","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2003","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2003","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2003","kein Migrationshintergrund ","Laendlicher Raum","","","","",""
"2003","kein Migrationshintergrund ","Staedtischer Raum","","","","",""
"2004","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2004","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2004","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2004","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2004","kein Migrationshintergrund ","Laendlicher Raum","","","","",""
"2004","kein Migrationshintergrund ","Staedtischer Raum","","","","",""
"2005","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2005","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2005","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2005","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2005","kein Migrationshintergrund ","Laendlicher Raum","","","","",""
"2005","kein Migrationshintergrund ","Staedtischer Raum","","","","",""
"2006","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2006","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2006","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2006","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2006","kein Migrationshintergrund ","Laendlicher Raum","","","","",""
"2006","kein Migrationshintergrund ","Staedtischer Raum","","","","",""
