"pli0165","year","migback","n","percent","lower_confidence","upper_confidence"
"Taeglich","2013","kein Migrationshintergrund","5571","0.23944002424294","0.233738485694569","0.245141562791311"
"Taeglich","2013","direkter Migrationshintergrund","710","0.21777481230131","0.202069405565821","0.233480219036799"
"Taeglich","2013","indirekter Migrationshintergrund","580","0.50270850251147","0.474204687878434","0.531212317144506"
"Min 1x pro Woche","2013","kein Migrationshintergrund","2348","0.105011583994171","0.100915637551202","0.109107530437139"
"Min 1x pro Woche","2013","direkter Migrationshintergrund","383","0.117693397898193","0.105431285823249","0.129955509973137"
"Min 1x pro Woche","2013","indirekter Migrationshintergrund","187","0.154682216060138","0.134067870667758","0.175296561452518"
"Min 1x pro Monat","2013","kein Migrationshintergrund","591","0.0276208702339172","0.0254312769577402","0.0298104635100941"
"Min 1x pro Monat","2013","direkter Migrationshintergrund","94","0.0362082249423906","0.0290997785721548","0.0433166713126264"
"Min 1x pro Monat","2013","indirekter Migrationshintergrund","38","0.0386313676593468","0.0276449939320156","0.0496177413866781"
"Seltener","2013","kein Migrationshintergrund","1684","0.0753621800791999","0.0718353096016381","0.0788890505567617"
"Seltener","2013","direkter Migrationshintergrund","218","0.0733661283864285","0.063444536649403","0.083287720123454"
"Seltener","2013","indirekter Migrationshintergrund","88","0.056148758810636","0.0430249103013401","0.0692726073199319"
"Nie","2013","kein Migrationshintergrund","11326","0.552565341449772","0.545922045669779","0.559208637229765"
"Nie","2013","direkter Migrationshintergrund","1248","0.554957436471678","0.53604662879005","0.573868244153307"
"Nie","2013","indirekter Migrationshintergrund","289","0.247829154958409","0.223215630897655","0.272442679019164"
"Taeglich","2014","kein Migrationshintergrund","","","",""
"Taeglich","2014","direkter Migrationshintergrund","","","",""
"Taeglich","2014","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","2014","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","2014","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","2014","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","2014","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","2014","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","2014","indirekter Migrationshintergrund","","","",""
"Seltener","2014","kein Migrationshintergrund","","","",""
"Seltener","2014","direkter Migrationshintergrund","","","",""
"Seltener","2014","indirekter Migrationshintergrund","","","",""
"Nie","2014","kein Migrationshintergrund","","","",""
"Nie","2014","direkter Migrationshintergrund","","","",""
"Nie","2014","indirekter Migrationshintergrund","","","",""
"Taeglich","2015","kein Migrationshintergrund","","","",""
"Taeglich","2015","direkter Migrationshintergrund","","","",""
"Taeglich","2015","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","2015","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","2015","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","2015","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","2015","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","2015","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","2015","indirekter Migrationshintergrund","","","",""
"Seltener","2015","kein Migrationshintergrund","","","",""
"Seltener","2015","direkter Migrationshintergrund","","","",""
"Seltener","2015","indirekter Migrationshintergrund","","","",""
"Nie","2015","kein Migrationshintergrund","","","",""
"Nie","2015","direkter Migrationshintergrund","","","",""
"Nie","2015","indirekter Migrationshintergrund","","","",""
"Taeglich","2016","kein Migrationshintergrund","","","",""
"Taeglich","2016","direkter Migrationshintergrund","","","",""
"Taeglich","2016","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","2016","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","2016","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","2016","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","2016","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","2016","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","2016","indirekter Migrationshintergrund","","","",""
"Seltener","2016","kein Migrationshintergrund","","","",""
"Seltener","2016","direkter Migrationshintergrund","","","",""
"Seltener","2016","indirekter Migrationshintergrund","","","",""
"Nie","2016","kein Migrationshintergrund","","","",""
"Nie","2016","direkter Migrationshintergrund","","","",""
"Nie","2016","indirekter Migrationshintergrund","","","",""
"Taeglich","2017","kein Migrationshintergrund","","","",""
"Taeglich","2017","direkter Migrationshintergrund","2418","0.619840645217897","0.604742589840007","0.634938700595787"
"Taeglich","2017","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","2017","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","2017","direkter Migrationshintergrund","644","0.152227640303158","0.14105426126666","0.163401019339656"
"Min 1x pro Woche","2017","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","2017","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","2017","direkter Migrationshintergrund","101","0.0310916965496066","0.0256933383689575","0.0364900547302556"
"Min 1x pro Monat","2017","indirekter Migrationshintergrund","","","",""
