year,migback,sampreg,pli0165,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,No migration background,West,Daily,0.24756,4305,15989,0.24087,0.25425
2013,No migration background,West,At least once per week,0.10730,1768,15989,0.10250,0.11210
2013,No migration background,West,At least once per month,0.02877,447,15989,0.02618,0.03136
2013,No migration background,West,Seldom,0.07519,1272,15989,0.07111,0.07928
2013,No migration background,West,Never,0.54117,8197,15989,0.53345,0.54890
2013,No migration background,East,Daily,0.20529,1233,5448,0.19456,0.21601
2013,No migration background,East,At least once per week,0.09776,575,5448,0.08987,0.10564
2013,No migration background,East,At least once per month,0.02309,141,5448,0.01910,0.02708
2013,No migration background,East,Seldom,0.07587,408,5448,0.06883,0.08290
2013,No migration background,East,Never,0.59800,3091,5448,0.58498,0.61102
2013,Direct migration background,West,Daily,0.21562,718,2654,0.19997,0.23127
2013,Direct migration background,West,At least once per week,0.12146,390,2654,0.10903,0.13389
2013,Direct migration background,West,At least once per month,0.03694,97,2654,0.02976,0.04412
2013,Direct migration background,West,Seldom,0.07298,217,2654,0.06308,0.08288
2013,Direct migration background,West,Never,0.55300,1232,2654,0.53408,0.57192
2013,Direct migration background,East,Daily,0.18238,39,121,0.11329,0.25148
2013,Direct migration background,East,Never,0.59452,82,121,0.50667,0.68237
2013,Indirect migration background,West,Daily,0.51638,539,1042,0.48602,0.54674
2013,Indirect migration background,West,At least once per week,0.14793,157,1042,0.12636,0.16950
2013,Indirect migration background,West,At least once per month,0.03915,31,1042,0.02737,0.05094
2013,Indirect migration background,West,Seldom,0.05352,72,1042,0.03985,0.06719
2013,Indirect migration background,West,Never,0.24302,243,1042,0.21696,0.26908
2017,Direct migration background,West,Daily,0.61268,2063,3385,0.59626,0.62909
2017,Direct migration background,West,At least once per week,0.15380,541,3385,0.14164,0.16595
2017,Direct migration background,West,At least once per month,0.03058,84,3385,0.02477,0.03638
2017,Direct migration background,West,Seldom,0.05984,213,3385,0.05185,0.06783
2017,Direct migration background,West,Never,0.14311,484,3385,0.13132,0.15491
2017,Direct migration background,East,Daily,0.65486,351,543,0.61484,0.69489
2017,Direct migration background,East,At least once per week,0.14364,102,543,0.11412,0.17317
2017,Direct migration background,East,Never,0.12412,90,543,0.09636,0.15188
2018,Direct migration background,West,Daily,0.69412,1808,2708,0.67676,0.71148
2018,Direct migration background,West,At least once per week,0.14575,431,2708,0.13246,0.15904
2018,Direct migration background,West,At least once per month,0.02869,86,2708,0.02240,0.03498
2018,Direct migration background,West,Seldom,0.04363,133,2708,0.03593,0.05132
2018,Direct migration background,West,Never,0.08781,250,2708,0.07714,0.09847
2018,Direct migration background,East,Daily,0.63650,283,441,0.59155,0.68144
2018,Direct migration background,East,At least once per week,0.15559,81,441,0.12172,0.18946
2018,Direct migration background,East,Never,0.13641,77,441,0.10434,0.16848
2019,Direct migration background,West,Daily,0.70735,1873,2669,0.69009,0.72462
2019,Direct migration background,West,At least once per week,0.15909,408,2669,0.14521,0.17297
2019,Direct migration background,West,At least once per month,0.01661,53,2669,0.01176,0.02146
2019,Direct migration background,West,Seldom,0.04413,134,2669,0.03634,0.05193
2019,Direct migration background,West,Never,0.07282,201,2669,0.06296,0.08268
2019,Direct migration background,East,Daily,0.69205,278,396,0.64653,0.73758
2019,Direct migration background,East,At least once per week,0.11973,66,396,0.08772,0.15175
2019,Direct migration background,East,Never,0.11432,52,396,0.08294,0.14570
