year,pgisced97,regtyp,pli0165,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,No answer / don't know,Urban regions,Daily,0.61775,201,292,0.56191,0.67358
2013,No answer / don't know,Urban regions,At least once per week,0.14639,34,292,0.10577,0.18701
2013,No answer / don't know,Urban regions,Never,0.17289,57,292,0.12945,0.21634
2013,No answer / don't know,Rural regions,Daily,0.45953,98,131,0.37386,0.54520
2013,No answer / don't know,Rural regions,Never,0.33656,33,131,0.25533,0.41779
2013,Pre-primary Level,Urban regions,Daily,0.88292,262,262,0.84391,0.92192
2013,Pre-primary Level,Rural regions,Daily,0.78076,105,105,0.70124,0.86028
2013,Primary Level,Urban regions,Daily,0.18433,62,174,0.12655,0.24211
2013,Primary Level,Urban regions,Never,0.63879,112,174,0.56721,0.71037
2013,Primary Level,Rural regions,Daily,0.22816,37,94,0.14287,0.31345
2013,Primary Level,Rural regions,Never,0.60492,57,94,0.50556,0.70427
2013,Lower Secondary Level,Urban regions,Daily,0.25921,567,1636,0.23797,0.28045
2013,Lower Secondary Level,Urban regions,At least once per week,0.07012,156,1636,0.05774,0.08250
2013,Lower Secondary Level,Urban regions,Seldom,0.04519,96,1636,0.03512,0.05525
2013,Lower Secondary Level,Urban regions,Never,0.60928,817,1636,0.58563,0.63293
2013,Lower Secondary Level,Rural regions,Daily,0.22036,274,900,0.19327,0.24746
2013,Lower Secondary Level,Rural regions,At least once per week,0.05935,83,900,0.04391,0.07480
2013,Lower Secondary Level,Rural regions,Seldom,0.04379,44,900,0.03041,0.05717
2013,Lower Secondary Level,Rural regions,Never,0.66164,499,900,0.63071,0.69257
2013,Upper Secondary Level,Urban regions,Daily,0.24492,1986,7237,0.23502,0.25483
2013,Upper Secondary Level,Urban regions,At least once per week,0.10815,815,7237,0.10100,0.11531
2013,Upper Secondary Level,Urban regions,At least once per month,0.02778,205,7237,0.02400,0.03157
2013,Upper Secondary Level,Urban regions,Seldom,0.06713,494,7237,0.06136,0.07289
2013,Upper Secondary Level,Urban regions,Never,0.55201,3737,7237,0.54055,0.56347
2013,Upper Secondary Level,Rural regions,Daily,0.21520,1229,5079,0.20389,0.22650
2013,Upper Secondary Level,Rural regions,At least once per week,0.10866,562,5079,0.10010,0.11722
2013,Upper Secondary Level,Rural regions,At least once per month,0.02727,143,5079,0.02279,0.03175
2013,Upper Secondary Level,Rural regions,Seldom,0.08731,433,5079,0.07954,0.09507
2013,Upper Secondary Level,Rural regions,Never,0.56157,2712,5079,0.54792,0.57521
2013,Post-secondary Non-tertiary Level,Urban regions,Daily,0.34626,412,1274,0.32013,0.37240
2013,Post-secondary Non-tertiary Level,Urban regions,At least once per week,0.12520,160,1274,0.10702,0.14338
2013,Post-secondary Non-tertiary Level,Urban regions,At least once per month,0.03710,43,1274,0.02672,0.04748
2013,Post-secondary Non-tertiary Level,Urban regions,Seldom,0.07051,102,1274,0.05644,0.08457
2013,Post-secondary Non-tertiary Level,Urban regions,Never,0.42093,557,1274,0.39381,0.44806
2013,Post-secondary Non-tertiary Level,Rural regions,Daily,0.27057,144,484,0.23095,0.31019
2013,Post-secondary Non-tertiary Level,Rural regions,At least once per week,0.11198,68,484,0.08386,0.14010
2013,Post-secondary Non-tertiary Level,Rural regions,Seldom,0.10130,37,484,0.07439,0.12821
2013,Post-secondary Non-tertiary Level,Rural regions,Never,0.49885,235,484,0.45426,0.54345
2013,First Stage of Tertiary Education,Urban regions,Daily,0.20332,195,955,0.17778,0.22886
2013,First Stage of Tertiary Education,Urban regions,At least once per week,0.12698,133,955,0.10585,0.14811
2013,First Stage of Tertiary Education,Urban regions,Seldom,0.09959,89,955,0.08059,0.11859
2013,First Stage of Tertiary Education,Urban regions,Never,0.54199,538,955,0.51037,0.57360
2013,First Stage of Tertiary Education,Rural regions,Daily,0.12556,98,652,0.10011,0.15101
2013,First Stage of Tertiary Education,Rural regions,At least once per week,0.09892,70,652,0.07599,0.12185
2013,First Stage of Tertiary Education,Rural regions,Seldom,0.11140,73,652,0.08723,0.13557
2013,First Stage of Tertiary Education,Rural regions,Never,0.63103,411,652,0.59397,0.66810
2013,Second Stage of Tertiary Education,Urban regions,Daily,0.22777,892,4160,0.21503,0.24052
2013,Second Stage of Tertiary Education,Urban regions,At least once per week,0.11859,531,4160,0.10876,0.12841
2013,Second Stage of Tertiary Education,Urban regions,At least once per month,0.04161,156,4160,0.03554,0.04768
2013,Second Stage of Tertiary Education,Urban regions,Seldom,0.08910,427,4160,0.08044,0.09776
2013,Second Stage of Tertiary Education,Urban regions,Never,0.52294,2154,4160,0.50776,0.53812
2013,Second Stage of Tertiary Education,Rural regions,Daily,0.17258,299,1642,0.15430,0.19086
2013,Second Stage of Tertiary Education,Rural regions,At least once per week,0.11563,207,1642,0.10016,0.13110
2013,Second Stage of Tertiary Education,Rural regions,At least once per month,0.02768,48,1642,0.01974,0.03562
2013,Second Stage of Tertiary Education,Rural regions,Seldom,0.08750,160,1642,0.07383,0.10117
2013,Second Stage of Tertiary Education,Rural regions,Never,0.59661,928,1642,0.57287,0.62035
2017,No answer / don't know,Urban regions,Daily,0.50498,88,120,0.41515,0.59481
2017,No answer / don't know,Urban regions,At least once per week,0.23562,32,120,0.15937,0.31187
2017,No answer / don't know,Rural regions,Daily,0.55653,32,32,0.38165,0.73142
2017,Primary Level,Urban regions,Daily,0.48847,488,930,0.45633,0.52061
2017,Primary Level,Urban regions,At least once per week,0.17864,173,930,0.15401,0.20327
2017,Primary Level,Urban regions,Seldom,0.05190,51,930,0.03763,0.06616
2017,Primary Level,Urban regions,Never,0.25604,218,930,0.22797,0.28410
2017,Primary Level,Rural regions,Daily,0.53602,226,448,0.48979,0.58225
2017,Primary Level,Rural regions,At least once per week,0.14154,82,448,0.10923,0.17386
2017,Primary Level,Rural regions,Seldom,0.05195,31,448,0.03137,0.07252
2017,Primary Level,Rural regions,Never,0.22490,109,448,0.18619,0.26360
2017,Lower Secondary Level,Urban regions,Daily,0.60015,351,538,0.55872,0.64159
2017,Lower Secondary Level,Urban regions,At least once per week,0.17372,86,538,0.14167,0.20576
2017,Lower Secondary Level,Urban regions,Seldom,0.04602,33,538,0.02830,0.06375
2017,Lower Secondary Level,Urban regions,Never,0.13959,68,538,0.11028,0.16890
2017,Lower Secondary Level,Rural regions,Daily,0.66938,164,233,0.60884,0.72992
2017,Lower Secondary Level,Rural regions,At least once per week,0.15695,34,233,0.11014,0.20376
2017,Lower Secondary Level,Rural regions,Never,0.10559,35,233,0.06604,0.14513
2017,Upper Secondary Level,Urban regions,Daily,0.66807,318,456,0.62480,0.71134
2017,Upper Secondary Level,Urban regions,At least once per week,0.12377,68,456,0.09351,0.15403
2017,Upper Secondary Level,Urban regions,Seldom,0.07811,32,456,0.05345,0.10277
2017,Upper Secondary Level,Urban regions,Never,0.08986,38,456,0.06359,0.11614
2017,Upper Secondary Level,Rural regions,Daily,0.73674,133,169,0.67015,0.80334
2017,Upper Secondary Level,Rural regions,At least once per week,0.11542,36,169,0.06710,0.16373
2017,Post-secondary Non-tertiary Level,Urban regions,Daily,0.69517,48,48,0.56356,0.82678
2017,Second Stage of Tertiary Education,Urban regions,Daily,0.75544,397,470,0.71654,0.79434
2017,Second Stage of Tertiary Education,Urban regions,At least once per week,0.11814,73,470,0.08893,0.14735
2017,Second Stage of Tertiary Education,Rural regions,Daily,0.76133,142,142,0.69097,0.83169
2018,No answer / don't know,Urban regions,Daily,0.47864,99,130,0.39244,0.56485
2018,No answer / don't know,Urban regions,At least once per week,0.23987,31,130,0.16618,0.31355
2018,Primary Level,Urban regions,Daily,0.56328,465,781,0.52848,0.59809
2018,Primary Level,Urban regions,At least once per week,0.17572,134,781,0.14901,0.20242
2018,Primary Level,Urban regions,Seldom,0.07238,61,781,0.05419,0.09056
2018,Primary Level,Urban regions,Never,0.15586,121,781,0.13040,0.18131
2018,Primary Level,Rural regions,Daily,0.59635,180,300,0.54074,0.65196
2018,Primary Level,Rural regions,At least once per week,0.19562,65,300,0.15065,0.24058
2018,Primary Level,Rural regions,Never,0.14669,55,300,0.10659,0.18680
2018,Lower Secondary Level,Urban regions,Daily,0.71627,303,407,0.67241,0.76012
2018,Lower Secondary Level,Urban regions,At least once per week,0.12327,70,407,0.09129,0.15525
2018,Lower Secondary Level,Urban regions,Never,0.08258,34,407,0.05581,0.10935
2018,Lower Secondary Level,Rural regions,Daily,0.81455,137,137,0.74923,0.87987
2018,Upper Secondary Level,Urban regions,Daily,0.72268,287,349,0.67564,0.76971
2018,Upper Secondary Level,Urban regions,At least once per week,0.15636,62,349,0.11820,0.19452
2018,Upper Secondary Level,Rural regions,Daily,0.75221,98,131,0.67799,0.82643
2018,Upper Secondary Level,Rural regions,At least once per week,0.17746,33,131,0.11178,0.24314
2018,Post-secondary Non-tertiary Level,Urban regions,Daily,0.89826,42,42,0.80572,0.99080
2018,Second Stage of Tertiary Education,Urban regions,Daily,0.81061,343,401,0.77221,0.84901
2018,Second Stage of Tertiary Education,Urban regions,At least once per week,0.12129,58,401,0.08930,0.15329
2018,Second Stage of Tertiary Education,Rural regions,Daily,0.76050,100,100,0.67643,0.84457
2019,No answer / don't know,Urban regions,Daily,0.66490,104,104,0.57374,0.75606
2019,Primary Level,Urban regions,Daily,0.59594,499,807,0.56206,0.62981
2019,Primary Level,Urban regions,At least once per week,0.19884,141,807,0.17129,0.22640
2019,Primary Level,Urban regions,Seldom,0.06626,54,807,0.04909,0.08343
2019,Primary Level,Urban regions,Never,0.13265,113,807,0.10923,0.15606
2019,Primary Level,Rural regions,Daily,0.69219,223,277,0.63773,0.74665
2019,Primary Level,Rural regions,At least once per week,0.18113,54,277,0.13570,0.22657
2019,Lower Secondary Level,Urban regions,Daily,0.75682,323,422,0.71584,0.79780
2019,Lower Secondary Level,Urban regions,At least once per week,0.12416,68,422,0.09266,0.15566
2019,Lower Secondary Level,Urban regions,Never,0.07763,31,422,0.05207,0.10319
2019,Lower Secondary Level,Rural regions,Daily,0.75049,130,130,0.67581,0.82517
2019,Upper Secondary Level,Urban regions,Daily,0.71912,282,335,0.67092,0.76732
