,Unnamed: 0,year,age_gr,pgisced97,pli0165,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2013,17-29 y.,Pre-primary Level,Daily,0.90573,367,24344,0.78282,1.02988
1,1,2013,17-29 y.,Pre-primary Level,At least once per week,0.09427,47,24344,0.06845,0.12526
2,2,2013,17-29 y.,Primary Level,Daily,1.0,44,24344,0.65216,1.37689
3,3,2013,17-29 y.,Lower Secondary Level,Daily,0.6878,472,24344,0.61312,0.75732
4,4,2013,17-29 y.,Lower Secondary Level,At least once per week,0.14965,100,24344,0.11581,0.18919
5,5,2013,17-29 y.,Lower Secondary Level,Never,0.16255,85,24344,0.11174,0.21771
6,6,2013,17-29 y.,Upper Secondary Level,Daily,0.67653,965,24344,0.62353,0.7244
7,7,2013,17-29 y.,Upper Secondary Level,At least once per week,0.15061,181,24344,0.12329,0.18292
8,8,2013,17-29 y.,Upper Secondary Level,At least once per month,0.02532,31,24344,0.01532,0.03765
9,9,2013,17-29 y.,Upper Secondary Level,Seldom,0.04496,70,24344,0.03116,0.05952
10,10,2013,17-29 y.,Upper Secondary Level,Never,0.10258,181,24344,0.08788,0.11777
11,11,2013,17-29 y.,Post-secondary Non-tertiary Level,Daily,1.0,134,24344,0.83929,1.16409
12,12,2013,17-29 y.,First Stage of Tertiary Education,Daily,1.0,33,24344,0.58894,1.43584
13,13,2013,17-29 y.,Second Stage of Tertiary Education,Daily,0.67906,184,24344,0.59426,0.79948
14,14,2013,17-29 y.,Second Stage of Tertiary Education,At least once per week,0.15094,47,24344,0.10159,0.20728
15,15,2013,17-29 y.,Second Stage of Tertiary Education,Never,0.17,55,24344,0.12014,0.22567
16,16,2013,30-45 y.,Primary Level,Daily,0.43679,48,24344,0.31065,0.60929
17,17,2013,30-45 y.,Primary Level,Never,0.56321,57,24344,0.40435,0.74449
18,18,2013,30-45 y.,Lower Secondary Level,Daily,0.4574,246,24344,0.38278,0.54075
19,19,2013,30-45 y.,Lower Secondary Level,At least once per week,0.11491,89,24344,0.08378,0.15965
20,20,2013,30-45 y.,Lower Secondary Level,Seldom,0.08039,47,24344,0.05359,0.11131
21,21,2013,30-45 y.,Lower Secondary Level,Never,0.3473,194,24344,0.28529,0.42435
22,22,2013,30-45 y.,Upper Secondary Level,Daily,0.33711,1340,24344,0.30947,0.36677
23,23,2013,30-45 y.,Upper Secondary Level,At least once per week,0.14278,558,24344,0.12544,0.16267
24,24,2013,30-45 y.,Upper Secondary Level,At least once per month,0.04879,146,24344,0.03605,0.06136
25,25,2013,30-45 y.,Upper Secondary Level,Seldom,0.09834,340,24344,0.08388,0.11567
26,26,2013,30-45 y.,Upper Secondary Level,Never,0.37297,1438,24344,0.34315,0.40069
27,27,2013,30-45 y.,Post-secondary Non-tertiary Level,Daily,0.36714,306,24344,0.3128,0.43757
28,28,2013,30-45 y.,Post-secondary Non-tertiary Level,At least once per week,0.20882,145,24344,0.15278,0.26728
29,29,2013,30-45 y.,Post-secondary Non-tertiary Level,Seldom,0.08123,70,24344,0.05955,0.105
30,30,2013,30-45 y.,Post-secondary Non-tertiary Level,Never,0.34282,323,24344,0.28905,0.39538
31,31,2013,30-45 y.,First Stage of Tertiary Education,Daily,0.30529,125,24344,0.23833,0.37185
32,32,2013,30-45 y.,First Stage of Tertiary Education,At least once per week,0.12221,73,24344,0.08372,0.17804
33,33,2013,30-45 y.,First Stage of Tertiary Education,Seldom,0.11562,45,24344,0.07186,0.17967
34,34,2013,30-45 y.,First Stage of Tertiary Education,Never,0.45689,234,24344,0.37088,0.54105
35,35,2013,30-45 y.,Second Stage of Tertiary Education,Daily,0.28867,532,24344,0.25427,0.32387
36,36,2013,30-45 y.,Second Stage of Tertiary Education,At least once per week,0.16409,336,24344,0.1404,0.18584
