,Unnamed: 0,year,age_gr,regtyp,pli0165,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2013,17-29 y.,Urban regions,Daily,0.70761,1638,25308,0.66908,0.75062
1,1,2013,17-29 y.,Urban regions,At least once per week,0.1224,274,25308,0.10624,0.14252
2,2,2013,17-29 y.,Urban regions,At least once per month,0.02301,43,25308,0.01606,0.03191
3,3,2013,17-29 y.,Urban regions,Seldom,0.02897,81,25308,0.0214,0.03991
4,4,2013,17-29 y.,Urban regions,Never,0.11802,288,25308,0.10303,0.13779
5,5,2013,17-29 y.,Rural regions,Daily,0.65751,838,25308,0.60522,0.71411
6,6,2013,17-29 y.,Rural regions,At least once per week,0.1597,174,25308,0.13134,0.19401
7,7,2013,17-29 y.,Rural regions,Seldom,0.05953,63,25308,0.04295,0.07771
8,8,2013,17-29 y.,Rural regions,Never,0.12326,137,25308,0.10367,0.14657
9,9,2013,30-45 y.,Urban regions,Daily,0.34768,1752,25308,0.32518,0.37193
10,10,2013,30-45 y.,Urban regions,At least once per week,0.15457,792,25308,0.13782,0.1704
11,11,2013,30-45 y.,Urban regions,At least once per month,0.0527,214,25308,0.04274,0.06363
12,12,2013,30-45 y.,Urban regions,Seldom,0.07641,437,25308,0.06588,0.0876
13,13,2013,30-45 y.,Urban regions,Never,0.36864,1932,25308,0.34659,0.39164
14,14,2013,30-45 y.,Rural regions,Daily,0.28451,862,25308,0.25745,0.31048
15,15,2013,30-45 y.,Rural regions,At least once per week,0.14993,434,25308,0.13202,0.17461
16,16,2013,30-45 y.,Rural regions,At least once per month,0.04085,98,25308,0.02991,0.05521
17,17,2013,30-45 y.,Rural regions,Seldom,0.12796,291,25308,0.1086,0.14966
18,18,2013,30-45 y.,Rural regions,Never,0.39674,1177,25308,0.35994,0.43965
19,19,2013,46-65 y.,Urban regions,Daily,0.17188,962,25308,0.16083,0.18553
20,20,2013,46-65 y.,Urban regions,At least once per week,0.12437,657,25308,0.11554,0.13487
21,21,2013,46-65 y.,Urban regions,At least once per month,0.03481,186,25308,0.02951,0.04055
22,22,2013,46-65 y.,Urban regions,Seldom,0.09366,513,25308,0.08527,0.10113
23,23,2013,46-65 y.,Urban regions,Never,0.57528,3206,25308,0.55269,0.5967
24,24,2013,46-65 y.,Rural regions,Daily,0.13697,509,25308,0.12352,0.14998
25,25,2013,46-65 y.,Rural regions,At least once per week,0.10846,372,25308,0.09521,0.1222
26,26,2013,46-65 y.,Rural regions,At least once per month,0.02841,100,25308,0.02259,0.03416
27,27,2013,46-65 y.,Rural regions,Seldom,0.09696,332,25308,0.08529,0.10877
28,28,2013,46-65 y.,Rural regions,Never,0.6292,2096,25308,0.60154,0.65606
29,29,2013,66 and older,Urban regions,Daily,0.05849,210,25308,0.05114,0.06531
30,30,2013,66 and older,Urban regions,At least once per week,0.04261,151,25308,0.03748,0.04782
31,31,2013,66 and older,Urban regions,At least once per month,0.00767,35,25308,0.006,0.00949
32,32,2013,66 and older,Urban regions,Seldom,0.05571,193,25308,0.04917,0.06141
33,33,2013,66 and older,Urban regions,Never,0.83552,2540,25308,0.81434,0.85867
34,34,2013,66 and older,Rural regions,Daily,0.04349,90,25308,0.03573,0.05219
35,35,2013,66 and older,Rural regions,At least once per week,0.0284,64,25308,0.02161,0.03564
36,36,2013,66 and older,Rural regions,Seldom,0.03878,80,25308,0.03209,0.04668
37,37,2013,66 and older,Rural regions,Never,0.88933,1487,25308,0.85332,0.93526
38,38,2017,17-29 y.,Urban regions,Daily,0.67893,675,3802,0.61929,0.73592
39,39,2017,17-29 y.,Urban regions,At least once per week,0.14784,145,3802,0.12698,0.17876
40,40,2017,17-29 y.,Urban regions,Seldom,0.04229,43,3802,0.03327,0.0539
41,41,2017,17-29 y.,Urban regions,Never,0.13094,119,3802,0.10796,0.15259
42,42,2017,17-29 y.,Rural regions,Daily,0.75582,298,3802,0.67952,0.85663
43,43,2017,17-29 y.,Rural regions,At least once per week,0.1272,68,3802,0.10373,0.16671
44,44,2017,17-29 y.,Rural regions,Never,0.11698,56,3802,0.09085,0.15119
45,45,2017,30-45 y.,Urban regions,Daily,0.60443,793,3802,0.55097,0.65813
46,46,2017,30-45 y.,Urban regions,At least once per week,0.18024,232,3802,0.15482,0.20644
47,47,2017,30-45 y.,Urban regions,At least once per month,0.03565,34,3802,0.02313,0.05037
48,48,2017,30-45 y.,Urban regions,Seldom,0.06175,72,3802,0.04468,0.07791
49,49,2017,30-45 y.,Urban regions,Never,0.11794,168,3802,0.09988,0.1425
50,50,2017,30-45 y.,Rural regions,Daily,0.60752,320,3802,0.53042,0.68414
51,51,2017,30-45 y.,Rural regions,At least once per week,0.17976,95,3802,0.14964,0.21262
52,52,2017,30-45 y.,Rural regions,Seldom,0.08437,42,3802,0.05674,0.11341
53,53,2017,30-45 y.,Rural regions,Never,0.12836,96,3802,0.10555,0.15711
54,54,2017,46-65 y.,Urban regions,Daily,0.46513,219,3802,0.40318,0.53865
55,55,2017,46-65 y.,Urban regions,At least once per week,0.15957,72,3802,0.12211,0.2092
56,56,2017,46-65 y.,Urban regions,Seldom,0.11919,42,3802,0.07499,0.18533
57,57,2017,46-65 y.,Urban regions,Never,0.25611,83,3802,0.19265,0.32984
58,58,2017,46-65 y.,Rural regions,Daily,0.8036,99,3802,0.63594,1.05276
59,59,2017,46-65 y.,Rural regions,At least once per week,0.1964,31,3802,0.13728,0.26405
60,60,2018,17-29 y.,Urban regions,Daily,0.74705,544,2980,0.69026,0.81834
61,61,2018,17-29 y.,Urban regions,At least once per week,0.15633,102,2980,0.12921,0.18765
62,62,2018,17-29 y.,Urban regions,Seldom,0.03186,35,2980,0.02242,0.04364
63,63,2018,17-29 y.,Urban regions,Never,0.06476,51,2980,0.04808,0.08168
64,64,2018,17-29 y.,Rural regions,Daily,0.86223,207,2980,0.76154,0.96851
65,65,2018,17-29 y.,Rural regions,At least once per week,0.13777,45,2980,0.0918,0.18657
66,66,2018,30-45 y.,Urban regions,Daily,0.68098,750,2980,0.62204,0.75162
67,67,2018,30-45 y.,Urban regions,At least once per week,0.14545,186,2980,0.12298,0.16915
68,68,2018,30-45 y.,Urban regions,At least once per month,0.02555,32,2980,0.01644,0.03806
69,69,2018,30-45 y.,Urban regions,Seldom,0.05737,66,2980,0.04242,0.07392
70,70,2018,30-45 y.,Urban regions,Never,0.09066,108,2980,0.06956,0.11513
71,71,2018,30-45 y.,Rural regions,Daily,0.68299,260,2980,0.59792,0.78668
72,72,2018,30-45 y.,Rural regions,At least once per week,0.1918,87,2980,0.15105,0.23671
73,73,2018,30-45 y.,Rural regions,Never,0.12521,59,2980,0.08944,0.17738
74,74,2018,46-65 y.,Urban regions,Daily,0.60469,243,2980,0.51647,0.71898
75,75,2018,46-65 y.,Urban regions,At least once per week,0.18586,71,2980,0.14755,0.23278
76,76,2018,46-65 y.,Urban regions,Never,0.20946,53,2980,0.14733,0.2898
77,77,2018,46-65 y.,Rural regions,Daily,1.0,81,2980,0.76851,1.31092
78,78,2019,17-29 y.,Urban regions,Daily,0.80979,524,2881,0.747,0.87287
79,79,2019,17-29 y.,Urban regions,At least once per week,0.12443,76,2881,0.10152,0.15689
80,80,2019,17-29 y.,Urban regions,Never,0.06578,39,2881,0.04791,0.08887
81,81,2019,17-29 y.,Rural regions,Daily,0.84821,193,2881,0.72866,0.96346
82,82,2019,17-29 y.,Rural regions,At least once per week,0.15179,33,2881,0.10696,0.19344
83,83,2019,30-45 y.,Urban regions,Daily,0.66383,765,2881,0.60371,0.73332
84,84,2019,30-45 y.,Urban regions,At least once per week,0.19304,196,2881,0.16558,0.22804
85,85,2019,30-45 y.,Urban regions,Seldom,0.05157,66,2881,0.0368,0.07135
86,86,2019,30-45 y.,Urban regions,Never,0.09156,98,2881,0.07115,0.12045
87,87,2019,30-45 y.,Rural regions,Daily,0.72085,282,2881,0.62959,0.83202
88,88,2019,30-45 y.,Rural regions,At least once per week,0.19596,80,2881,0.15381,0.23945
