year,pli0165,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2013,Daily,0.24499321477737007,6861,25355,0.24488465593688633,0.24510177361785382
2013,At least once per week,0.10741358224831499,2918,25355,0.10733542532088548,0.10749173917574449
2013,At least once per month,0.028549356253250897,723,25355,0.028507320264165633,0.028591392242336162
2013,Seldom,0.074573246387989,1990,25355,0.07450693695863239,0.0746395558173456
2013,Never,0.544470600333075,12863,25355,0.54434489370903,0.54459630695712
2017,Daily,0.6195189739243719,2414,3965,0.6181148530884357,0.6209230947603082
2017,At least once per week,0.15211247470628944,643,3965,0.1510738414729878,0.15315110793959108
2017,At least once per month,0.03125856069277801,101,3965,0.03075529294041846,0.031761828445137565
2017,Seldom,0.05714890431188283,233,3965,0.056477574110984204,0.05782023451278146
2017,Never,0.1399610863646777,574,3965,0.13895768802229097,0.1409644847070644
2018,Daily,0.6854391850050015,2091,3182,0.6840914734890333,0.6867868965209696
2018,At least once per week,0.1478654439706727,512,3182,0.1468351821670222,0.14889570577432318
2018,At least once per month,0.02851693508859274,100,3182,0.02803384380105372,0.029000026376131763
2018,Seldom,0.04235138291411376,152,3182,0.041766866036887874,0.04293589979133964
2018,Never,0.09582705302161935,327,3182,0.0949727145075572,0.0966813915356815
2019,Daily,0.7046414086770644,2151,3099,0.7034001087675781,0.7058827085865507
2019,At least once per week,0.15358628324898588,474,3099,0.15260524621807864,0.15456732027989312
2019,At least once per month,0.015859889292053966,59,3099,0.015519953901468106,0.016199824682639828
2019,Seldom,0.04696998344875215,162,3099,0.04639430319596445,0.047545663701539856
2019,Never,0.07894243533314362,253,3099,0.0782087387677945,0.07967613189849274
