year,bula_h,regtyp,pli0165,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,Schleswig-Holstein,Urban regions,Daily,0.35095,94,205,0.28545,0.41644
2013,Schleswig-Holstein,Urban regions,Never,0.50845,111,205,0.43985,0.57705
2013,Schleswig-Holstein,Rural regions,Daily,0.23199,195,637,0.19919,0.26480
2013,Schleswig-Holstein,Rural regions,At least once per week,0.08678,69,637,0.06490,0.10866
2013,Schleswig-Holstein,Rural regions,Seldom,0.08527,60,637,0.06357,0.10698
2013,Schleswig-Holstein,Rural regions,Never,0.57492,313,637,0.53650,0.61334
2013,Hamburg,Urban regions,Daily,0.27682,119,357,0.23034,0.32330
2013,Hamburg,Urban regions,At least once per week,0.07502,42,357,0.04766,0.10238
2013,Hamburg,Urban regions,Never,0.55208,196,357,0.50042,0.60374
2013,Lower Saxony,Urban regions,Daily,0.28147,296,978,0.25327,0.30967
2013,Lower Saxony,Urban regions,At least once per week,0.11153,120,978,0.09179,0.13127
2013,Lower Saxony,Urban regions,Seldom,0.06166,72,978,0.04658,0.07675
2013,Lower Saxony,Urban regions,Never,0.51907,490,978,0.48774,0.55040
2013,Lower Saxony,Rural regions,Daily,0.24773,437,1426,0.22532,0.27015
2013,Lower Saxony,Rural regions,At least once per week,0.11771,172,1426,0.10098,0.13445
2013,Lower Saxony,Rural regions,At least once per month,0.02201,34,1426,0.01439,0.02962
2013,Lower Saxony,Rural regions,Seldom,0.08229,108,1426,0.06802,0.09656
2013,Lower Saxony,Rural regions,Never,0.53026,675,1426,0.50435,0.55617
2013,Bremen,Urban regions,Daily,0.37337,68,131,0.29022,0.45652
2013,Bremen,Urban regions,Never,0.39677,63,131,0.31267,0.48087
2013,North Rhine-Westphalia,Urban regions,Daily,0.26685,1455,4965,0.25455,0.27916
2013,North Rhine-Westphalia,Urban regions,At least once per week,0.10759,554,4965,0.09897,0.11621
2013,North Rhine-Westphalia,Urban regions,At least once per month,0.03105,143,4965,0.02623,0.03588
2013,North Rhine-Westphalia,Urban regions,Seldom,0.07116,390,4965,0.06400,0.07831
