"pli0165","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Taeglich","2013","(noch) kein Abschluss","465","0.4699952841094","0.435496270041804","0.504494298176997"
"Taeglich","2013","Hauptschule","1498","","",""
"Taeglich","2013","Realschule","2087","","",""
"Taeglich","2013","(Fach-)Abitur","1240","","",""
"Taeglich","2013","AkademikerIn","1191","","",""
"Min 1x pro Woche","2013","(noch) kein Abschluss","86","0.11624597670477","0.0940908247010073","0.138401128708533"
"Min 1x pro Woche","2013","Hauptschule","723","0.0805672650060855","0.0744746606716537","0.0866598693405172"
"Min 1x pro Woche","2013","Realschule","897","0.128029260940498","0.120295440437488","0.135763081443508"
"Min 1x pro Woche","2013","(Fach-)Abitur","403","0.118564396817694","0.10745701351379","0.129671780121599"
"Min 1x pro Woche","2013","AkademikerIn","738","0.117380042932454","0.109097890252814","0.125662195612094"
"Min 1x pro Monat","2013","(noch) kein Abschluss","15","","",""
"Min 1x pro Monat","2013","Hauptschule","179","","",""
"Min 1x pro Monat","2013","Realschule","220","","",""
"Min 1x pro Monat","2013","(Fach-)Abitur","87","0.0297276298743251","0.0238922881824878","0.0355629715661624"
"Min 1x pro Monat","2013","AkademikerIn","204","","",""
"Seltener","2013","(noch) kein Abschluss","25","","",""
"Seltener","2013","Hauptschule","541","0.0672041951818798","0.061599459090595","0.0728089312731645"
"Seltener","2013","Realschule","569","0.0792713853598168","0.0730180379425086","0.085524732777125"
"Seltener","2013","(Fach-)Abitur","246","","",""
"Seltener","2013","AkademikerIn","587","0.0887003037042045","0.0813846625399572","0.0960159448684518"
"Nie","2013","(noch) kein Abschluss","213","","",""
"Nie","2013","Hauptschule","4725","0.676932298303828","0.666463831683158","0.687400764924498"
"Nie","2013","Realschule","3397","0.492307586121152","0.480735621046787","0.503879551195517"
"Nie","2013","(Fach-)Abitur","1278","","",""
"Nie","2013","AkademikerIn","3082","0.540691965209184","0.527869066606164","0.553514863812205"
"Taeglich","2014","(noch) kein Abschluss","","","",""
"Taeglich","2014","Hauptschule","","","",""
"Taeglich","2014","Realschule","","","",""
"Taeglich","2014","(Fach-)Abitur","","","",""
"Taeglich","2014","AkademikerIn","","","",""
"Min 1x pro Woche","2014","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","2014","Hauptschule","","","",""
"Min 1x pro Woche","2014","Realschule","","","",""
"Min 1x pro Woche","2014","(Fach-)Abitur","","","",""
"Min 1x pro Woche","2014","AkademikerIn","","","",""
"Min 1x pro Monat","2014","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","2014","Hauptschule","","","",""
"Min 1x pro Monat","2014","Realschule","","","",""
"Min 1x pro Monat","2014","(Fach-)Abitur","","","",""
"Min 1x pro Monat","2014","AkademikerIn","","","",""
"Seltener","2014","(noch) kein Abschluss","","","",""
"Seltener","2014","Hauptschule","","","",""
"Seltener","2014","Realschule","","","",""
"Seltener","2014","(Fach-)Abitur","","","",""
"Seltener","2014","AkademikerIn","","","",""
"Nie","2014","(noch) kein Abschluss","","","",""
