year,quintil_oecd,sampreg,pli0165,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,1st Quintile,West,Daily,0.22860,1293,3557,0.21479,0.24240
2013,1st Quintile,West,At least once per week,0.06737,407,3557,0.05913,0.07560
2013,1st Quintile,West,At least once per month,0.01673,87,3557,0.01252,0.02095
2013,1st Quintile,West,Seldom,0.04232,246,3557,0.03571,0.04894
2013,1st Quintile,West,Never,0.42922,1524,3557,0.41295,0.44548
2013,1st Quintile,East,Daily,0.20845,471,1497,0.18787,0.22904
2013,1st Quintile,East,At least once per week,0.06972,161,1497,0.05681,0.08262
2013,1st Quintile,East,Seldom,0.05021,84,1497,0.03915,0.06128
2013,1st Quintile,East,Never,0.48552,781,1497,0.46020,0.51085
2013,2nd Quintile,West,Daily,0.19340,1099,3698,0.18067,0.20613
2013,2nd Quintile,West,At least once per week,0.08210,441,3698,0.07325,0.09095
2013,2nd Quintile,West,At least once per month,0.01605,99,3698,0.01200,0.02010
2013,2nd Quintile,West,Seldom,0.05681,276,3698,0.04934,0.06427
2013,2nd Quintile,West,Never,0.44871,1783,3698,0.43268,0.46475
2013,2nd Quintile,East,Daily,0.15387,316,1474,0.13544,0.17229
2013,2nd Quintile,East,At least once per week,0.05794,125,1474,0.04601,0.06987
2013,2nd Quintile,East,At least once per month,0.01247,38,1474,0.00680,0.01814
2013,2nd Quintile,East,Seldom,0.04541,90,1474,0.03478,0.05605
2013,2nd Quintile,East,Never,0.58527,905,1474,0.56011,0.61043
2013,3rd Quintile,West,Daily,0.21498,1039,3700,0.20174,0.22822
2013,3rd Quintile,West,At least once per week,0.09998,430,3700,0.09032,0.10965
2013,3rd Quintile,West,At least once per month,0.01984,91,3700,0.01535,0.02433
2013,3rd Quintile,West,Seldom,0.05528,281,3700,0.04792,0.06265
2013,3rd Quintile,West,Never,0.43240,1859,3700,0.41643,0.44836
2013,3rd Quintile,East,Daily,0.16484,206,1136,0.14326,0.18643
2013,3rd Quintile,East,At least once per week,0.10889,129,1136,0.09076,0.12701
2013,3rd Quintile,East,At least once per month,0.03341,39,1136,0.02296,0.04387
2013,3rd Quintile,East,Seldom,0.07596,104,1136,0.06054,0.09137
2013,3rd Quintile,East,Never,0.47793,658,1136,0.44887,0.50699
2013,4th Quintile,West,Daily,0.21715,1051,3917,0.20423,0.23006
2013,4th Quintile,West,At least once per week,0.09591,472,3917,0.08668,0.10513
2013,4th Quintile,West,At least once per month,0.03232,130,3917,0.02678,0.03786
2013,4th Quintile,West,Seldom,0.06277,300,3917,0.05518,0.07037
2013,4th Quintile,West,Never,0.44478,1964,3917,0.42921,0.46034
2013,4th Quintile,East,Daily,0.17073,179,872,0.14574,0.19572
2013,4th Quintile,East,At least once per week,0.09942,109,872,0.07954,0.11929
2013,4th Quintile,East,Seldom,0.10077,90,872,0.08078,0.12077
2013,4th Quintile,East,Never,0.48543,494,872,0.45224,0.51862
2013,5th Quintile,West,Daily,0.20395,1078,4808,0.19256,0.21534
2013,5th Quintile,West,At least once per week,0.10560,565,4808,0.09691,0.11429
2013,5th Quintile,West,At least once per month,0.03514,168,4808,0.02993,0.04034
2013,5th Quintile,West,Seldom,0.08370,458,4808,0.07588,0.09153
2013,5th Quintile,West,Never,0.45618,2539,4808,0.44210,0.47026
2013,5th Quintile,East,Daily,0.18361,127,620,0.15311,0.21411
2013,5th Quintile,East,At least once per week,0.10047,79,620,0.07679,0.12416
2013,5th Quintile,East,Seldom,0.07343,61,620,0.05288,0.09398
2013,5th Quintile,East,Never,0.49886,353,620,0.45947,0.53825
2017,1st Quintile,West,Daily,0.01020,809,1249,0.00462,0.01577
2017,1st Quintile,West,At least once per week,0.00240,196,1249,-0.00031,0.00512
2017,1st Quintile,West,Seldom,0.00085,78,1249,-0.00077,0.00247
2017,1st Quintile,West,Never,0.00182,166,1249,-0.00054,0.00419
2017,1st Quintile,East,Daily,0.00860,143,185,-0.00474,0.02194
2017,1st Quintile,East,At least once per week,0.00156,42,185,-0.00414,0.00727
2017,2nd Quintile,West,Daily,0.00049,44,44,-0.00612,0.00710
2018,1st Quintile,West,Daily,0.01719,1353,2049,0.01156,0.02282
2018,1st Quintile,West,At least once per week,0.00378,329,2049,0.00112,0.00643
2018,1st Quintile,West,At least once per month,0.00074,68,2049,-0.00044,0.00192
2018,1st Quintile,West,Seldom,0.00114,108,2049,-0.00032,0.00260
2018,1st Quintile,West,Never,0.00226,191,2049,0.00020,0.00431
2018,1st Quintile,East,Daily,0.01039,229,351,-0.00023,0.02101
2018,1st Quintile,East,At least once per week,0.00170,60,351,-0.00262,0.00601
2018,1st Quintile,East,Never,0.00222,62,351,-0.00271,0.00715
2018,2nd Quintile,West,Daily,0.00140,101,101,-0.00594,0.00874
2018,3rd Quintile,West,Daily,0.00055,51,51,-0.00596,0.00706
2019,1st Quintile,West,Daily,0.02126,1594,2260,0.01531,0.02720
2019,1st Quintile,West,At least once per week,0.00466,346,2260,0.00185,0.00747
2019,1st Quintile,West,At least once per month,0.00047,43,2260,-0.00042,0.00136
2019,1st Quintile,West,Seldom,0.00140,110,2260,-0.00014,0.00294
2019,1st Quintile,West,Never,0.00225,167,2260,0.00030,0.00420
2019,1st Quintile,East,Daily,0.01357,244,351,0.00145,0.02570
2019,1st Quintile,East,At least once per week,0.00233,57,351,-0.00272,0.00738
2019,1st Quintile,East,Never,0.00246,50,351,-0.00273,0.00766
2019,2nd Quintile,West,Daily,0.00126,82,82,-0.00647,0.00898
