year,migback,pgisced97,pli0165,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,No migration background,No answer / don't know,Daily,0.59842,233,315,0.54420,0.65264
2013,No migration background,No answer / don't know,At least once per week,0.13803,32,315,0.09988,0.17619
2013,No migration background,No answer / don't know,Never,0.19667,50,315,0.15271,0.24064
2013,No migration background,Pre-primary Level,Daily,0.85593,268,304,0.81639,0.89547
2013,No migration background,Pre-primary Level,At least once per week,0.09405,36,304,0.06119,0.12692
2013,No migration background,Primary Level,Daily,0.26454,70,145,0.19250,0.33659
2013,No migration background,Primary Level,Never,0.56410,75,145,0.48311,0.64510
2013,No migration background,Lower Secondary Level,Daily,0.25178,600,1818,0.23182,0.27174
2013,No migration background,Lower Secondary Level,At least once per week,0.05980,141,1818,0.04890,0.07070
2013,No migration background,Lower Secondary Level,Seldom,0.04243,89,1818,0.03316,0.05170
2013,No migration background,Lower Secondary Level,Never,0.63174,988,1818,0.60956,0.65391
2013,No migration background,Upper Secondary Level,Daily,0.22688,2729,10831,0.21899,0.23476
2013,No migration background,Upper Secondary Level,At least once per week,0.10635,1165,10831,0.10054,0.11215
2013,No migration background,Upper Secondary Level,At least once per month,0.02611,291,10831,0.02310,0.02911
2013,No migration background,Upper Secondary Level,Seldom,0.07537,804,10831,0.07040,0.08034
2013,No migration background,Upper Secondary Level,Never,0.56530,5842,10831,0.55596,0.57464
2013,No migration background,Post-secondary Non-tertiary Level,Daily,0.33891,430,1381,0.31393,0.36388
2013,No migration background,Post-secondary Non-tertiary Level,At least once per week,0.12185,169,1381,0.10460,0.13911
2013,No migration background,Post-secondary Non-tertiary Level,At least once per month,0.03146,42,1381,0.02225,0.04067
2013,No migration background,Post-secondary Non-tertiary Level,Seldom,0.07488,108,1381,0.06099,0.08877
2013,No migration background,Post-secondary Non-tertiary Level,Never,0.43290,632,1381,0.40675,0.45904
2013,No migration background,First Stage of Tertiary Education,Daily,0.17028,252,1505,0.15128,0.18928
2013,No migration background,First Stage of Tertiary Education,At least once per week,0.11540,179,1505,0.09925,0.13155
2013,No migration background,First Stage of Tertiary Education,At least once per month,0.03011,45,1505,0.02147,0.03875
2013,No migration background,First Stage of Tertiary Education,Seldom,0.10351,144,1505,0.08811,0.11890
2013,No migration background,First Stage of Tertiary Education,Never,0.58070,885,1505,0.55576,0.60564
2013,No migration background,Second Stage of Tertiary Education,Daily,0.20096,956,5044,0.18990,0.21202
2013,No migration background,Second Stage of Tertiary Education,At least once per week,0.11252,603,5044,0.10380,0.12124
2013,No migration background,Second Stage of Tertiary Education,At least once per month,0.03608,167,5044,0.03093,0.04123
2013,No migration background,Second Stage of Tertiary Education,Seldom,0.08854,513,5044,0.08070,0.09638
2013,No migration background,Second Stage of Tertiary Education,Never,0.56190,2805,5044,0.54820,0.57559
2013,Direct migration background,No answer / don't know,Never,0.58588,31,31,0.40962,0.76215
2013,Direct migration background,Primary Level,Never,0.76605,84,84,0.67498,0.85713
2013,Direct migration background,Lower Secondary Level,Daily,0.16398,121,523,0.13222,0.19575
2013,Direct migration background,Lower Secondary Level,At least once per week,0.06841,69,523,0.04676,0.09007
2013,Direct migration background,Lower Secondary Level,Seldom,0.05996,42,523,0.03960,0.08033
2013,Direct migration background,Lower Secondary Level,Never,0.68893,291,523,0.64922,0.72865
2013,Direct migration background,Upper Secondary Level,Daily,0.22105,267,1040,0.19582,0.24628
2013,Direct migration background,Upper Secondary Level,At least once per week,0.12368,145,1040,0.10366,0.14369
2013,Direct migration background,Upper Secondary Level,At least once per month,0.04486,45,1040,0.03228,0.05745
2013,Direct migration background,Upper Secondary Level,Seldom,0.07687,92,1040,0.06067,0.09307
2013,Direct migration background,Upper Secondary Level,Never,0.53354,491,1040,0.50320,0.56387
2013,Direct migration background,Post-secondary Non-tertiary Level,Daily,0.22947,97,289,0.18090,0.27803
2013,Direct migration background,Post-secondary Non-tertiary Level,At least once per week,0.12148,50,289,0.08375,0.15920
2013,Direct migration background,Post-secondary Non-tertiary Level,Never,0.52284,142,289,0.46515,0.58053
2013,Direct migration background,First Stage of Tertiary Education,Never,0.55256,51,51,0.41473,0.69038
2013,Direct migration background,Second Stage of Tertiary Education,Daily,0.26882,187,571,0.23243,0.30522
2013,Direct migration background,Second Stage of Tertiary Education,At least once per week,0.17957,106,571,0.14806,0.21108
2013,Direct migration background,Second Stage of Tertiary Education,Seldom,0.08894,55,571,0.06557,0.11231
2013,Direct migration background,Second Stage of Tertiary Education,Never,0.41690,223,571,0.37642,0.45737
2013,Indirect migration background,No answer / don't know,Daily,0.64375,47,47,0.50536,0.78214
2013,Indirect migration background,Pre-primary Level,Daily,0.86254,81,81,0.78709,0.93800
2013,Indirect migration background,Lower Secondary Level,Daily,0.47500,120,157,0.39664,0.55337
2013,Indirect migration background,Lower Secondary Level,Never,0.28695,37,157,0.21596,0.35793
2013,Indirect migration background,Upper Secondary Level,Daily,0.51702,219,433,0.46990,0.56414
2013,Indirect migration background,Upper Secondary Level,At least once per week,0.14048,67,433,0.10771,0.17325
2013,Indirect migration background,Upper Secondary Level,Seldom,0.04729,31,433,0.02727,0.06731
2013,Indirect migration background,Upper Secondary Level,Never,0.25963,116,433,0.21828,0.30097
2013,Indirect migration background,Second Stage of Tertiary Education,Daily,0.45523,48,102,0.35811,0.55235
2013,Indirect migration background,Second Stage of Tertiary Education,Never,0.27795,54,102,0.19058,0.36532
2017,Direct migration background,No answer / don't know,Daily,0.52022,120,199,0.45063,0.58981
2017,Direct migration background,No answer / don't know,At least once per week,0.21298,41,199,0.15595,0.27000
2017,Direct migration background,No answer / don't know,Never,0.12624,38,199,0.07998,0.17251
2017,Direct migration background,Primary Level,Daily,0.50457,714,1417,0.47853,0.53061
2017,Direct migration background,Primary Level,At least once per week,0.16608,255,1417,0.14669,0.18546
2017,Direct migration background,Primary Level,At least once per month,0.03194,39,1417,0.02278,0.04110
2017,Direct migration background,Primary Level,Seldom,0.05192,82,1417,0.04036,0.06347
2017,Direct migration background,Primary Level,Never,0.24549,327,1417,0.22308,0.26791
2017,Direct migration background,Lower Secondary Level,Daily,0.62047,515,783,0.58646,0.65448
2017,Direct migration background,Lower Secondary Level,At least once per week,0.16880,120,783,0.14254,0.19505
2017,Direct migration background,Lower Secondary Level,Seldom,0.04838,45,783,0.03334,0.06341
2017,Direct migration background,Lower Secondary Level,Never,0.12961,103,783,0.10607,0.15315
2017,Direct migration background,Upper Secondary Level,Daily,0.68835,451,653,0.65280,0.72390
2017,Direct migration background,Upper Secondary Level,At least once per week,0.12131,104,653,0.09624,0.14637
2017,Direct migration background,Upper Secondary Level,Seldom,0.07443,46,653,0.05428,0.09458
2017,Direct migration background,Upper Secondary Level,Never,0.08195,52,653,0.06090,0.10301
2017,Direct migration background,Post-secondary Non-tertiary Level,Daily,0.70013,66,66,0.58873,0.81152
2017,Direct migration background,Second Stage of Tertiary Education,Daily,0.75713,539,723,0.72585,0.78841
2017,Direct migration background,Second Stage of Tertiary Education,At least once per week,0.12124,100,723,0.09743,0.14505
2017,Direct migration background,Second Stage of Tertiary Education,Seldom,0.04808,39,723,0.03248,0.06369
2017,Direct migration background,Second Stage of Tertiary Education,Never,0.05389,45,723,0.03742,0.07036
2018,Direct migration background,No answer / don't know,Daily,0.44917,117,156,0.37086,0.52748
2018,Direct migration background,No answer / don't know,At least once per week,0.23330,39,156,0.16672,0.29989
2018,Direct migration background,Primary Level,Daily,0.57278,645,1131,0.54394,0.60162
2018,Direct migration background,Primary Level,At least once per week,0.18143,199,1131,0.15896,0.20390
2018,Direct migration background,Primary Level,At least once per month,0.03515,41,1131,0.02441,0.04589
2018,Direct migration background,Primary Level,Seldom,0.05741,70,1131,0.04385,0.07097
2018,Direct migration background,Primary Level,Never,0.15323,176,1131,0.13222,0.17423
2018,Direct migration background,Lower Secondary Level,Daily,0.74849,440,591,0.71348,0.78350
2018,Direct migration background,Lower Secondary Level,At least once per week,0.10165,93,591,0.07727,0.12604
2018,Direct migration background,Lower Secondary Level,Never,0.09298,58,591,0.06955,0.11642
2018,Direct migration background,Upper Secondary Level,Daily,0.73100,385,514,0.69263,0.76938
2018,Direct migration background,Upper Secondary Level,At least once per week,0.16231,95,514,0.13040,0.19422
2018,Direct migration background,Upper Secondary Level,Never,0.04913,34,514,0.03042,0.06783
2018,Direct migration background,Post-secondary Non-tertiary Level,Daily,0.87799,57,57,0.79227,0.96372
2018,Direct migration background,Second Stage of Tertiary Education,Daily,0.80075,443,519,0.76636,0.83515
2018,Direct migration background,Second Stage of Tertiary Education,At least once per week,0.11508,76,519,0.08760,0.14257
2019,Direct migration background,No answer / don't know,Daily,0.63576,131,164,0.56188,0.70963
2019,Direct migration background,No answer / don't know,At least once per week,0.13221,33,164,0.08021,0.18420
2019,Direct migration background,Primary Level,Daily,0.62611,722,1123,0.59780,0.65442
2019,Direct migration background,Primary Level,At least once per week,0.19329,195,1123,0.17018,0.21640
2019,Direct migration background,Primary Level,Seldom,0.06031,68,1123,0.04638,0.07424
2019,Direct migration background,Primary Level,Never,0.10919,138,1123,0.09094,0.12744
2019,Direct migration background,Lower Secondary Level,Daily,0.75519,453,585,0.72032,0.79007
2019,Direct migration background,Lower Secondary Level,At least once per week,0.13037,93,585,0.10307,0.15768
2019,Direct migration background,Lower Secondary Level,Never,0.06232,39,585,0.04271,0.08192
2019,Direct migration background,Upper Secondary Level,Daily,0.70346,369,444,0.66093,0.74599
