year,pgisced97,pli0165,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,No answer / don't know,Daily,0.56697,299,438,0.52051,0.61343
2013,No answer / don't know,At least once per week,0.14101,49,438,0.10837,0.17364
2013,No answer / don't know,Never,0.22542,90,438,0.18624,0.26460
2013,Pre-primary Level,Daily,0.85766,367,414,0.82397,0.89136
2013,Pre-primary Level,At least once per week,0.09073,47,414,0.06303,0.11843
2013,Primary Level,Daily,0.19819,99,305,0.15338,0.24301
2013,Primary Level,At least once per week,0.13071,37,305,0.09282,0.16861
2013,Primary Level,Never,0.62808,169,305,0.57375,0.68241
2013,Lower Secondary Level,Daily,0.24603,841,2579,0.22940,0.26265
2013,Lower Secondary Level,At least once per week,0.06647,239,2579,0.05685,0.07608
2013,Lower Secondary Level,At least once per month,0.01575,43,2579,0.01094,0.02055
2013,Lower Secondary Level,Seldom,0.04471,140,2579,0.03673,0.05269
2013,Lower Secondary Level,Never,0.62705,1316,2579,0.60838,0.64572
2013,Upper Secondary Level,Daily,0.23366,3215,12316,0.22618,0.24113
2013,Upper Secondary Level,At least once per week,0.10834,1377,12316,0.10286,0.11383
2013,Upper Secondary Level,At least once per month,0.02759,348,12316,0.02470,0.03048
2013,Upper Secondary Level,Seldom,0.07478,927,12316,0.07013,0.07942
2013,Upper Secondary Level,Never,0.55563,6449,12316,0.54686,0.56441
2013,Post-secondary Non-tertiary Level,Daily,0.32721,556,1768,0.30534,0.34909
2013,Post-secondary Non-tertiary Level,At least once per week,0.12187,228,1768,0.10662,0.13712
2013,Post-secondary Non-tertiary Level,At least once per month,0.03211,53,1768,0.02389,0.04034
2013,Post-secondary Non-tertiary Level,Seldom,0.07826,139,1768,0.06573,0.09078
2013,Post-secondary Non-tertiary Level,Never,0.44055,792,1768,0.41740,0.46369
2013,First Stage of Tertiary Education,Daily,0.17473,293,1659,0.15645,0.19300
2013,First Stage of Tertiary Education,At least once per week,0.11666,203,1659,0.10121,0.13212
2013,First Stage of Tertiary Education,At least once per month,0.02995,52,1659,0.02174,0.03815
2013,First Stage of Tertiary Education,Seldom,0.10393,162,1659,0.08924,0.11862
2013,First Stage of Tertiary Education,Never,0.57473,949,1659,0.55093,0.59853
2013,Second Stage of Tertiary Education,Daily,0.21338,1191,5802,0.20284,0.22393
2013,Second Stage of Tertiary Education,At least once per week,0.11782,738,5802,0.10952,0.12611
2013,Second Stage of Tertiary Education,At least once per month,0.03798,204,5802,0.03306,0.04289
2013,Second Stage of Tertiary Education,Seldom,0.08868,587,5802,0.08137,0.09600
2013,Second Stage of Tertiary Education,Never,0.54214,3082,5802,0.52932,0.55496
2017,No answer / don't know,Daily,0.52022,120,199,0.45063,0.58981
2017,No answer / don't know,At least once per week,0.21298,41,199,0.15595,0.27000
2017,No answer / don't know,Never,0.12624,38,199,0.07998,0.17251
2017,Primary Level,Daily,0.50457,714,1417,0.47853,0.53061
2017,Primary Level,At least once per week,0.16608,255,1417,0.14669,0.18546
2017,Primary Level,At least once per month,0.03194,39,1417,0.02278,0.04110
2017,Primary Level,Seldom,0.05192,82,1417,0.04036,0.06347
2017,Primary Level,Never,0.24549,327,1417,0.22308,0.26791
2017,Lower Secondary Level,Daily,0.62047,515,783,0.58646,0.65448
2017,Lower Secondary Level,At least once per week,0.16880,120,783,0.14254,0.19505
2017,Lower Secondary Level,Seldom,0.04838,45,783,0.03334,0.06341
