"pli0165","year","bildungsniveau","migback","n","percent","lower_confidence","upper_confidence"
"Taeglich","2013","(noch) kein Abschluss","kein Migrationshintergrund","340","0.565203663901619","0.522758533747474","0.607648794055764"
"Taeglich","2013","(noch) kein Abschluss","direkter Migrationshintergrund","39","0.130225498027131","0.0793340510009717","0.181116945053291"
"Taeglich","2013","(noch) kein Abschluss","indirekter Migrationshintergrund","86","0.747344506062485","0.666868970429348","0.827820041695623"
"Taeglich","2013","Hauptschule","kein Migrationshintergrund","1141","0.145787118773415","0.137074443535312","0.154499794011518"
"Taeglich","2013","Hauptschule","direkter Migrationshintergrund","220","0.146589375513128","0.125336996766447","0.167841754259809"
"Taeglich","2013","Hauptschule","indirekter Migrationshintergrund","137","0.426115573045964","0.370157418061283","0.482073728030645"
"Taeglich","2013","Realschule","kein Migrationshintergrund","1874","0.266899119719331","0.256250034993969","0.277548204444693"
"Taeglich","2013","Realschule","direkter Migrationshintergrund","73","0.244772122306552","0.190713504500475","0.29883074011263"
"Taeglich","2013","Realschule","indirekter Migrationshintergrund","140","0.47184258567233","0.415258701660401","0.528426469684258"
"Taeglich","2013","(Fach-)Abitur","kein Migrationshintergrund","963","0.409778690690026","0.390565981416094","0.428991399963957"
"Taeglich","2013","(Fach-)Abitur","direkter Migrationshintergrund","173","0.314017577684925","0.275194014488527","0.352841140881323"
"Taeglich","2013","(Fach-)Abitur","indirekter Migrationshintergrund","104","0.619942632744415","0.550557009146813","0.689328256342017"
"Taeglich","2013","AkademikerIn","kein Migrationshintergrund","958","0.201638170013475","0.190580975880104","0.212695364146845"
"Taeglich","2013","AkademikerIn","direkter Migrationshintergrund","178","0.280378262440965","0.243141964733591","0.317614560148339"
"Taeglich","2013","AkademikerIn","indirekter Migrationshintergrund","55","0.436396448190527","0.364932058180049","0.507860838201006"
"Min 1x pro Woche","2013","(noch) kein Abschluss","kein Migrationshintergrund","54","0.108459011284072","0.0818342375661547","0.135083785001989"
"Min 1x pro Woche","2013","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","2013","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","2013","Hauptschule","kein Migrationshintergrund","543","0.0770268930879086","0.0704438817137284","0.0836099044620889"
"Min 1x pro Woche","2013","Hauptschule","direkter Migrationshintergrund","137","0.092977612381752","0.0755284142035932","0.110426810559911"
"Min 1x pro Woche","2013","Hauptschule","indirekter Migrationshintergrund","43","0.151296007926912","0.11074708520626","0.191844930647565"
"Min 1x pro Woche","2013","Realschule","kein Migrationshintergrund","806","0.126078945847669","0.118087704875589","0.13407018681975"
"Min 1x pro Woche","2013","Realschule","direkter Migrationshintergrund","40","0.179373869186891","0.131134989479018","0.227612748894765"
"Min 1x pro Woche","2013","Realschule","indirekter Migrationshintergrund","51","0.150383998919254","0.109868177061565","0.190899820776943"
"Min 1x pro Woche","2013","(Fach-)Abitur","kein Migrationshintergrund","292","0.11916858162197","0.106511494574034","0.131825668669906"
"Min 1x pro Woche","2013","(Fach-)Abitur","direkter Migrationshintergrund","84","0.111058817613484","0.08477581642254","0.137341818804427"
"Min 1x pro Woche","2013","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","2013","AkademikerIn","kein Migrationshintergrund","605","0.112339853009299","0.103637254156674","0.121042451861923"
"Min 1x pro Woche","2013","AkademikerIn","direkter Migrationshintergrund","98","0.17088976268451","0.139686044337172","0.202093481031849"
"Min 1x pro Woche","2013","AkademikerIn","indirekter Migrationshintergrund","35","0.107646124050565","0.0629849657414463","0.152307282359684"
"Min 1x pro Monat","2013","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","2013","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","2013","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","2013","Hauptschule","kein Migrationshintergrund","135","0.0211466302365276","0.0175945047691263","0.0246987557039289"
"Min 1x pro Monat","2013","Hauptschule","direkter Migrationshintergrund","34","0.0308370226413752","0.0204495018851762","0.0412245433975743"
