year,migback,regtyp,pli0165,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,No migration background,Urban regions,Daily,0.25552,3545,13133,0.24806,0.26298
2013,No migration background,Urban regions,At least once per week,0.10622,1435,13133,0.10095,0.11149
2013,No migration background,Urban regions,At least once per month,0.02877,367,13133,0.02591,0.03163
2013,No migration background,Urban regions,Seldom,0.07139,1000,13133,0.06699,0.07579
2013,No migration background,Urban regions,Never,0.53810,6786,13133,0.52957,0.54663
2013,No migration background,Rural regions,Daily,0.20780,1993,8304,0.19907,0.21653
2013,No migration background,Rural regions,At least once per week,0.10356,908,8304,0.09701,0.11012
2013,No migration background,Rural regions,At least once per month,0.02537,221,8304,0.02198,0.02875
2013,No migration background,Rural regions,Seldom,0.08253,680,8304,0.07661,0.08844
2013,No migration background,Rural regions,Never,0.58074,4502,8304,0.57013,0.59136
2013,Direct migration background,Urban regions,Daily,0.21195,565,2113,0.19452,0.22938
2013,Direct migration background,Urban regions,At least once per week,0.12486,305,2113,0.11076,0.13896
2013,Direct migration background,Urban regions,At least once per month,0.04085,84,2113,0.03241,0.04930
2013,Direct migration background,Urban regions,Seldom,0.06781,172,2113,0.05708,0.07853
2013,Direct migration background,Urban regions,Never,0.55453,987,2113,0.53333,0.57572
2013,Direct migration background,Rural regions,Daily,0.22283,192,679,0.19151,0.25416
2013,Direct migration background,Rural regions,At least once per week,0.10226,102,679,0.07946,0.12507
2013,Direct migration background,Rural regions,Seldom,0.09903,58,679,0.07655,0.12152
2013,Direct migration background,Rural regions,Never,0.55462,327,679,0.51720,0.59203
2013,Indirect migration background,Urban regions,Daily,0.52952,467,869,0.49632,0.56273
2013,Indirect migration background,Urban regions,At least once per week,0.14559,136,869,0.12213,0.16905
2013,Indirect migration background,Urban regions,Seldom,0.04460,57,869,0.03087,0.05833
2013,Indirect migration background,Urban regions,Never,0.24441,209,869,0.21582,0.27300
2013,Indirect migration background,Rural regions,Daily,0.47119,99,183,0.39867,0.54371
2013,Indirect migration background,Rural regions,At least once per week,0.15674,32,183,0.10392,0.20956
2013,Indirect migration background,Rural regions,Never,0.23020,52,183,0.16904,0.29135
2017,Direct migration background,Urban regions,Daily,0.60706,1695,2755,0.58882,0.62531
2017,Direct migration background,Urban regions,At least once per week,0.15668,449,2755,0.14311,0.17026
2017,Direct migration background,Urban regions,At least once per month,0.03226,65,2755,0.02566,0.03886
2017,Direct migration background,Urban regions,Seldom,0.05748,158,2755,0.04879,0.06617
2017,Direct migration background,Urban regions,Never,0.14651,388,2755,0.13331,0.15972
2017,Direct migration background,Rural regions,Daily,0.64844,719,1210,0.62153,0.67536
2017,Direct migration background,Rural regions,At least once per week,0.14172,194,1210,0.12206,0.16138
2017,Direct migration background,Rural regions,At least once per month,0.02813,36,1210,0.01881,0.03745
2017,Direct migration background,Rural regions,Seldom,0.05667,75,1210,0.04364,0.06970
2017,Direct migration background,Rural regions,Never,0.12504,186,1210,0.10640,0.14369
2018,Direct migration background,Urban regions,Daily,0.67982,1542,2328,0.66086,0.69878
2018,Direct migration background,Urban regions,At least once per week,0.15069,362,2328,0.13615,0.16522
2018,Direct migration background,Urban regions,At least once per month,0.02500,76,2328,0.01865,0.03134
2018,Direct migration background,Urban regions,Seldom,0.05125,127,2328,0.04229,0.06021
2018,Direct migration background,Urban regions,Never,0.09324,221,2328,0.08143,0.10506
2018,Direct migration background,Rural regions,Daily,0.69771,549,805,0.66597,0.72946
2018,Direct migration background,Rural regions,At least once per week,0.13853,150,805,0.11465,0.16241
2018,Direct migration background,Rural regions,Never,0.10234,106,805,0.08139,0.12329
2019,Direct migration background,Urban regions,Daily,0.70613,1574,2269,0.68738,0.72488
2019,Direct migration background,Urban regions,At least once per week,0.15033,340,2269,0.13562,0.16504
2019,Direct migration background,Urban regions,At least once per month,0.01260,40,2269,0.00801,0.01719
2019,Direct migration background,Urban regions,Seldom,0.04441,121,2269,0.03593,0.05289
2019,Direct migration background,Urban regions,Never,0.08654,194,2269,0.07497,0.09811
2019,Direct migration background,Rural regions,Daily,0.70229,577,811,0.67080,0.73378
2019,Direct migration background,Rural regions,At least once per week,0.16128,134,811,0.13595,0.18661
2019,Direct migration background,Rural regions,Seldom,0.05344,41,811,0.03795,0.06893
2019,Direct migration background,Rural regions,Never,0.05838,59,811,0.04223,0.07453
