"ple0024","year","sampreg","sex","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Ja","2009","Westdeutschland","maennlich","3282","0.523773643099688","0.511440994688717","0.53610629151066"
"Ja","2009","Westdeutschland","weiblich","3400","0.455373029436531","0.443667388427993","0.46707867044507"
"Ja","2009","Ostdeutschland","maennlich","1056","0.482481633542631","0.461340098916261","0.503623168169001"
"Ja","2009","Ostdeutschland","weiblich","1036","0.428575843858256","0.408430043888107","0.448721643828406"
"Nein","2009","Westdeutschland","maennlich","3018","0.476226356900312","0.46389370848934","0.488559005311283"
"Nein","2009","Westdeutschland","weiblich","3553","0.544626970563469","0.53292132955493","0.556332611572007"
"Nein","2009","Ostdeutschland","maennlich","1090","0.517518366457369","0.496376831830999","0.538659901083738"
"Nein","2009","Ostdeutschland","weiblich","1282","0.571424156141743","0.551278356171594","0.591569956111893"
"Ja","2010","Westdeutschland","maennlich","","","",""
"Ja","2010","Westdeutschland","weiblich","","","",""
"Ja","2010","Ostdeutschland","maennlich","","","",""
"Ja","2010","Ostdeutschland","weiblich","","","",""
"Nein","2010","Westdeutschland","maennlich","","","",""
"Nein","2010","Westdeutschland","weiblich","","","",""
"Nein","2010","Ostdeutschland","maennlich","","","",""
"Nein","2010","Ostdeutschland","weiblich","","","",""
"Ja","2011","Westdeutschland","maennlich","3118","0.427242914195433","0.415936915058678","0.438548913332188"
"Ja","2011","Westdeutschland","weiblich","3155","0.346703068249305","0.336458850875961","0.356947285622649"
"Ja","2011","Ostdeutschland","maennlich","900","0.392913496494792","0.372966620650312","0.412860372339271"
"Ja","2011","Ostdeutschland","weiblich","889","0.311646572928873","0.293669668150768","0.329623477706977"
"Nein","2011","Westdeutschland","maennlich","4236","0.572757085804567","0.561451086667812","0.584063084941322"
"Nein","2011","Westdeutschland","weiblich","5136","0.653296931750695","0.643052714377351","0.663541149124039"
"Nein","2011","Ostdeutschland","maennlich","1403","0.607086503505208","0.587139627660729","0.627033379349688"
