year,bula_h,migback,ple0024,proportion,n,lower_confidence,upper_confidence
2009,Nordrhein-Westfalen,No migration background,2.0,0.08325337246712197,18254,0.07924560397810138,0.08726114095614257
2009,Nordrhein-Westfalen,No migration background,1.0,0.08251961393012361,18254,0.07852794938710005,0.08651127847314717
2009,Bayern,No migration background,1.0,0.06203081785855393,18254,0.058531566929218196,0.06553006878788967
2009,Bayern,No migration background,2.0,0.0616357171078625,18254,0.05814689352540057,0.06512454069032445
2009,Baden-Wuerttemberg,No migration background,1.0,0.04831517751312299,18254,0.04520442536554763,0.051425929660698345
2009,Niedersachsen,No migration background,2.0,0.045097928543207086,18254,0.04208745535918123,0.04810840172723294
2009,Baden-Wuerttemberg,No migration background,2.0,0.04063893435683242,18254,0.03777449753078428,0.04350337118288056
2009,Sachsen,No migration background,2.0,0.03973584692668059,18254,0.036902083155568026,0.04256961069779316
2009,Niedersachsen,No migration background,1.0,0.03584128238415082,18254,0.033144517499366546,0.03853804726893509
2009,Sachsen,No migration background,1.0,0.03459953716769205,18254,0.03194819399108292,0.03725088034430118
2009,Hessen,No migration background,2.0,0.02991477112377942,18254,0.0274434747246503,0.03238606752290854
2009,Hessen,No migration background,1.0,0.025512219901789243,18254,0.02322483435914341,0.027799605444435077
2009,"Rheinland-Pfalz,Saarland",No migration background,2.0,0.02477846136479088,18254,0.022523361089187607,0.027033561640394152
2009,Brandenburg,No migration background,2.0,0.023028729468871707,18254,0.020852759317931097,0.025204699619812317
2009,Thueringen,No migration background,2.0,0.02240785686064232,18254,0.020260738131284952,0.02455497558999969
2009,Thueringen,No migration background,1.0,0.022294970931873343,18254,0.020153143739414067,0.02443679812433262
2009,Sachsen-Anhalt,No migration background,2.0,0.022125642038719872,18254,0.019991779111529048,0.024259504965910696
2009,"Rheinland-Pfalz,Saarland",No migration background,1.0,0.02127899757295253,18254,0.019185453612131382,0.023372541533773678
2009,Berlin,No migration background,2.0,0.019698594570186825,18254,0.017682669054452975,0.021714520085920674
2009,Brandenburg,No migration background,1.0,0.019529265677033357,18254,0.017521849948454803,0.02153668140561191
2009,Sachsen-Anhalt,No migration background,1.0,0.01941637974826438,18254,0.017414658984112555,0.021418100512416202
2009,Nordrhein-Westfalen,Direct migration background,1.0,0.014054298131737879,18254,0.012346611698148473,0.015761984565327285
2009,Berlin,No migration background,1.0,0.01399785516735339,18254,0.012293552491307548,0.015702157843399234
2009,Schleswig-Holstein,No migration background,2.0,0.013715640345430942,18254,0.01202836420374694,0.015402916487114945
2009,Mecklenburg-Vorpommern,No migration background,2.0,0.013489868487892983,18254,0.011816345504763128,0.015163391471022839
2009,Mecklenburg-Vorpommern,No migration background,1.0,0.012304566235818706,18254,0.010705296475614676,0.013903835996022736
2009,Schleswig-Holstein,No migration background,1.0,0.011853022520742789,18254,0.010283012673592311,0.013423032367893266
2009,Baden-Wuerttemberg,Direct migration background,1.0,0.011345035841282384,18254,0.009808642698855913,0.012881428983708854
2009,Nordrhein-Westfalen,Direct migration background,2.0,0.010949935090590958,18254,0.00944023055940072,0.012459639621781196
2009,Nordrhein-Westfalen,Indirect migration background,1.0,0.008127786871366484,18254,0.006825246887485995,0.009430326855246973
2009,Baden-Wuerttemberg,Direct migration background,2.0,0.008071343906981995,18254,0.00677329757928702,0.009369390234676969
2009,Bayern,Direct migration background,2.0,0.007958457978213016,18254,0.006669447518773468,0.009247468437652565
2009,Hamburg,No migration background,2.0,0.007845572049444036,18254,0.006565663343107462,0.00912548075578061
2009,Baden-Wuerttemberg,Indirect migration background,1.0,0.006547383868600779,18254,0.005377387458592598,0.007717380278608961
2009,Bayern,Direct migration background,1.0,0.006378054975447311,18254,0.005223188525649822,0.007532921425244799
2009,Hamburg,No migration background,1.0,0.005870068295986905,18254,0.00476186305355524,0.00697827353841857
2009,Hessen,Direct migration background,2.0,0.005079866794604052,18254,0.004048537580430455,0.00611119600877765
2009,Bayern,Indirect migration background,1.0,0.004797651972681605,18254,0.0037952379934069608,0.00580006595195625
2009,Niedersachsen,Direct migration background,1.0,0.0042896652932212,18254,0.0033415628642472243,0.005237767722195175
2009,"Rheinland-Pfalz,Saarland",Direct migration background,1.0,0.004007450471298753,18254,0.003090936320246412,0.004923964622351093
2009,Hessen,Direct migration background,1.0,0.0036687926849918156,18254,0.0027917100739820876,0.004545875296001544
2009,Bremen,No migration background,1.0,0.0035559067562228367,18254,0.002692374233206644,0.004419439279239029
2009,"Rheinland-Pfalz,Saarland",Direct migration background,2.0,0.0032736919343003897,18254,0.002445017552176585,0.004102366316424194
2009,Niedersachsen,Direct migration background,2.0,0.0030479200767624315,18254,0.002248240549948043,0.0038475996035768198
