year,migback,regtyp,ple0024,proportion,n,lower_confidence,upper_confidence
2009,No migration background,Urban regions,2.0,0.2799006603826833,18254,0.27338774829347656,0.28641357247189003
2009,No migration background,Urban regions,1.0,0.2607100524919569,18254,0.25434116851624183,0.26707893646767195
2009,No migration background,Rural regions,2.0,0.17017553761923576,18254,0.16472400355014866,0.17562707168832287
2009,No migration background,Rural regions,1.0,0.158209629169724,18254,0.15291548844319525,0.16350376989625276
2009,Direct migration background,Urban regions,1.0,0.03871987356775978,18254,0.03592109206222933,0.04151865507329023
2009,Direct migration background,Urban regions,2.0,0.03555906756222837,18254,0.03287254775105565,0.038245587373401085
2009,Indirect migration background,Urban regions,1.0,0.02381893097025456,18254,0.02160683801977574,0.02603102392073338
2009,Direct migration background,Rural regions,1.0,0.009087317265902806,18254,0.0077107019814283174,0.010463932550377295
2009,Indirect migration background,Urban regions,2.0,0.008805102443980358,18254,0.0074498388139726986,0.010160366073988018
2009,Direct migration background,Rural regions,2.0,0.00852288762205791,18254,0.007189330030827437,0.009856445213288384
2009,Indirect migration background,Rural regions,1.0,0.004684766043912626,18254,0.003694159192269806,0.005675372895555446
2009,Indirect migration background,Rural regions,2.0,0.0018061748603036632,18254,0.0011901980191558626,0.0024221517014514637
2011,No migration background,Urban regions,2.0,0.332861742609035,28898,0.3274284631634275,0.3382950220546425
2011,No migration background,Rural regions,2.0,0.20704458971606987,28898,0.20237285143859918,0.21171632799354057
2011,No migration background,Urban regions,1.0,0.20494682408039808,28898,0.20029266886621708,0.20960097929457908
2011,No migration background,Rural regions,1.0,0.11996292321202069,28898,0.11621667815568328,0.12370916826835811
2011,Direct migration background,Urban regions,2.0,0.04015025856181091,28898,0.03788682382177677,0.04241369330184505
2011,Direct migration background,Urban regions,1.0,0.03424724363352522,28898,0.03215039071784916,0.03634409654920128
2011,Indirect migration background,Urban regions,1.0,0.020587374377988098,28898,0.018950160157492693,0.022224588598483502
2011,Direct migration background,Rural regions,2.0,0.013269587276807493,28898,0.011950267287245511,0.014588907266369475
2011,Indirect migration background,Urban regions,2.0,0.010879110157088496,28898,0.009683076084058505,0.012075144230118486
2011,Direct migration background,Rural regions,1.0,0.009415552736852377,28898,0.008302051149163225,0.010529054324541529
2011,Indirect migration background,Rural regions,1.0,0.0041467460240023415,28898,0.0034058221823845373,0.004887669865620146
2011,Indirect migration background,Rural regions,2.0,0.002488047614401405,28898,0.001913652713679052,0.003062442515123758
2013,No migration background,Urban regions,2.0,0.35163894978878135,31177,0.3463387058805684,0.3569391936969943
2013,No migration background,Rural regions,2.0,0.22046949360996737,31177,0.21586767262724355,0.2250713145926912
2013,No migration background,Urban regions,1.0,0.18715576707127962,31177,0.18282620289656992,0.19148533124598932
2013,No migration background,Rural regions,1.0,0.11175872947970697,31177,0.10826133104103904,0.1152561279183749
2013,Direct migration background,Urban regions,2.0,0.040746484145232874,31177,0.038551907868150936,0.04294106042231481
2013,Direct migration background,Urban regions,1.0,0.02903588043420138,31177,0.027172043127617212,0.030899717740785548
2013,Indirect migration background,Urban regions,1.0,0.017432222875782045,31177,0.015979453910883533,0.018884991840680557
2013,Direct migration background,Rural regions,2.0,0.01454467675525373,31177,0.01321572438313051,0.01587362912737695
2013,Indirect migration background,Urban regions,2.0,0.012512699855622695,31177,0.011278799234199298,0.013746600477046091
2013,Direct migration background,Rural regions,1.0,0.007539703759157264,31177,0.006579479614730019,0.008499927903584508
2013,Indirect migration background,Rural regions,1.0,0.004331319180792471,31177,0.003602354599584509,0.005060283762000434
2013,Indirect migration background,Rural regions,2.0,0.0028340730442222343,31177,0.002243969606467405,0.0034241764819770634
2015,No migration background,Urban regions,2.0,0.2888817221639926,27342,0.2835092783182423,0.2942541660097429
