year,regtyp,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,Staedtischer Raum,maennlich,,,,,,,,,,,,
1985,Staedtischer Raum,weiblich,,,,,,,,,,,,
1985,Laendlicher Raum,maennlich,,,,,,,,,,,,
1985,Laendlicher Raum,weiblich,,,,,,,,,,,,
1986,Staedtischer Raum,maennlich,,,,,,,,,,,,
1986,Staedtischer Raum,weiblich,,,,,,,,,,,,
1986,Laendlicher Raum,maennlich,,,,,,,,,,,,
1986,Laendlicher Raum,weiblich,,,,,,,,,,,,
1987,Staedtischer Raum,maennlich,,,,,,,,,,,,
1987,Staedtischer Raum,weiblich,,,,,,,,,,,,
1987,Laendlicher Raum,maennlich,,,,,,,,,,,,
1987,Laendlicher Raum,weiblich,,,,,,,,,,,,
1988,Staedtischer Raum,maennlich,,,,,,,,,,,,
1988,Staedtischer Raum,weiblich,,,,,,,,,,,,
1988,Laendlicher Raum,maennlich,,,,,,,,,,,,
1988,Laendlicher Raum,weiblich,,,,,,,,,,,,
1989,Staedtischer Raum,maennlich,,,,,,,,,,,,
1989,Staedtischer Raum,weiblich,,,,,,,,,,,,
1989,Laendlicher Raum,maennlich,,,,,,,,,,,,
1989,Laendlicher Raum,weiblich,,,,,,,,,,,,
1990,Staedtischer Raum,maennlich,,,,,,,,,,,,
1990,Staedtischer Raum,weiblich,,,,,,,,,,,,
1990,Laendlicher Raum,maennlich,,,,,,,,,,,,
1990,Laendlicher Raum,weiblich,,,,,,,,,,,,
1991,Staedtischer Raum,maennlich,,,,,,,,,,,,
1991,Staedtischer Raum,weiblich,,,,,,,,,,,,
1991,Laendlicher Raum,maennlich,,,,,,,,,,,,
1991,Laendlicher Raum,weiblich,,,,,,,,,,,,
1992,Staedtischer Raum,maennlich,,,,,,,,,,,,
1992,Staedtischer Raum,weiblich,,,,,,,,,,,,
1992,Laendlicher Raum,maennlich,,,,,,,,,,,,
1992,Laendlicher Raum,weiblich,,,,,,,,,,,,
1993,Staedtischer Raum,maennlich,,,,,,,,,,,,
1993,Staedtischer Raum,weiblich,,,,,,,,,,,,
1993,Laendlicher Raum,maennlich,,,,,,,,,,,,
1993,Laendlicher Raum,weiblich,,,,,,,,,,,,
1994,Staedtischer Raum,maennlich,,,,,,,,,,,,
1994,Staedtischer Raum,weiblich,,,,,,,,,,,,
1994,Laendlicher Raum,maennlich,,,,,,,,,,,,
1994,Laendlicher Raum,weiblich,,,,,,,,,,,,
1995,Staedtischer Raum,maennlich,,,,,,,,,,,,
1995,Staedtischer Raum,weiblich,,,,,,,,,,,,
1995,Laendlicher Raum,maennlich,,,,,,,,,,,,
1995,Laendlicher Raum,weiblich,,,,,,,,,,,,
1996,Staedtischer Raum,maennlich,,,,,,,,,,,,
1996,Staedtischer Raum,weiblich,,,,,,,,,,,,
1996,Laendlicher Raum,maennlich,,,,,,,,,,,,
1996,Laendlicher Raum,weiblich,,,,,,,,,,,,
1997,Staedtischer Raum,maennlich,,,,,,,,,,,,
1997,Staedtischer Raum,weiblich,,,,,,,,,,,,
1997,Laendlicher Raum,maennlich,,,,,,,,,,,,
1997,Laendlicher Raum,weiblich,,,,,,,,,,,,
1998,Staedtischer Raum,maennlich,,,,,,,,,,,,
1998,Staedtischer Raum,weiblich,,,,,,,,,,,,
1998,Laendlicher Raum,maennlich,,,,,,,,,,,,
1998,Laendlicher Raum,weiblich,,,,,,,,,,,,
1999,Staedtischer Raum,maennlich,2909,1.9711881645280191,1.9274238317126584,2.01495249734338,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1999,Staedtischer Raum,weiblich,2263,2.0522556356454595,1.9999997357313006,2.1045115355596185,0.0,1.0,4.0,0.0,10.0,1.0,1.0,1.0
1999,Laendlicher Raum,maennlich,1537,2.40834511545359,2.344577116208745,2.472113114698435,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1999,Laendlicher Raum,weiblich,1240,2.6006063676923024,2.523082009804711,2.678130725579894,0.0,2.0,5.0,0.0,10.0,2.0,2.0,2.0
2000,Staedtischer Raum,maennlich,,,,,,,,,,,,
2000,Staedtischer Raum,weiblich,,,,,,,,,,,,
2000,Laendlicher Raum,maennlich,,,,,,,,,,,,
2000,Laendlicher Raum,weiblich,,,,,,,,,,,,
2001,Staedtischer Raum,maennlich,4472,1.7116408218613313,1.6769548487941595,1.746326794928503,0.0,0.0,3.0,0.0,7.5,0.0,-1.0,0.0
2001,Staedtischer Raum,weiblich,3647,1.6649840679175358,1.6259685814947442,1.7039995543403275,0.0,0.0,3.0,0.0,7.5,0.0,0.0,0.0
2001,Laendlicher Raum,maennlich,2293,2.107499849621513,2.053648558108365,2.1613511411346606,0.0,1.0,4.0,0.0,10.0,1.0,1.0,1.0
2001,Laendlicher Raum,weiblich,1907,2.1638931027010457,2.104378654646579,2.2234075507555127,0.0,1.0,4.0,0.0,10.0,1.0,1.0,1.0
2002,Staedtischer Raum,maennlich,,,,,,,,,,,,
2002,Staedtischer Raum,weiblich,,,,,,,,,,,,
2002,Laendlicher Raum,maennlich,,,,,,,,,,,,
2002,Laendlicher Raum,weiblich,,,,,,,,,,,,
2003,Staedtischer Raum,maennlich,4481,2.1148890172824863,2.0786332139178567,2.151144820647116,0.0,1.0,4.0,0.0,10.0,1.0,1.0,1.0
2003,Staedtischer Raum,weiblich,3844,2.1934525106028904,2.1522357371198124,2.2346692840859683,0.0,1.0,4.0,0.0,10.0,1.0,1.0,1.0
2003,Laendlicher Raum,maennlich,2176,2.406285303571194,2.350632903161221,2.461937703981167,0.0,1.0,5.0,0.0,10.0,1.0,0.0,1.0
2003,Laendlicher Raum,weiblich,1888,2.3907362557572474,2.3313006167462587,2.450171894768236,0.0,2.0,5.0,0.0,10.0,2.0,2.0,3.0
2004,Staedtischer Raum,maennlich,,,,,,,,,,,,
2004,Staedtischer Raum,weiblich,,,,,,,,,,,,
2004,Laendlicher Raum,maennlich,,,,,,,,,,,,
2004,Laendlicher Raum,weiblich,,,,,,,,,,,,
2005,Staedtischer Raum,maennlich,4087,2.250738216542627,2.2128927676824377,2.2885836654028164,0.0,1.0,4.0,0.0,10.0,1.0,0.0,1.0
2005,Staedtischer Raum,weiblich,3577,2.284579848143932,2.2420547580094787,2.327104938278385,0.0,1.0,4.0,0.0,10.0,1.0,1.0,1.0
2005,Laendlicher Raum,maennlich,1955,2.49837590254319,2.439365364951328,2.5573864401350526,0.0,2.0,5.0,0.0,10.0,2.0,2.0,3.0
2005,Laendlicher Raum,weiblich,1769,2.769755840883116,2.703836098801466,2.835675582964766,0.0,2.0,5.0,0.0,10.0,2.0,2.0,2.0
2006,Staedtischer Raum,maennlich,,,,,,,,,,,,
2006,Staedtischer Raum,weiblich,,,,,,,,,,,,
2006,Laendlicher Raum,maennlich,,,,,,,,,,,,
2006,Laendlicher Raum,weiblich,,,,,,,,,,,,
2007,Staedtischer Raum,maennlich,3982,1.9629561511895735,1.9257938129753314,2.0001184894038153,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
2007,Staedtischer Raum,weiblich,3603,2.202271086532979,2.160416883542975,2.2441252895229833,0.0,1.0,4.0,0.0,10.0,1.0,1.0,1.0
2007,Laendlicher Raum,maennlich,2055,2.292856120561274,2.237322223900575,2.348390017221973,0.0,1.0,4.0,0.0,10.0,1.0,0.0,1.0
2007,Laendlicher Raum,weiblich,1858,2.3568653278030585,2.297406741642611,2.416323913963506,0.0,1.0,4.196736827713725,0.0,10.0,1.0,0.0,1.0
2008,Staedtischer Raum,maennlich,,,,,,,,,,,,
2008,Staedtischer Raum,weiblich,,,,,,,,,,,,
2008,Laendlicher Raum,maennlich,,,,,,,,,,,,
2008,Laendlicher Raum,weiblich,,,,,,,,,,,,
2009,Staedtischer Raum,maennlich,3408,2.4786028419932387,2.436314683565513,2.5208910004209644,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
2009,Staedtischer Raum,weiblich,3232,2.4085566890764967,2.364914616400189,2.4521987617528045,0.0,2.0,4.0,0.0,10.0,2.0,2.0,3.0
2009,Laendlicher Raum,maennlich,1815,2.487072483848054,2.4308102324861847,2.5433347352099234,0.0,2.0,5.0,0.0,10.0,2.0,2.0,2.0
2009,Laendlicher Raum,weiblich,1694,2.6554157473228415,2.5905550095575407,2.7202764850881422,0.0,2.0,5.0,0.0,10.0,2.0,2.0,2.0
