"pli0091_h","year","bildungsniveau","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Täglich","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","","","",""
"Täglich","1995","(noch) kein Abschluss","2","","","",""
"Täglich","1995","(noch) kein Abschluss","3","","","",""
"Täglich","1995","(noch) kein Abschluss","4","","","",""
"Täglich","1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","","","",""
"Täglich","1995","Hauptschule","1 Einkommensschwächstes Quintil","1","","",""
"Täglich","1995","Hauptschule","2","2","","",""
"Täglich","1995","Hauptschule","3","","","",""
"Täglich","1995","Hauptschule","4","","","",""
"Täglich","1995","Hauptschule","5 Einkommensstärkstes Quintil","","","",""
"Täglich","1995","Realschule","1 Einkommensschwächstes Quintil","","","",""
"Täglich","1995","Realschule","2","","","",""
"Täglich","1995","Realschule","3","","","",""
"Täglich","1995","Realschule","4","1","","",""
"Täglich","1995","Realschule","5 Einkommensstärkstes Quintil","","","",""
"Täglich","1995","(Fach-)Abitur","1 Einkommensschwächstes Quintil","2","","",""
"Täglich","1995","(Fach-)Abitur","2","","","",""
"Täglich","1995","(Fach-)Abitur","3","","","",""
"Täglich","1995","(Fach-)Abitur","4","1","","",""
"Täglich","1995","(Fach-)Abitur","5 Einkommensstärkstes Quintil","","","",""
"Täglich","1995","AkademikerIn","1 Einkommensschwächstes Quintil","","","",""
"Täglich","1995","AkademikerIn","2","","","",""
"Täglich","1995","AkademikerIn","3","","","",""
"Täglich","1995","AkademikerIn","4","","","",""
"Täglich","1995","AkademikerIn","5 Einkommensstärkstes Quintil","","","",""
"Min 1x pro Woche","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","62","0.184420733875313","0.149797906286315","0.219043561464311"
"Min 1x pro Woche","1995","(noch) kein Abschluss","2","37","0.264275420018319","0.206271462937685","0.322279377098953"
"Min 1x pro Woche","1995","(noch) kein Abschluss","3","15","","",""
"Min 1x pro Woche","1995","(noch) kein Abschluss","4","15","","",""
"Min 1x pro Woche","1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","7","","",""
"Min 1x pro Woche","1995","Hauptschule","1 Einkommensschwächstes Quintil","93","0.029393494229384","0.0227935543395406","0.0359934341192275"
"Min 1x pro Woche","1995","Hauptschule","2","83","0.0305395609538582","0.0227678011208653","0.038311320786851"
"Min 1x pro Woche","1995","Hauptschule","3","52","0.0494496725652556","0.0356776132397912","0.06322173189072"
"Min 1x pro Woche","1995","Hauptschule","4","26","","",""
"Min 1x pro Woche","1995","Hauptschule","5 Einkommensstärkstes Quintil","5","","",""
"Min 1x pro Woche","1995","Realschule","1 Einkommensschwächstes Quintil","106","0.0937205655903047","0.0763632573645199","0.11107787381609"
"Min 1x pro Woche","1995","Realschule","2","88","0.0788058648687514","0.0613479490116408","0.0962637807258619"
"Min 1x pro Woche","1995","Realschule","3","60","0.0929245199502283","0.0685051163444338","0.117343923556023"
"Min 1x pro Woche","1995","Realschule","4","25","","",""
"Min 1x pro Woche","1995","Realschule","5 Einkommensstärkstes Quintil","9","","",""
"Min 1x pro Woche","1995","(Fach-)Abitur","1 Einkommensschwächstes Quintil","45","0.110904240409167","0.079496924408803","0.14231155640953"
"Min 1x pro Woche","1995","(Fach-)Abitur","2","39","0.145886411771029","0.10461396957969","0.187158853962368"
"Min 1x pro Woche","1995","(Fach-)Abitur","3","21","","",""
"Min 1x pro Woche","1995","(Fach-)Abitur","4","15","","",""
"Min 1x pro Woche","1995","(Fach-)Abitur","5 Einkommensstärkstes Quintil","13","","",""
"Min 1x pro Woche","1995","AkademikerIn","1 Einkommensschwächstes Quintil","8","","",""
"Min 1x pro Woche","1995","AkademikerIn","2","11","","",""
"Min 1x pro Woche","1995","AkademikerIn","3","14","","",""
"Min 1x pro Woche","1995","AkademikerIn","4","7","","",""
"Min 1x pro Woche","1995","AkademikerIn","5 Einkommensstärkstes Quintil","11","","",""
"Min 1x pro Monat","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","56","0.133678964301935","0.103298420877996","0.164059507725874"
"Min 1x pro Monat","1995","(noch) kein Abschluss","2","26","","",""
"Min 1x pro Monat","1995","(noch) kein Abschluss","3","33","0.417148433576625","0.319523815980096","0.514773051173153"
"Min 1x pro Monat","1995","(noch) kein Abschluss","4","13","","",""
"Min 1x pro Monat","1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","5","","",""
"Min 1x pro Monat","1995","Hauptschule","1 Einkommensschwächstes Quintil","195","0.069622527685687","0.0596777000814267","0.0795673552899472"
"Min 1x pro Monat","1995","Hauptschule","2","156","0.0637422794944078","0.0527082425908401","0.0747763163979755"
"Min 1x pro Monat","1995","Hauptschule","3","104","0.0967173235698966","0.0779417335989688","0.115492913540824"
"Min 1x pro Monat","1995","Hauptschule","4","70","0.108936631868861","0.0831780944458278","0.134695169291894"
"Min 1x pro Monat","1995","Hauptschule","5 Einkommensstärkstes Quintil","14","","",""
"Min 1x pro Monat","1995","Realschule","1 Einkommensschwächstes Quintil","166","0.145539612917858","0.124537139812336","0.16654208602338"
"Min 1x pro Monat","1995","Realschule","2","176","0.174199844036464","0.149624539676198","0.19877514839673"
"Min 1x pro Monat","1995","Realschule","3","114","0.168450047211117","0.136970540638823","0.199929553783412"
"Min 1x pro Monat","1995","Realschule","4","94","0.212562720651104","0.171482086504379","0.253643354797829"
"Min 1x pro Monat","1995","Realschule","5 Einkommensstärkstes Quintil","41","0.214166040383441","0.154067728166723","0.274264352600158"
"Min 1x pro Monat","1995","(Fach-)Abitur","1 Einkommensschwächstes Quintil","100","0.325173390394452","0.278320533443354","0.37202624734555"
"Min 1x pro Monat","1995","(Fach-)Abitur","2","80","0.256172004030213","0.205133607228384","0.307210400832043"
"Min 1x pro Monat","1995","(Fach-)Abitur","3","61","0.319427524369696","0.251688996308611","0.387166052430782"
"Min 1x pro Monat","1995","(Fach-)Abitur","4","53","0.378620361839104","0.296187047311478","0.461053676366731"
"Min 1x pro Monat","1995","(Fach-)Abitur","5 Einkommensstärkstes Quintil","22","","",""
"Min 1x pro Monat","1995","AkademikerIn","1 Einkommensschwächstes Quintil","45","0.147154679833421","0.110457832755298","0.183851526911543"
"Min 1x pro Monat","1995","AkademikerIn","2","59","0.144263731901937","0.111943928132182","0.176583535671692"
"Min 1x pro Monat","1995","AkademikerIn","3","53","0.132790264408031","0.0983982606053243","0.167182268210738"
"Min 1x pro Monat","1995","AkademikerIn","4","56","0.168753644072486","0.127061070749731","0.210446217395242"
"Min 1x pro Monat","1995","AkademikerIn","5 Einkommensstärkstes Quintil","52","0.211559087021794","0.161033467371541","0.262084706672047"
"Seltener","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","70","0.152584513624126","0.120482816054386","0.184686211193865"
"Seltener","1995","(noch) kein Abschluss","2","41","0.169016666731724","0.119718300509071","0.218315032954378"
"Seltener","1995","(noch) kein Abschluss","3","20","","",""
"Seltener","1995","(noch) kein Abschluss","4","7","","",""
"Seltener","1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","","","",""
"Seltener","1995","Hauptschule","1 Einkommensschwächstes Quintil","648","0.231980978141786","0.215487777261202","0.248474179022371"
"Seltener","1995","Hauptschule","2","516","0.257309840667553","0.237564939523391","0.277054741811715"
"Seltener","1995","Hauptschule","3","329","0.32929158080564","0.29943866134489","0.359144500266389"
"Seltener","1995","Hauptschule","4","209","0.399500550687327","0.359006154169679","0.439994947204976"
"Seltener","1995","Hauptschule","5 Einkommensstärkstes Quintil","69","0.340750909357458","0.271123318075317","0.4103785006396"
"Seltener","1995","Realschule","1 Einkommensschwächstes Quintil","515","0.437641362036627","0.408095291629607","0.467187432443646"
"Seltener","1995","Realschule","2","410","0.412566112799235","0.380668086000947","0.444464139597523"
"Seltener","1995","Realschule","3","251","0.470257904074001","0.428277320550275","0.512238487597727"
"Seltener","1995","Realschule","4","182","0.462887884955535","0.412820375962","0.51295539394907"
"Seltener","1995","Realschule","5 Einkommensstärkstes Quintil","84","0.442215493831536","0.369458997630896","0.514971990032177"
"Seltener","1995","(Fach-)Abitur","1 Einkommensschwächstes Quintil","119","0.270594731541683","0.226159587215127","0.315029875868239"
"Seltener","1995","(Fach-)Abitur","2","94","0.359063983400369","0.302973627999132","0.415154338801605"
"Seltener","1995","(Fach-)Abitur","3","64","0.386729813408813","0.315977254753084","0.457482372064542"
"Seltener","1995","(Fach-)Abitur","4","47","0.362822082805969","0.281107515653351","0.444536649958587"
"Seltener","1995","(Fach-)Abitur","5 Einkommensstärkstes Quintil","31","0.398270229695257","0.290319839387611","0.506220620002903"
"Seltener","1995","AkademikerIn","1 Einkommensschwächstes Quintil","172","0.42135077966102","0.370201895383788","0.472499663938253"
"Seltener","1995","AkademikerIn","2","226","0.440187105717389","0.394524544056286","0.485849667378493"
"Seltener","1995","AkademikerIn","3","192","0.484536400993482","0.433886978794967","0.535185823191997"
"Seltener","1995","AkademikerIn","4","155","0.480811797388131","0.42519356153218","0.536430033244083"
"Seltener","1995","AkademikerIn","5 Einkommensstärkstes Quintil","129","0.488473139485722","0.426633664211465","0.550312614759979"
