year,quintil_oecd,sex,pli0091_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1985,1st Quintile,male,At least once per week,0.007158648330158726,93,10896,0.007135247017940342,0.00718204964237711
1985,1st Quintile,male,At least once per month,0.01110598790796788,141,10896,0.011076898275108596,0.011135077540827163
1985,1st Quintile,male,Seldom,0.020898415888421888,289,10896,0.020858709962434004,0.020938121814409773
1985,1st Quintile,male,Never,0.03443367749017911,462,10896,0.03438306385539766,0.034484291124960556
1985,1st Quintile,female,At least once per week,0.005414217398929041,61,10896,0.005393848209980889,0.005434586587877192
1985,1st Quintile,female,At least once per month,0.010258269477862153,114,10896,0.010230300102914513,0.010286238852809793
1985,1st Quintile,female,Seldom,0.024455252789968598,303,10896,0.02441237874650045,0.024498126833436745
1985,1st Quintile,female,Never,0.07100614727784138,757,10896,0.07093485554632592,0.07107743900935684
1985,2nd Quintile,male,At least once per week,0.009827163210184621,132,10896,0.009799781891691697,0.009854544528677546
1985,2nd Quintile,male,At least once per month,0.009920132387704447,131,10896,0.009892623146129988,0.009947641629278905
1985,2nd Quintile,male,Seldom,0.0289432141099178,324,10896,0.028896679030358384,0.028989749189477214
1985,2nd Quintile,male,Never,0.03652825279851973,432,10896,0.03647617906573773,0.03658032653130172
1985,2nd Quintile,female,At least once per week,0.005902344591002382,60,10896,0.005881082225790115,0.005923606956214649
1985,2nd Quintile,female,At least once per month,0.009252014626426688,103,10896,0.009225438938053426,0.00927859031479995
1985,2nd Quintile,female,Seldom,0.0290776354737564,318,10896,0.02903099568608187,0.02912427526143093
1985,2nd Quintile,female,Never,0.06102588840122004,632,10896,0.06095944243320206,0.06109233436923801
1985,3rd Quintile,male,At least once per week,0.013319919864521735,161,10896,0.013288098136865907,0.013351741592177562
1985,3rd Quintile,male,At least once per month,0.015199293029588813,171,10896,0.015165332798398634,0.015233253260778993
1985,3rd Quintile,male,Seldom,0.029826177207488803,336,10896,0.029778959125560438,0.029873395289417168
1985,3rd Quintile,male,Never,0.03679995419392614,420,10896,0.03674769452493109,0.036852213862921195
1985,3rd Quintile,female,At least once per week,0.00785058310779624,77,10896,0.007826085466751398,0.007875080748841082
1985,3rd Quintile,female,At least once per month,0.012569370264190227,125,10896,0.01253844632393496,0.012600294204445493
1985,3rd Quintile,female,Seldom,0.032031893778590045,349,10896,0.031983016546931094,0.032080771010249
1985,3rd Quintile,female,Never,0.05280147847976411,538,10896,0.05273940182351134,0.05286355513601688
