year,age_gr,sex,pli0091_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,male,At least once per week,0.29227,467,1597,0.26996,0.31458
1985,17-29 y.,male,At least once per month,0.31323,472,1597,0.29047,0.33598
1985,17-29 y.,male,Seldom,0.30497,480,1597,0.28238,0.32755
1985,17-29 y.,male,Never,0.08210,178,1597,0.06863,0.09557
1985,17-29 y.,female,At least once per week,0.21755,281,1512,0.19675,0.23836
1985,17-29 y.,female,At least once per month,0.28905,379,1512,0.26619,0.31190
1985,17-29 y.,female,Seldom,0.35296,534,1512,0.32886,0.37706
1985,17-29 y.,female,Never,0.13444,318,1512,0.11724,0.15164
1985,30-45 y.,male,At least once per week,0.07975,129,1690,0.06683,0.09267
1985,30-45 y.,male,At least once per month,0.15644,250,1690,0.13911,0.17376
1985,30-45 y.,male,Seldom,0.46368,711,1690,0.43989,0.48746
1985,30-45 y.,male,Never,0.28952,600,1690,0.26789,0.31115
1985,30-45 y.,female,At least once per week,0.03469,60,1756,0.02613,0.04326
1985,30-45 y.,female,At least once per month,0.10870,170,1756,0.09414,0.12326
1985,30-45 y.,female,Seldom,0.49770,756,1756,0.47431,0.52109
1985,30-45 y.,female,Never,0.35185,770,1756,0.32951,0.37419
1985,46-65 y.,male,At least once per week,0.04286,65,1636,0.03304,0.05268
1985,46-65 y.,male,At least once per month,0.06891,116,1636,0.05664,0.08119
1985,46-65 y.,male,Seldom,0.32882,512,1636,0.30605,0.35160
1985,46-65 y.,male,Never,0.55071,943,1636,0.52660,0.57482
1985,46-65 y.,female,At least once per month,0.03806,61,1607,0.02870,0.04742
1985,46-65 y.,female,Seldom,0.23579,380,1607,0.21503,0.25655
1985,46-65 y.,female,Never,0.69768,1166,1607,0.67522,0.72014
1985,66 and older,male,Seldom,0.10253,49,414,0.07327,0.13178
1985,66 and older,male,Never,0.83164,365,414,0.79555,0.86773
1985,66 and older,female,Seldom,0.05114,36,647,0.03415,0.06812
1985,66 and older,female,Never,0.92598,611,647,0.90579,0.94617
1986,17-29 y.,male,At least once per week,0.29121,452,1583,0.26882,0.31360
1986,17-29 y.,male,At least once per month,0.34347,523,1583,0.32007,0.36687
1986,17-29 y.,male,Seldom,0.27364,428,1583,0.25167,0.29561
1986,17-29 y.,male,Never,0.09013,180,1583,0.07601,0.10424
1986,17-29 y.,female,At least once per week,0.19254,242,1467,0.17235,0.21272
1986,17-29 y.,female,At least once per month,0.33814,436,1467,0.31392,0.36235
1986,17-29 y.,female,Seldom,0.34562,507,1467,0.32127,0.36996
