year,pgisced97,regtyp,pli0091_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No answer / don't know,Urban regions,Never,0.35225,51,51,0.21984,0.48465
1985,Pre-primary Level,Urban regions,At least once per week,0.32498,51,139,0.24683,0.40312
1985,Pre-primary Level,Urban regions,At least once per month,0.43519,57,139,0.35248,0.51791
1985,Pre-primary Level,Urban regions,Seldom,0.18352,31,139,0.11893,0.24810
1985,Primary Level,Urban regions,At least once per month,0.06895,43,702,0.05019,0.08771
1985,Primary Level,Urban regions,Seldom,0.21328,127,702,0.18296,0.24360
1985,Primary Level,Urban regions,Never,0.66783,532,702,0.63296,0.70270
1985,Primary Level,Rural regions,Never,0.45675,65,65,0.33471,0.57879
1985,Lower Secondary Level,Urban regions,At least once per week,0.08466,225,2291,0.07325,0.09606
1985,Lower Secondary Level,Urban regions,At least once per month,0.11920,290,2291,0.10593,0.13247
1985,Lower Secondary Level,Urban regions,Seldom,0.22373,563,2291,0.20666,0.24080
1985,Lower Secondary Level,Urban regions,Never,0.57242,1213,2291,0.55216,0.59268
1985,Lower Secondary Level,Rural regions,At least once per week,0.09637,77,737,0.07505,0.11769
1985,Lower Secondary Level,Rural regions,At least once per month,0.08233,73,737,0.06247,0.10218
1985,Lower Secondary Level,Rural regions,Seldom,0.21983,178,737,0.18991,0.24975
1985,Lower Secondary Level,Rural regions,Never,0.60147,409,737,0.56610,0.63685
1985,Upper Secondary Level,Urban regions,At least once per week,0.08055,370,4002,0.07211,0.08898
1985,Upper Secondary Level,Urban regions,At least once per month,0.13246,567,4002,0.12196,0.14297
1985,Upper Secondary Level,Urban regions,Seldom,0.34323,1419,4002,0.32852,0.35794
1985,Upper Secondary Level,Urban regions,Never,0.44376,1646,4002,0.42837,0.45916
1985,Upper Secondary Level,Rural regions,At least once per week,0.10385,123,1127,0.08603,0.12167
1985,Upper Secondary Level,Rural regions,At least once per month,0.11373,138,1127,0.09518,0.13227
1985,Upper Secondary Level,Rural regions,Seldom,0.35066,427,1127,0.32279,0.37853
1985,Upper Secondary Level,Rural regions,Never,0.43176,439,1127,0.40283,0.46070
1985,Post-secondary Non-tertiary Level,Urban regions,At least once per month,0.20777,46,205,0.15210,0.26345
1985,Post-secondary Non-tertiary Level,Urban regions,Seldom,0.35352,81,205,0.28791,0.41912
1985,Post-secondary Non-tertiary Level,Urban regions,Never,0.31819,78,205,0.25427,0.38210
1985,First Stage of Tertiary Education,Urban regions,At least once per week,0.07847,38,477,0.05431,0.10262
1985,First Stage of Tertiary Education,Urban regions,At least once per month,0.12170,61,477,0.09233,0.15107
1985,First Stage of Tertiary Education,Urban regions,Seldom,0.36919,188,477,0.32583,0.41254
1985,First Stage of Tertiary Education,Urban regions,Never,0.43065,190,477,0.38616,0.47513
1985,First Stage of Tertiary Education,Rural regions,Seldom,0.37668,55,110,0.28571,0.46765
1985,First Stage of Tertiary Education,Rural regions,Never,0.46801,55,110,0.37434,0.56169
1985,Second Stage of Tertiary Education,Urban regions,At least once per week,0.08970,60,627,0.06732,0.11209
1985,Second Stage of Tertiary Education,Urban regions,At least once per month,0.18294,117,627,0.15266,0.21323
1985,Second Stage of Tertiary Education,Urban regions,Seldom,0.39602,263,627,0.35770,0.43433
1985,Second Stage of Tertiary Education,Urban regions,Never,0.33134,187,627,0.29446,0.36821
1985,Second Stage of Tertiary Education,Rural regions,Seldom,0.42374,55,100,0.32640,0.52108
1985,Second Stage of Tertiary Education,Rural regions,Never,0.43068,45,100,0.33313,0.52822
1986,No answer / don't know,Urban regions,Never,0.31018,43,43,0.17029,0.45008
1986,Pre-primary Level,Urban regions,At least once per week,0.32762,55,154,0.25325,0.40199
1986,Pre-primary Level,Urban regions,At least once per month,0.37376,58,154,0.29710,0.45042
1986,Pre-primary Level,Urban regions,Seldom,0.23813,41,154,0.17063,0.30562
1986,Primary Level,Urban regions,At least once per month,0.08150,47,641,0.06030,0.10269
1986,Primary Level,Urban regions,Seldom,0.20414,121,641,0.17291,0.23537
1986,Primary Level,Urban regions,Never,0.65149,473,641,0.61458,0.68841
1986,Primary Level,Rural regions,Never,0.55234,73,73,0.43749,0.66720
1986,Lower Secondary Level,Urban regions,At least once per week,0.08352,212,2186,0.07192,0.09512
1986,Lower Secondary Level,Urban regions,At least once per month,0.11574,278,2186,0.10233,0.12915
1986,Lower Secondary Level,Urban regions,Seldom,0.21463,542,2186,0.19741,0.23184
1986,Lower Secondary Level,Urban regions,Never,0.58611,1154,2186,0.56546,0.60676
1986,Lower Secondary Level,Rural regions,At least once per week,0.10081,79,692,0.07836,0.12326
1986,Lower Secondary Level,Rural regions,At least once per month,0.08989,73,692,0.06856,0.11122
1986,Lower Secondary Level,Rural regions,Seldom,0.22899,168,692,0.19766,0.26032
1986,Lower Secondary Level,Rural regions,Never,0.58030,372,692,0.54351,0.61710
1986,Upper Secondary Level,Urban regions,At least once per week,0.07673,323,3878,0.06835,0.08511
1986,Upper Secondary Level,Urban regions,At least once per month,0.14221,604,3878,0.13122,0.15321
1986,Upper Secondary Level,Urban regions,Seldom,0.33741,1348,3878,0.32252,0.35229
1986,Upper Secondary Level,Urban regions,Never,0.44365,1603,3878,0.42801,0.45928
1986,Upper Secondary Level,Rural regions,At least once per week,0.11292,127,1083,0.09406,0.13178
1986,Upper Secondary Level,Rural regions,At least once per month,0.12918,144,1083,0.10919,0.14916
1986,Upper Secondary Level,Rural regions,Seldom,0.34030,387,1083,0.31207,0.36853
1986,Upper Secondary Level,Rural regions,Never,0.41761,425,1083,0.38822,0.44699
1986,Post-secondary Non-tertiary Level,Urban regions,At least once per month,0.19390,45,212,0.14055,0.24724
1986,Post-secondary Non-tertiary Level,Urban regions,Seldom,0.40760,87,212,0.34130,0.47390
1986,Post-secondary Non-tertiary Level,Urban regions,Never,0.32672,80,212,0.26344,0.39001
1986,First Stage of Tertiary Education,Urban regions,At least once per month,0.15931,64,426,0.12451,0.19410
1986,First Stage of Tertiary Education,Urban regions,Seldom,0.34718,183,426,0.30192,0.39244
1986,First Stage of Tertiary Education,Urban regions,Never,0.44341,179,426,0.39618,0.49064
1986,First Stage of Tertiary Education,Rural regions,Seldom,0.42539,54,95,0.32545,0.52534
1986,First Stage of Tertiary Education,Rural regions,Never,0.37568,41,95,0.27777,0.47358
1986,Second Stage of Tertiary Education,Urban regions,At least once per week,0.08781,54,617,0.06546,0.11016
1986,Second Stage of Tertiary Education,Urban regions,At least once per month,0.18236,125,617,0.15186,0.21285
1986,Second Stage of Tertiary Education,Urban regions,Seldom,0.39958,254,617,0.36090,0.43826
1986,Second Stage of Tertiary Education,Urban regions,Never,0.33025,184,617,0.29311,0.36739
1986,Second Stage of Tertiary Education,Rural regions,Seldom,0.39787,57,104,0.30334,0.49240
1986,Second Stage of Tertiary Education,Rural regions,Never,0.45544,47,104,0.35926,0.55162
1988,No answer / don't know,Urban regions,Never,0.25874,51,51,0.13735,0.38013
1988,Pre-primary Level,Urban regions,At least once per week,0.39900,50,95,0.30000,0.49799
1988,Pre-primary Level,Urban regions,At least once per month,0.35165,45,95,0.25512,0.44817
1988,Primary Level,Urban regions,At least once per month,0.08551,41,578,0.06270,0.10833
1988,Primary Level,Urban regions,Seldom,0.20055,94,578,0.16788,0.23323
1988,Primary Level,Urban regions,Never,0.66434,443,578,0.62581,0.70287
1988,Primary Level,Rural regions,Never,0.46063,62,62,0.33555,0.58572
1988,Lower Secondary Level,Urban regions,At least once per week,0.07543,209,2092,0.06411,0.08674
1988,Lower Secondary Level,Urban regions,At least once per month,0.10490,270,2092,0.09177,0.11803
1988,Lower Secondary Level,Urban regions,Seldom,0.21576,499,2092,0.19813,0.23339
1988,Lower Secondary Level,Urban regions,Never,0.60391,1114,2092,0.58295,0.62487
1988,Lower Secondary Level,Rural regions,At least once per week,0.09113,69,604,0.06816,0.11410
1988,Lower Secondary Level,Rural regions,At least once per month,0.11285,79,604,0.08760,0.13811
1988,Lower Secondary Level,Rural regions,Seldom,0.20568,138,604,0.17342,0.23795
1988,Lower Secondary Level,Rural regions,Never,0.59033,318,604,0.55108,0.62959
1988,Upper Secondary Level,Urban regions,At least once per week,0.07084,275,3656,0.06252,0.07915
1988,Upper Secondary Level,Urban regions,At least once per month,0.15001,595,3656,0.13843,0.16158
1988,Upper Secondary Level,Urban regions,Seldom,0.35222,1282,3656,0.33673,0.36770
1988,Upper Secondary Level,Urban regions,Never,0.42694,1504,3656,0.41090,0.44298
1988,Upper Secondary Level,Rural regions,At least once per week,0.10054,109,1036,0.08222,0.11886
1988,Upper Secondary Level,Rural regions,At least once per month,0.14787,163,1036,0.12625,0.16950
1988,Upper Secondary Level,Rural regions,Seldom,0.34308,370,1036,0.31416,0.37200
1988,Upper Secondary Level,Rural regions,Never,0.40850,394,1036,0.37856,0.43845
1988,Post-secondary Non-tertiary Level,Urban regions,At least once per month,0.24559,50,209,0.18709,0.30409
1988,Post-secondary Non-tertiary Level,Urban regions,Seldom,0.33931,71,209,0.27496,0.40365
1988,Post-secondary Non-tertiary Level,Urban regions,Never,0.29749,88,209,0.23536,0.35962
1988,First Stage of Tertiary Education,Urban regions,At least once per month,0.13750,56,400,0.10371,0.17129
1988,First Stage of Tertiary Education,Urban regions,Seldom,0.41404,191,400,0.36571,0.46237
1988,First Stage of Tertiary Education,Urban regions,Never,0.40086,153,400,0.35277,0.44895
1988,First Stage of Tertiary Education,Rural regions,Seldom,0.39529,47,88,0.29255,0.49803
1988,First Stage of Tertiary Education,Rural regions,Never,0.40833,41,88,0.30505,0.51162
1988,Second Stage of Tertiary Education,Urban regions,At least once per week,0.07321,46,587,0.05212,0.09430
1988,Second Stage of Tertiary Education,Urban regions,At least once per month,0.20498,122,587,0.17229,0.23766
1988,Second Stage of Tertiary Education,Urban regions,Seldom,0.40435,243,587,0.36461,0.44408
1988,Second Stage of Tertiary Education,Urban regions,Never,0.31746,176,587,0.27977,0.35515
1988,Second Stage of Tertiary Education,Rural regions,Seldom,0.43951,52,89,0.33581,0.54321
1988,Second Stage of Tertiary Education,Rural regions,Never,0.34909,37,89,0.24949,0.44869
1990,No answer / don't know,Urban regions,Seldom,0.42616,38,96,0.32672,0.52561
1990,No answer / don't know,Urban regions,Never,0.31682,58,96,0.22326,0.41038
1990,Pre-primary Level,Urban regions,At least once per week,0.23706,32,126,0.16250,0.31161
1990,Pre-primary Level,Urban regions,At least once per month,0.49919,60,126,0.41154,0.58685
1990,Pre-primary Level,Urban regions,Seldom,0.20722,34,126,0.13616,0.27827
1990,Primary Level,Urban regions,At least once per month,0.10899,33,536,0.08258,0.13540
1990,Primary Level,Urban regions,Seldom,0.11975,59,536,0.09224,0.14726
1990,Primary Level,Urban regions,Never,0.72660,444,536,0.68883,0.76436
1990,Primary Level,Rural regions,Never,0.55244,62,62,0.42766,0.67723
1990,Lower Secondary Level,Urban regions,At least once per week,0.05995,162,2062,0.04971,0.07020
1990,Lower Secondary Level,Urban regions,At least once per month,0.10503,278,2062,0.09179,0.11826
1990,Lower Secondary Level,Urban regions,Seldom,0.19205,410,2062,0.17505,0.20906
