year,migback,pgisced97,pli0091_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,Pre-primary Level,At least once per week,0.32931,52,147,0.25307,0.40554
1985,No migration background,Pre-primary Level,At least once per month,0.40824,60,147,0.32851,0.48796
1985,No migration background,Pre-primary Level,Seldom,0.21488,35,147,0.14825,0.28150
1985,No migration background,Primary Level,Never,0.41855,32,32,0.24489,0.59222
1985,No migration background,Lower Secondary Level,At least once per week,0.08857,205,2069,0.07633,0.10082
1985,No migration background,Lower Secondary Level,At least once per month,0.10749,244,2069,0.09414,0.12084
1985,No migration background,Lower Secondary Level,Seldom,0.22299,509,2069,0.20505,0.24093
1985,No migration background,Lower Secondary Level,Never,0.58094,1111,2069,0.55968,0.60221
1985,No migration background,Upper Secondary Level,At least once per week,0.08523,374,4180,0.07676,0.09370
1985,No migration background,Upper Secondary Level,At least once per month,0.12704,562,4180,0.11694,0.13713
1985,No migration background,Upper Secondary Level,Seldom,0.34602,1563,4180,0.33160,0.36044
1985,No migration background,Upper Secondary Level,Never,0.44171,1681,4180,0.42666,0.45677
1985,No migration background,Post-secondary Non-tertiary Level,At least once per month,0.17947,31,148,0.11743,0.24150
1985,No migration background,Post-secondary Non-tertiary Level,Seldom,0.33639,61,148,0.26001,0.41277
1985,No migration background,Post-secondary Non-tertiary Level,Never,0.35594,56,148,0.27854,0.43335
1985,No migration background,First Stage of Tertiary Education,At least once per week,0.06973,39,559,0.04860,0.09087
1985,No migration background,First Stage of Tertiary Education,At least once per month,0.11738,71,559,0.09068,0.14409
1985,No migration background,First Stage of Tertiary Education,Seldom,0.37926,224,559,0.33900,0.41952
1985,No migration background,First Stage of Tertiary Education,Never,0.43362,225,559,0.39250,0.47474
1985,No migration background,Second Stage of Tertiary Education,At least once per week,0.08554,59,634,0.06375,0.10733
1985,No migration background,Second Stage of Tertiary Education,At least once per month,0.17274,116,634,0.14329,0.20219
