"pli0091_h","year","migback","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Taeglich","1985","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1985","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Taeglich","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Min 1x pro Woche","1985","kein Migrationshintergrund","Staedtischer Raum","563","0.0893215707897893","0.0820496055068149","0.0965935360727637"
"Min 1x pro Woche","1985","kein Migrationshintergrund","Laendlicher Raum","209","","",""
"Min 1x pro Woche","1985","direkter Migrationshintergrund","Staedtischer Raum","191","","",""
"Min 1x pro Woche","1985","direkter Migrationshintergrund","Laendlicher Raum","34","0.118528206874133","0.0846164379340984","0.152439975814168"
"Min 1x pro Woche","1985","indirekter Migrationshintergrund","Staedtischer Raum","33","0.215726783087731","0.142437388947054","0.289016177228408"
"Min 1x pro Woche","1985","indirekter Migrationshintergrund","Laendlicher Raum","4","0.0723605725460536","-0.047327930515605","0.192049075607712"
"Min 1x pro Woche","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Min 1x pro Woche","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Min 1x pro Monat","1985","kein Migrationshintergrund","Staedtischer Raum","878","0.140372812170509","0.131515791308962","0.149229833032057"
"Min 1x pro Monat","1985","kein Migrationshintergrund","Laendlicher Raum","224","","",""
"Min 1x pro Monat","1985","direkter Migrationshintergrund","Staedtischer Raum","286","","",""
"Min 1x pro Monat","1985","direkter Migrationshintergrund","Laendlicher Raum","38","0.114706687855768","0.0812738425296055","0.14813953318193"
"Min 1x pro Monat","1985","indirekter Migrationshintergrund","Staedtischer Raum","28","","",""
"Min 1x pro Monat","1985","indirekter Migrationshintergrund","Laendlicher Raum","7","0.257581160070071","0.0555616200315051","0.459600700108637"
"Min 1x pro Monat","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Min 1x pro Monat","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Seltener","1985","kein Migrationshintergrund","Staedtischer Raum","2020","","",""
"Seltener","1985","kein Migrationshintergrund","Laendlicher Raum","675","0.311210851658871","0.290822769855551","0.331598933462192"
"Seltener","1985","direkter Migrationshintergrund","Staedtischer Raum","629","0.27606329444815","0.258629735696948","0.293496853199351"
"Seltener","1985","direkter Migrationshintergrund","Laendlicher Raum","97","0.269094644324625","0.222566205936208","0.315623082713041"
"Seltener","1985","indirekter Migrationshintergrund","Staedtischer Raum","35","0.312713223974287","0.230109900094861","0.395316547853713"
"Seltener","1985","indirekter Migrationshintergrund","Laendlicher Raum","2","","",""
"Seltener","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Seltener","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Nie","1985","kein Migrationshintergrund","Staedtischer Raum","2448","","",""
"Nie","1985","kein Migrationshintergrund","Laendlicher Raum","873","0.48483597842552","0.462828208571751","0.506843748279288"
"Nie","1985","direkter Migrationshintergrund","Staedtischer Raum","1420","","",""
"Nie","1985","direkter Migrationshintergrund","Laendlicher Raum","180","","",""
"Nie","1985","indirekter Migrationshintergrund","Staedtischer Raum","25","","",""
"Nie","1985","indirekter Migrationshintergrund","Laendlicher Raum","5","0.431949360174588","0.203114711775079","0.660784008574098"
"Nie","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Nie","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Taeglich","1986","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1986","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1986","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1986","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1986","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1986","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1986","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Taeglich","1986","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Min 1x pro Woche","1986","kein Migrationshintergrund","Staedtischer Raum","513","0.0836045945533236","0.0764056524508803","0.0908035366557668"
"Min 1x pro Woche","1986","kein Migrationshintergrund","Laendlicher Raum","210","","",""
"Min 1x pro Woche","1986","direkter Migrationshintergrund","Staedtischer Raum","174","","",""
"Min 1x pro Woche","1986","direkter Migrationshintergrund","Laendlicher Raum","28","","",""
"Min 1x pro Woche","1986","indirekter Migrationshintergrund","Staedtischer Raum","33","0.263302918239749","0.188452439649547","0.338153396829952"
"Min 1x pro Woche","1986","indirekter Migrationshintergrund","Laendlicher Raum","7","0.16429109831629","0.00189797909799738","0.326684217534583"
"Min 1x pro Woche","1986","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Min 1x pro Woche","1986","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Min 1x pro Monat","1986","kein Migrationshintergrund","Staedtischer Raum","892","0.14679607936493","0.137591672531069","0.15600048619879"
"Min 1x pro Monat","1986","kein Migrationshintergrund","Laendlicher Raum","240","","",""
"Min 1x pro Monat","1986","direkter Migrationshintergrund","Staedtischer Raum","302","0.119910149972101","0.107036214027619","0.132784085916583"
"Min 1x pro Monat","1986","direkter Migrationshintergrund","Laendlicher Raum","39","0.128844789154506","0.0943324015983545","0.163357176710658"
"Min 1x pro Monat","1986","indirekter Migrationshintergrund","Staedtischer Raum","37","0.179523435476311","0.114298157869561","0.244748713083062"
"Min 1x pro Monat","1986","indirekter Migrationshintergrund","Laendlicher Raum","3","","",""
"Min 1x pro Monat","1986","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Min 1x pro Monat","1986","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Seltener","1986","kein Migrationshintergrund","Staedtischer Raum","1930","","",""
"Seltener","1986","kein Migrationshintergrund","Laendlicher Raum","623","0.308086080872874","0.287098109236652","0.329074052509095"
"Seltener","1986","direkter Migrationshintergrund","Staedtischer Raum","624","0.279930472594467","0.262138169445958","0.297722775742976"
"Seltener","1986","direkter Migrationshintergrund","Laendlicher Raum","97","0.296152886360833","0.249121155969703","0.343184616751962"
"Seltener","1986","indirekter Migrationshintergrund","Staedtischer Raum","39","0.309210430949236","0.230664765382536","0.387756096515936"
"Seltener","1986","indirekter Migrationshintergrund","Laendlicher Raum","2","","",""
"Seltener","1986","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Seltener","1986","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Nie","1986","kein Migrationshintergrund","Staedtischer Raum","2344","","",""
"Nie","1986","kein Migrationshintergrund","Laendlicher Raum","786","0.464489472852424","0.441817968401449","0.487160977303398"
"Nie","1986","direkter Migrationshintergrund","Staedtischer Raum","1346","","",""
"Nie","1986","direkter Migrationshintergrund","Laendlicher Raum","198","","",""
"Nie","1986","indirekter Migrationshintergrund","Staedtischer Raum","24","","",""
"Nie","1986","indirekter Migrationshintergrund","Laendlicher Raum","8","0.629167272099824","0.417474912922335","0.840859631277312"
"Nie","1986","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Nie","1986","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Taeglich","1987","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1987","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1987","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1987","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1987","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1987","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1987","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Taeglich","1987","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Min 1x pro Woche","1987","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Min 1x pro Woche","1987","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Min 1x pro Woche","1987","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Min 1x pro Woche","1987","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Min 1x pro Woche","1987","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Min 1x pro Woche","1987","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Min 1x pro Woche","1987","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Min 1x pro Woche","1987","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Min 1x pro Monat","1987","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Min 1x pro Monat","1987","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Min 1x pro Monat","1987","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Min 1x pro Monat","1987","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Min 1x pro Monat","1987","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Min 1x pro Monat","1987","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Min 1x pro Monat","1987","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Min 1x pro Monat","1987","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Seltener","1987","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Seltener","1987","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Seltener","1987","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Seltener","1987","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Seltener","1987","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Seltener","1987","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Seltener","1987","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Seltener","1987","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Nie","1987","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Nie","1987","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Nie","1987","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Nie","1987","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Nie","1987","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Nie","1987","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Nie","1987","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Nie","1987","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Taeglich","1988","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1988","kein Migrationshintergrund","Laendlicher Raum","","","",""
