"pli0091_h","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Taeglich","1985","17-34","Staedtischer Raum","","","",""
"Taeglich","1985","17-34","Laendlicher Raum","","","",""
"Taeglich","1985","35-65","Staedtischer Raum","","","",""
"Taeglich","1985","35-65","Laendlicher Raum","","","",""
"Taeglich","1985","66 +","Staedtischer Raum","","","",""
"Taeglich","1985","66 +","Laendlicher Raum","","","",""
"Min 1x pro Woche","1985","17-34","Staedtischer Raum","629","0.20257223272451","0.188802968848633","0.216341496600388"
"Min 1x pro Woche","1985","17-34","Laendlicher Raum","191","0.243281870090284","0.214572319816825","0.271991420363743"
"Min 1x pro Woche","1985","35-65","Staedtischer Raum","150","0.0345009344665994","0.029158900475934","0.0398429684572648"
"Min 1x pro Woche","1985","35-65","Laendlicher Raum","51","0.0399508921093274","0.0288794084807073","0.0510223757379476"
"Min 1x pro Woche","1985","66 +","Staedtischer Raum","","","",""
"Min 1x pro Woche","1985","66 +","Laendlicher Raum","","","",""
"Min 1x pro Monat","1985","17-34","Staedtischer Raum","823","0.287343036200988","0.271840038122866","0.302846034279109"
"Min 1x pro Monat","1985","17-34","Laendlicher Raum","194","0.232164844768978","0.203913659562844","0.260416029975112"
"Min 1x pro Monat","1985","35-65","Staedtischer Raum","357","0.0788893804630946","0.0709993177263385","0.0867794431998506"
"Min 1x pro Monat","1985","35-65","Laendlicher Raum","74","0.0600575207284937","0.0466258450808433","0.0734891963761441"
"Min 1x pro Monat","1985","66 +","Staedtischer Raum","","","",""
"Min 1x pro Monat","1985","66 +","Laendlicher Raum","","","",""
"Seltener","1985","17-34","Staedtischer Raum","1150","0.362803874973081","0.346331826566597","0.379275923379566"
"Seltener","1985","17-34","Laendlicher Raum","322","0.388417655986179","0.355805358280525","0.421029953691832"
"Seltener","1985","35-65","Staedtischer Raum","1464","0.355381187116045","0.341371965875069","0.369390408357021"
"Seltener","1985","35-65","Laendlicher Raum","437","0.357019763023748","0.32993401723702","0.384105508810476"
"Seltener","1985","66 +","Staedtischer Raum","70","0.0772589243767204","0.0587454061972796","0.0957724425561612"
"Seltener","1985","66 +","Laendlicher Raum","","","",""
"Nie","1985","17-34","Staedtischer Raum","671","0.147280856101421","0.135139945955882","0.15942176624696"
"Nie","1985","17-34","Laendlicher Raum","151","0.13613562915456","0.11318930472205","0.15908195358707"
"Nie","1985","35-65","Staedtischer Raum","2513","0.531228497954261","0.516622320509753","0.545834675398769"
"Nie","1985","35-65","Laendlicher Raum","640","0.542971824138431","0.514810310634327","0.571133337642534"
"Nie","1985","66 +","Staedtischer Raum","709","0.899342309475297","0.878480081117592","0.920204537833002"
"Nie","1985","66 +","Laendlicher Raum","267","0.928818783703709","0.89912264081084","0.958514926596579"
"Taeglich","1986","17-34","Staedtischer Raum","","","",""
"Taeglich","1986","17-34","Laendlicher Raum","","","",""
"Taeglich","1986","35-65","Staedtischer Raum","","","",""
"Taeglich","1986","35-65","Laendlicher Raum","","","",""
"Taeglich","1986","66 +","Staedtischer Raum","","","",""
"Taeglich","1986","66 +","Laendlicher Raum","","","",""
"Min 1x pro Woche","1986","17-34","Staedtischer Raum","572","0.18686754815723","0.173424603196395","0.200310493118065"
"Min 1x pro Woche","1986","17-34","Laendlicher Raum","198","0.251772106023708","0.222490316042613","0.281053896004803"
"Min 1x pro Woche","1986","35-65","Staedtischer Raum","140","0.0343103257455074","0.0288538623514242","0.0397667891395905"
"Min 1x pro Woche","1986","35-65","Laendlicher Raum","46","0.044035723440962","0.0320940562552554","0.0559773906266687"
"Min 1x pro Woche","1986","66 +","Staedtischer Raum","","","",""
"Min 1x pro Woche","1986","66 +","Laendlicher Raum","","","",""
"Min 1x pro Monat","1986","17-34","Staedtischer Raum","897","0.305783964764732","0.289894784067664","0.3216731454618"
"Min 1x pro Monat","1986","17-34","Laendlicher Raum","209","0.260937741051357","0.231310867122445","0.290564614980269"
"Min 1x pro Monat","1986","35-65","Staedtischer Raum","323","0.077089932604029","0.0690941945810833","0.0850856706269748"
"Min 1x pro Monat","1986","35-65","Laendlicher Raum","69","0.063337980362095","0.0491616075921123","0.0775143531320777"
"Min 1x pro Monat","1986","66 +","Staedtischer Raum","","","",""
"Min 1x pro Monat","1986","66 +","Laendlicher Raum","","","",""
"Seltener","1986","17-34","Staedtischer Raum","1121","0.358145239316349","0.34161059699952","0.374679881633177"
"Seltener","1986","17-34","Laendlicher Raum","280","0.338124219345665","0.306208601779598","0.370039836911732"
"Seltener","1986","35-65","Staedtischer Raum","1408","0.353703965162133","0.339371670069156","0.368036260255109"
"Seltener","1986","35-65","Laendlicher Raum","428","0.380370751165862","0.352114725537581","0.408626776794142"
"Seltener","1986","66 +","Staedtischer Raum","64","0.0783072418573281","0.0591185815694187","0.0974959021452374"
"Seltener","1986","66 +","Laendlicher Raum","","","",""
"Nie","1986","17-34","Staedtischer Raum","640","0.149203247761689","0.136916162274109","0.16149033324927"
"Nie","1986","17-34","Laendlicher Raum","157","0.14916593357927","0.125131486908427","0.173200380250112"
"Nie","1986","35-65","Staedtischer Raum","2404","0.534895776488331","0.51994410461629","0.549847448360371"
"Nie","1986","35-65","Laendlicher Raum","591","0.512255545031081","0.483163043341541","0.541348046720622"
"Nie","1986","66 +","Staedtischer Raum","670","0.900468993719647","0.879086213016995","0.9218517744223"
