year,quintil_oecd,regtyp,pli0091_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,1st Quintile,Urban regions,At least once per week,0.06785,118,1713,0.05594,0.07977
1985,1st Quintile,Urban regions,At least once per month,0.12810,210,1713,0.11227,0.14393
1985,1st Quintile,Urban regions,Seldom,0.24889,447,1713,0.22841,0.26937
1985,1st Quintile,Urban regions,Never,0.55516,938,1713,0.53162,0.57870
1985,1st Quintile,Rural regions,At least once per week,0.06077,33,515,0.04012,0.08143
1985,1st Quintile,Rural regions,At least once per month,0.08331,48,515,0.05942,0.10720
1985,1st Quintile,Rural regions,Seldom,0.24957,148,515,0.21216,0.28699
1985,1st Quintile,Rural regions,Never,0.60634,286,515,0.56410,0.64858
1985,2nd Quintile,Urban regions,At least once per week,0.07458,141,1638,0.06185,0.08731
1985,2nd Quintile,Urban regions,At least once per month,0.10416,180,1638,0.08936,0.11896
1985,2nd Quintile,Urban regions,Seldom,0.29919,482,1638,0.27701,0.32137
1985,2nd Quintile,Urban regions,Never,0.52207,835,1638,0.49787,0.54627
1985,2nd Quintile,Rural regions,At least once per week,0.11738,57,493,0.08893,0.14582
1985,2nd Quintile,Rural regions,At least once per month,0.07874,44,493,0.05494,0.10254
1985,2nd Quintile,Rural regions,Seldom,0.31963,165,493,0.27842,0.36084
1985,2nd Quintile,Rural regions,Never,0.48425,227,493,0.44009,0.52841
1985,3rd Quintile,Urban regions,At least once per week,0.09898,174,1710,0.08482,0.11314
1985,3rd Quintile,Urban regions,At least once per month,0.14885,242,1710,0.13198,0.16573
1985,3rd Quintile,Urban regions,Seldom,0.30601,533,1710,0.28416,0.32786
1985,3rd Quintile,Urban regions,Never,0.44616,761,1710,0.42259,0.46972
1985,3rd Quintile,Rural regions,At least once per week,0.13280,66,469,0.10206,0.16355
1985,3rd Quintile,Rural regions,At least once per month,0.11499,61,469,0.08608,0.14389
1985,3rd Quintile,Rural regions,Seldom,0.30429,148,469,0.26260,0.34597
1985,3rd Quintile,Rural regions,Never,0.44792,194,469,0.40287,0.49298
1985,4th Quintile,Urban regions,At least once per week,0.09475,181,1798,0.08121,0.10829
1985,4th Quintile,Urban regions,At least once per month,0.14627,269,1798,0.12993,0.16260
1985,4th Quintile,Urban regions,Seldom,0.33290,604,1798,0.31111,0.35469
1985,4th Quintile,Urban regions,Never,0.42609,744,1798,0.40322,0.44895
1985,4th Quintile,Rural regions,At least once per week,0.08934,38,399,0.06131,0.11736
1985,4th Quintile,Rural regions,At least once per month,0.12687,53,399,0.09417,0.15957
1985,4th Quintile,Rural regions,Seldom,0.30879,135,399,0.26341,0.35418
1985,4th Quintile,Rural regions,Never,0.47500,173,399,0.42594,0.52406
1985,5th Quintile,Urban regions,At least once per week,0.09367,173,1721,0.07990,0.10744
1985,5th Quintile,Urban regions,At least once per month,0.15919,294,1721,0.14190,0.17648
1985,5th Quintile,Urban regions,Seldom,0.35510,629,1721,0.33249,0.37772
1985,5th Quintile,Urban regions,Never,0.39204,625,1721,0.36896,0.41511
1985,5th Quintile,Rural regions,At least once per week,0.10748,51,440,0.07851,0.13646
1985,5th Quintile,Rural regions,At least once per month,0.12589,59,440,0.09486,0.15693
1985,5th Quintile,Rural regions,Seldom,0.37103,167,440,0.32584,0.41622
1985,5th Quintile,Rural regions,Never,0.39559,163,440,0.34985,0.44133
1986,1st Quintile,Urban regions,At least once per week,0.05546,103,1617,0.04430,0.06662
1986,1st Quintile,Urban regions,At least once per month,0.13038,210,1617,0.11396,0.14679
1986,1st Quintile,Urban regions,Seldom,0.22420,389,1617,0.20387,0.24454
1986,1st Quintile,Urban regions,Never,0.58996,915,1617,0.56598,0.61394
1986,1st Quintile,Rural regions,At least once per month,0.08164,44,414,0.05523,0.10804
1986,1st Quintile,Rural regions,Seldom,0.23510,115,414,0.19420,0.27600
1986,1st Quintile,Rural regions,Never,0.61423,255,414,0.56728,0.66117
1986,2nd Quintile,Urban regions,At least once per week,0.08471,149,1579,0.07097,0.09845
1986,2nd Quintile,Urban regions,At least once per month,0.10785,186,1579,0.09254,0.12315
1986,2nd Quintile,Urban regions,Seldom,0.26483,445,1579,0.24306,0.28660
1986,2nd Quintile,Urban regions,Never,0.54262,799,1579,0.51803,0.56720
1986,2nd Quintile,Rural regions,At least once per week,0.10570,55,495,0.07859,0.13281
1986,2nd Quintile,Rural regions,At least once per month,0.10001,53,495,0.07355,0.12647
1986,2nd Quintile,Rural regions,Seldom,0.25420,139,495,0.21581,0.29260
1986,2nd Quintile,Rural regions,Never,0.54008,248,495,0.49613,0.58404
1986,3rd Quintile,Urban regions,At least once per week,0.09502,158,1633,0.08079,0.10924
1986,3rd Quintile,Urban regions,At least once per month,0.14123,236,1633,0.12434,0.15813
1986,3rd Quintile,Urban regions,Seldom,0.30583,513,1633,0.28348,0.32819
1986,3rd Quintile,Urban regions,Never,0.45792,726,1633,0.43374,0.48209
1986,3rd Quintile,Rural regions,At least once per week,0.11657,54,448,0.08682,0.14632
