"pli0091_h","year","age_gr","sampreg","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Taeglich","1985","17-34","Westdeutschland","","","",""
"Taeglich","1985","17-34","Ostdeutschland","","","",""
"Taeglich","1985","35-65","Westdeutschland","","","",""
"Taeglich","1985","35-65","Ostdeutschland","","","",""
"Taeglich","1985","66 +","Westdeutschland","","","",""
"Taeglich","1985","66 +","Ostdeutschland","","","",""
"Min 1x pro Woche","1985","17-34","Westdeutschland","820","0.212320683928355","0.199849968576149","0.224791399280562"
"Min 1x pro Woche","1985","17-34","Ostdeutschland","","","",""
"Min 1x pro Woche","1985","35-65","Westdeutschland","201","0.0358259476110834","0.03099512348676","0.0406567717354069"
"Min 1x pro Woche","1985","35-65","Ostdeutschland","","","",""
"Min 1x pro Woche","1985","66 +","Westdeutschland","13","","",""
"Min 1x pro Woche","1985","66 +","Ostdeutschland","","","",""
"Min 1x pro Monat","1985","17-34","Westdeutschland","1017","0.274129901879541","0.260527106915493","0.287732696843588"
"Min 1x pro Monat","1985","17-34","Ostdeutschland","","","",""
"Min 1x pro Monat","1985","35-65","Westdeutschland","431","0.0743109115429333","0.0674937508704138","0.0811280722154529"
"Min 1x pro Monat","1985","35-65","Ostdeutschland","","","",""
"Min 1x pro Monat","1985","66 +","Westdeutschland","13","","",""
"Min 1x pro Monat","1985","66 +","Ostdeutschland","","","",""
"Seltener","1985","17-34","Westdeutschland","1472","0.368937427382518","0.354223349079777","0.38365150568526"
"Seltener","1985","17-34","Ostdeutschland","","","",""
"Seltener","1985","35-65","Westdeutschland","1901","0.355779563536243","0.343335781048657","0.36822334602383"
"Seltener","1985","35-65","Ostdeutschland","","","",""
"Seltener","1985","66 +","Westdeutschland","85","0.0708309006707509","0.0555801198256463","0.0860816815158555"
"Seltener","1985","66 +","Ostdeutschland","","","",""
"Nie","1985","17-34","Westdeutschland","822","0.144611986809586","0.133886815938255","0.155337157680917"
"Nie","1985","17-34","Ostdeutschland","","","",""
"Nie","1985","35-65","Westdeutschland","3153","0.53408357730974","0.521117658891029","0.547049495728451"
"Nie","1985","35-65","Ostdeutschland","","","",""
"Nie","1985","66 +","Westdeutschland","976","0.907473516566168","0.890247560822963","0.924699472309372"
"Nie","1985","66 +","Ostdeutschland","","","",""
"Taeglich","1986","17-34","Westdeutschland","","","",""
"Taeglich","1986","17-34","Ostdeutschland","","","",""
"Taeglich","1986","35-65","Westdeutschland","","","",""
"Taeglich","1986","35-65","Ostdeutschland","","","",""
"Taeglich","1986","66 +","Westdeutschland","","","",""
"Taeglich","1986","66 +","Ostdeutschland","","","",""
"Min 1x pro Woche","1986","17-34","Westdeutschland","770","0.202525226381","0.190184645043614","0.214865807718386"
"Min 1x pro Woche","1986","17-34","Ostdeutschland","","","",""
"Min 1x pro Woche","1986","35-65","Westdeutschland","186","0.0366295151201914","0.0316233882300688","0.041635642010314"
"Min 1x pro Woche","1986","35-65","Ostdeutschland","","","",""
"Min 1x pro Woche","1986","66 +","Westdeutschland","9","","",""
"Min 1x pro Woche","1986","66 +","Ostdeutschland","","","",""
"Min 1x pro Monat","1986","17-34","Westdeutschland","1106","0.294965190805902","0.280961960156458","0.308968421455346"
"Min 1x pro Monat","1986","17-34","Ostdeutschland","","","",""
"Min 1x pro Monat","1986","35-65","Westdeutschland","392","0.0738105416197857","0.0668426928972918","0.0807783903422796"
"Min 1x pro Monat","1986","35-65","Ostdeutschland","","","",""
"Min 1x pro Monat","1986","66 +","Westdeutschland","15","","",""
"Min 1x pro Monat","1986","66 +","Ostdeutschland","","","",""
"Seltener","1986","17-34","Westdeutschland","1401","0.353315336783809","0.338637396913043","0.367993276654575"
"Seltener","1986","17-34","Ostdeutschland","","","",""
"Seltener","1986","35-65","Westdeutschland","1836","0.360063121743023","0.347270855469881","0.372855388016164"
"Seltener","1986","35-65","Ostdeutschland","","","",""
"Seltener","1986","66 +","Westdeutschland","78","0.0742487581931622","0.0581277207777083","0.0903697956086161"
"Seltener","1986","66 +","Ostdeutschland","","","",""
"Nie","1986","17-34","Westdeutschland","797","0.149194246029288","0.138253956264468","0.160134535794109"
"Nie","1986","17-34","Ostdeutschland","","","",""
"Nie","1986","35-65","Westdeutschland","2995","0.529496821517","0.516195262066289","0.542798380967711"
"Nie","1986","35-65","Ostdeutschland","","","",""
"Nie","1986","66 +","Westdeutschland","914","0.905178909947308","0.887164463474186","0.92319335642043"
"Nie","1986","66 +","Ostdeutschland","","","",""
"Taeglich","1987","17-34","Westdeutschland","","","",""
"Taeglich","1987","17-34","Ostdeutschland","","","",""
"Taeglich","1987","35-65","Westdeutschland","","","",""
"Taeglich","1987","35-65","Ostdeutschland","","","",""
"Taeglich","1987","66 +","Westdeutschland","","","",""
"Taeglich","1987","66 +","Ostdeutschland","","","",""
"Min 1x pro Woche","1987","17-34","Westdeutschland","","","",""
"Min 1x pro Woche","1987","17-34","Ostdeutschland","","","",""
"Min 1x pro Woche","1987","35-65","Westdeutschland","","","",""
"Min 1x pro Woche","1987","35-65","Ostdeutschland","","","",""
"Min 1x pro Woche","1987","66 +","Westdeutschland","","","",""
"Min 1x pro Woche","1987","66 +","Ostdeutschland","","","",""
"Min 1x pro Monat","1987","17-34","Westdeutschland","","","",""
"Min 1x pro Monat","1987","17-34","Ostdeutschland","","","",""
"Min 1x pro Monat","1987","35-65","Westdeutschland","","","",""
"Min 1x pro Monat","1987","35-65","Ostdeutschland","","","",""
"Min 1x pro Monat","1987","66 +","Westdeutschland","","","",""
"Min 1x pro Monat","1987","66 +","Ostdeutschland","","","",""
"Seltener","1987","17-34","Westdeutschland","","","",""
"Seltener","1987","17-34","Ostdeutschland","","","",""
"Seltener","1987","35-65","Westdeutschland","","","",""
"Seltener","1987","35-65","Ostdeutschland","","","",""
"Seltener","1987","66 +","Westdeutschland","","","",""
"Seltener","1987","66 +","Ostdeutschland","","","",""
"Nie","1987","17-34","Westdeutschland","","","",""
"Nie","1987","17-34","Ostdeutschland","","","",""
"Nie","1987","35-65","Westdeutschland","","","",""
"Nie","1987","35-65","Ostdeutschland","","","",""
"Nie","1987","66 +","Westdeutschland","","","",""
"Nie","1987","66 +","Ostdeutschland","","","",""
"Taeglich","1988","17-34","Westdeutschland","","","",""
"Taeglich","1988","17-34","Ostdeutschland","","","",""
"Taeglich","1988","35-65","Westdeutschland","","","",""
"Taeglich","1988","35-65","Ostdeutschland","","","",""
"Taeglich","1988","66 +","Westdeutschland","","","",""
"Taeglich","1988","66 +","Ostdeutschland","","","",""
"Min 1x pro Woche","1988","17-34","Westdeutschland","699","0.189005137593896","0.176612381765557","0.201397893422235"
"Min 1x pro Woche","1988","17-34","Ostdeutschland","","","",""
"Min 1x pro Woche","1988","35-65","Westdeutschland","153","0.0330749621078735","0.0281318946506695","0.0380180295650775"
"Min 1x pro Woche","1988","35-65","Ostdeutschland","","","",""
"Min 1x pro Woche","1988","66 +","Westdeutschland","11","","",""
"Min 1x pro Woche","1988","66 +","Ostdeutschland","","","",""
"Min 1x pro Monat","1988","17-34","Westdeutschland","1088","0.307330364991019","0.292725826171523","0.321934903810516"
"Min 1x pro Monat","1988","17-34","Ostdeutschland","","","",""
"Min 1x pro Monat","1988","35-65","Westdeutschland","419","0.0900789294674623","0.0821655147645042","0.0979923441704204"
"Min 1x pro Monat","1988","35-65","Ostdeutschland","","","",""
"Min 1x pro Monat","1988","66 +","Westdeutschland","14","","",""
"Min 1x pro Monat","1988","66 +","Ostdeutschland","","","",""
"Seltener","1988","17-34","Westdeutschland","1286","0.36108099738115","0.345877368640515","0.376284626121786"
"Seltener","1988","17-34","Ostdeutschland","","","",""
"Seltener","1988","35-65","Westdeutschland","1700","0.370124152016252","0.35677813583006","0.383470168202444"
"Seltener","1988","35-65","Ostdeutschland","","","",""
"Seltener","1988","66 +","Westdeutschland","101","0.0982266932029799","0.079962038975886","0.116491347430074"
"Seltener","1988","66 +","Ostdeutschland","","","",""
"Nie","1988","17-34","Westdeutschland","761","0.142583500033934","0.131515922050736","0.153651078017133"
"Nie","1988","17-34","Ostdeutschland","","","",""
"Nie","1988","35-65","Westdeutschland","2756","0.506721956408412","0.492902810243784","0.520541102573041"
"Nie","1988","35-65","Ostdeutschland","","","",""
"Nie","1988","66 +","Westdeutschland","894","0.878983558480301","0.858968329167992","0.89899878779261"
"Nie","1988","66 +","Ostdeutschland","","","",""
"Taeglich","1989","17-34","Westdeutschland","","","",""
"Taeglich","1989","17-34","Ostdeutschland","","","",""
"Taeglich","1989","35-65","Westdeutschland","","","",""
"Taeglich","1989","35-65","Ostdeutschland","","","",""
"Taeglich","1989","66 +","Westdeutschland","","","",""
"Taeglich","1989","66 +","Ostdeutschland","","","",""
"Min 1x pro Woche","1989","17-34","Westdeutschland","","","",""
"Min 1x pro Woche","1989","17-34","Ostdeutschland","","","",""
"Min 1x pro Woche","1989","35-65","Westdeutschland","","","",""
"Min 1x pro Woche","1989","35-65","Ostdeutschland","","","",""
"Min 1x pro Woche","1989","66 +","Westdeutschland","","","",""
"Min 1x pro Woche","1989","66 +","Ostdeutschland","","","",""
"Min 1x pro Monat","1989","17-34","Westdeutschland","","","",""
"Min 1x pro Monat","1989","17-34","Ostdeutschland","","","",""
"Min 1x pro Monat","1989","35-65","Westdeutschland","","","",""
"Min 1x pro Monat","1989","35-65","Ostdeutschland","","","",""
"Min 1x pro Monat","1989","66 +","Westdeutschland","","","",""
"Min 1x pro Monat","1989","66 +","Ostdeutschland","","","",""
"Seltener","1989","17-34","Westdeutschland","","","",""
"Seltener","1989","17-34","Ostdeutschland","","","",""
"Seltener","1989","35-65","Westdeutschland","","","",""
"Seltener","1989","35-65","Ostdeutschland","","","",""
"Seltener","1989","66 +","Westdeutschland","","","",""
"Seltener","1989","66 +","Ostdeutschland","","","",""
"Nie","1989","17-34","Westdeutschland","","","",""
"Nie","1989","17-34","Ostdeutschland","","","",""
"Nie","1989","35-65","Westdeutschland","","","",""
"Nie","1989","35-65","Ostdeutschland","","","",""
"Nie","1989","66 +","Westdeutschland","","","",""
"Nie","1989","66 +","Ostdeutschland","","","",""
"Taeglich","1990","17-34","Westdeutschland","9","","",""
"Taeglich","1990","17-34","Ostdeutschland","","","",""
"Taeglich","1990","35-65","Westdeutschland","3","","",""
"Taeglich","1990","35-65","Ostdeutschland","","","",""
"Taeglich","1990","66 +","Westdeutschland","","","",""
"Taeglich","1990","66 +","Ostdeutschland","","","",""
"Min 1x pro Woche","1990","17-34","Westdeutschland","512","0.144545332249601","0.133110865179125","0.155979799320077"
"Min 1x pro Woche","1990","17-34","Ostdeutschland","317","0.200985376489876","0.181839924364608","0.220130828615144"
"Min 1x pro Woche","1990","35-65","Westdeutschland","30","0.00630905183495999","0.00405972621819537","0.00855837745172462"
"Min 1x pro Woche","1990","35-65","Ostdeutschland","50","0.0228350366477086","0.0166941204187364","0.0289759528766808"
"Min 1x pro Woche","1990","66 +","Westdeutschland","2","","",""
"Min 1x pro Woche","1990","66 +","Ostdeutschland","2","","",""
"Min 1x pro Monat","1990","17-34","Westdeutschland","1037","0.304467568164501","0.289503674822187","0.319431461506814"
"Min 1x pro Monat","1990","17-34","Ostdeutschland","371","0.237377077052711","0.21704974649815","0.257704407607271"
"Min 1x pro Monat","1990","35-65","Westdeutschland","301","0.0717851134219746","0.0644520393010148","0.0791181875429343"
"Min 1x pro Monat","1990","35-65","Ostdeutschland","206","0.0878556953489198","0.0762180502524063","0.0994933404454332"
"Min 1x pro Monat","1990","66 +","Westdeutschland","9","","",""
"Min 1x pro Monat","1990","66 +","Ostdeutschland","7","","",""
"Seltener","1990","17-34","Westdeutschland","1259","0.38536619644881","0.369540587821008","0.401191805076613"
"Seltener","1990","17-34","Ostdeutschland","798","0.4531131080899","0.429330575360142","0.476895640819658"
"Seltener","1990","35-65","Westdeutschland","1502","0.355227029228507","0.341631346281195","0.36882271217582"
"Seltener","1990","35-65","Ostdeutschland","1287","0.535185415097896","0.514681330675013","0.55568949952078"
"Seltener","1990","66 +","Westdeutschland","72","0.0704108448799936","0.0548170030914229","0.0860046866685643"
"Seltener","1990","66 +","Ostdeutschland","51","0.12105345457057","0.0893635660069291","0.152743343134211"
"Nie","1990","17-34","Westdeutschland","816","0.163649230447795","0.151619203332855","0.175679257562735"
"Nie","1990","17-34","Ostdeutschland","197","0.108524438367514","0.0936642427103646","0.123384634024663"
"Nie","1990","35-65","Westdeutschland","2924","0.565867526957654","0.551787187122618","0.57994786679269"
"Nie","1990","35-65","Ostdeutschland","730","0.354123852905475","0.334463080017012","0.373784625793939"
"Nie","1990","66 +","Westdeutschland","951","0.918513743099703","0.901838474603911","0.935189011595496"
"Nie","1990","66 +","Ostdeutschland","347","0.858833794463704","0.825006223040208","0.892661365887199"
"Taeglich","1991","17-34","Westdeutschland","","","",""
"Taeglich","1991","17-34","Ostdeutschland","","","",""
"Taeglich","1991","35-65","Westdeutschland","","","",""
"Taeglich","1991","35-65","Ostdeutschland","","","",""
"Taeglich","1991","66 +","Westdeutschland","","","",""
"Taeglich","1991","66 +","Ostdeutschland","","","",""
"Min 1x pro Woche","1991","17-34","Westdeutschland","","","",""
"Min 1x pro Woche","1991","17-34","Ostdeutschland","","","",""
"Min 1x pro Woche","1991","35-65","Westdeutschland","","","",""
"Min 1x pro Woche","1991","35-65","Ostdeutschland","","","",""
"Min 1x pro Woche","1991","66 +","Westdeutschland","","","",""
"Min 1x pro Woche","1991","66 +","Ostdeutschland","","","",""
"Min 1x pro Monat","1991","17-34","Westdeutschland","","","",""
"Min 1x pro Monat","1991","17-34","Ostdeutschland","","","",""
