year,bula_h,quintil_oecd,pli0091_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,1st Quintile,Never,0.46495,32,32,0.28937,0.64053
1985,Schleswig-Holstein,2nd Quintile,Never,0.56550,40,40,0.40993,0.72108
1985,Schleswig-Holstein,4th Quintile,Seldom,0.48981,36,36,0.32420,0.65543
1985,Hamburg,3rd Quintile,Never,0.51998,32,32,0.34411,0.69585
1985,Lower Saxony,1st Quintile,Seldom,0.31798,85,197,0.25278,0.38318
1985,Lower Saxony,1st Quintile,Never,0.52056,112,197,0.45062,0.59050
1985,Lower Saxony,2nd Quintile,Seldom,0.33412,67,145,0.25708,0.41116
1985,Lower Saxony,2nd Quintile,Never,0.44566,78,145,0.36448,0.52684
1985,Lower Saxony,3rd Quintile,At least once per month,0.14321,35,206,0.09526,0.19117
1985,Lower Saxony,3rd Quintile,Seldom,0.35622,88,206,0.29066,0.42177
1985,Lower Saxony,3rd Quintile,Never,0.38720,83,206,0.32052,0.45388
1985,Lower Saxony,4th Quintile,Seldom,0.39788,77,150,0.31929,0.47647
1985,Lower Saxony,4th Quintile,Never,0.38918,73,150,0.31089,0.46747
1985,Lower Saxony,5th Quintile,At least once per week,0.12616,35,241,0.08415,0.16817
1985,Lower Saxony,5th Quintile,At least once per month,0.12199,33,241,0.08058,0.16339
1985,Lower Saxony,5th Quintile,Seldom,0.39665,98,241,0.33476,0.45854
1985,Lower Saxony,5th Quintile,Never,0.35520,75,241,0.29466,0.41575
1985,North Rhine-Westphalia,1st Quintile,At least once per week,0.06956,47,673,0.05033,0.08880
1985,North Rhine-Westphalia,1st Quintile,At least once per month,0.11276,72,673,0.08885,0.13668
1985,North Rhine-Westphalia,1st Quintile,Seldom,0.23976,155,673,0.20748,0.27204
1985,North Rhine-Westphalia,1st Quintile,Never,0.57792,399,673,0.54057,0.61526
1985,North Rhine-Westphalia,2nd Quintile,At least once per week,0.06785,43,614,0.04794,0.08775
1985,North Rhine-Westphalia,2nd Quintile,At least once per month,0.08456,56,614,0.06254,0.10659
1985,North Rhine-Westphalia,2nd Quintile,Seldom,0.35125,217,614,0.31346,0.38904
1985,North Rhine-Westphalia,2nd Quintile,Never,0.49634,298,614,0.45676,0.53592
1985,North Rhine-Westphalia,3rd Quintile,At least once per week,0.08695,48,516,0.06262,0.11129
1985,North Rhine-Westphalia,3rd Quintile,At least once per month,0.13275,67,516,0.10344,0.16205
1985,North Rhine-Westphalia,3rd Quintile,Seldom,0.33492,181,516,0.29416,0.37568
1985,North Rhine-Westphalia,3rd Quintile,Never,0.44538,220,516,0.40246,0.48831
1985,North Rhine-Westphalia,4th Quintile,At least once per week,0.08223,55,593,0.06010,0.10436
1985,North Rhine-Westphalia,4th Quintile,At least once per month,0.14993,95,593,0.12117,0.17869
1985,North Rhine-Westphalia,4th Quintile,Seldom,0.30043,182,593,0.26350,0.33736
1985,North Rhine-Westphalia,4th Quintile,Never,0.46740,261,593,0.42721,0.50760
1985,North Rhine-Westphalia,5th Quintile,At least once per week,0.08163,44,535,0.05841,0.10486
1985,North Rhine-Westphalia,5th Quintile,At least once per month,0.16518,91,535,0.13368,0.19667
1985,North Rhine-Westphalia,5th Quintile,Seldom,0.33897,192,535,0.29882,0.37912
1985,North Rhine-Westphalia,5th Quintile,Never,0.41422,208,535,0.37244,0.45600
1985,Hesse,1st Quintile,At least once per month,0.12836,31,228,0.08485,0.17187
1985,Hesse,1st Quintile,Seldom,0.24315,65,228,0.18734,0.29896
1985,Hesse,1st Quintile,Never,0.50824,132,228,0.44321,0.57328
1985,Hesse,2nd Quintile,Seldom,0.37662,67,163,0.30200,0.45123
1985,Hesse,2nd Quintile,Never,0.45422,96,163,0.37754,0.53089
1985,Hesse,3rd Quintile,Seldom,0.22523,48,145,0.15700,0.29346
1985,Hesse,3rd Quintile,Never,0.49749,97,145,0.41583,0.57916
1985,Hesse,4th Quintile,At least once per week,0.13533,32,234,0.09140,0.17925
1985,Hesse,4th Quintile,At least once per month,0.14399,32,234,0.09891,0.18907
1985,Hesse,4th Quintile,Seldom,0.37843,88,234,0.31615,0.44070
1985,Hesse,4th Quintile,Never,0.34226,82,234,0.28133,0.40318
1985,Hesse,5th Quintile,At least once per month,0.14019,36,199,0.09183,0.18855
1985,Hesse,5th Quintile,Seldom,0.38975,89,199,0.32182,0.45768
1985,Hesse,5th Quintile,Never,0.35364,74,199,0.28704,0.42023
1985,"Rhineland-Palatinate, Saarland",1st Quintile,Seldom,0.25871,48,149,0.18816,0.32927
1985,"Rhineland-Palatinate, Saarland",1st Quintile,Never,0.65559,101,149,0.57904,0.73215
1985,"Rhineland-Palatinate, Saarland",2nd Quintile,Seldom,0.24472,37,109,0.16364,0.32581
1985,"Rhineland-Palatinate, Saarland",2nd Quintile,Never,0.64127,72,109,0.55081,0.73172
