,Unnamed: 0,year,quintil_oecd,sampreg,pli0091_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,1st Quintile,West,At least once per week,0.06806,154,10896,0.06046,0.07466
1,1,1985,1st Quintile,West,At least once per month,0.11565,255,10896,0.10711,0.1245
2,2,1985,1st Quintile,West,Seldom,0.24551,592,10896,0.23122,0.25934
3,3,1985,1st Quintile,West,Never,0.57078,1219,10896,0.54471,0.59678
4,4,1985,2nd Quintile,West,At least once per week,0.08258,192,10896,0.07482,0.09019
5,5,1985,2nd Quintile,West,At least once per month,0.10065,234,10896,0.09214,0.1092
6,6,1985,2nd Quintile,West,Seldom,0.30461,642,10896,0.29416,0.31674
7,7,1985,2nd Quintile,West,Never,0.51216,1064,10896,0.49123,0.53127
8,8,1985,3rd Quintile,West,At least once per week,0.10564,238,10896,0.09953,0.11181
9,9,1985,3rd Quintile,West,At least once per month,0.13857,296,10896,0.13144,0.14571
10,10,1985,3rd Quintile,West,Seldom,0.30868,685,10896,0.29862,0.31839
11,11,1985,3rd Quintile,West,Never,0.44712,958,10896,0.43207,0.46213
12,12,1985,4th Quintile,West,At least once per week,0.10005,232,10896,0.0942,0.10553
13,13,1985,4th Quintile,West,At least once per month,0.14023,323,10896,0.13379,0.14732
14,14,1985,4th Quintile,West,Seldom,0.32034,732,10896,0.30985,0.33028
15,15,1985,4th Quintile,West,Never,0.43938,929,10896,0.42419,0.45707
16,16,1985,5th Quintile,West,At least once per week,0.09337,216,10896,0.08743,0.09975
17,17,1985,5th Quintile,West,At least once per month,0.15239,352,10896,0.14575,0.1594
18,18,1985,5th Quintile,West,Seldom,0.36601,807,10896,0.35672,0.37601
19,19,1985,5th Quintile,West,Never,0.38823,776,10896,0.37716,0.40104
20,20,1986,1st Quintile,West,At least once per week,0.06057,135,10494,0.05238,0.06829
21,21,1986,1st Quintile,West,At least once per month,0.11842,252,10494,0.10905,0.12769
22,22,1986,1st Quintile,West,Seldom,0.22624,504,10494,0.21396,0.23845
23,23,1986,1st Quintile,West,Never,0.59477,1165,10494,0.56362,0.61849
24,24,1986,2nd Quintile,West,At least once per week,0.08944,201,10494,0.08146,0.09705
25,25,1986,2nd Quintile,West,At least once per month,0.10489,243,10494,0.09719,0.11344
26,26,1986,2nd Quintile,West,Seldom,0.25927,574,10494,0.24503,0.26832
27,27,1986,2nd Quintile,West,Never,0.5464,1047,10494,0.52194,0.57029
28,28,1986,3rd Quintile,West,At least once per week,0.09804,210,10494,0.0903,0.10401
29,29,1986,3rd Quintile,West,At least once per month,0.13362,291,10494,0.12572,0.14403
30,30,1986,3rd Quintile,West,Seldom,0.31593,671,10494,0.3033,0.32779
31,31,1986,3rd Quintile,West,Never,0.45242,920,10494,0.43322,0.4758
32,32,1986,4th Quintile,West,At least once per week,0.10549,243,10494,0.09874,0.11146
33,33,1986,4th Quintile,West,At least once per month,0.16399,355,10494,0.15446,0.17403
34,34,1986,4th Quintile,West,Seldom,0.34436,759,10494,0.33352,0.35657
35,35,1986,4th Quintile,West,Never,0.38617,843,10494,0.37148,0.39976
36,36,1986,5th Quintile,West,At least once per week,0.081,173,10494,0.07568,0.08618
37,37,1986,5th Quintile,West,At least once per month,0.16424,372,10494,0.15664,0.17188
38,38,1986,5th Quintile,West,Seldom,0.38014,805,10494,0.36957,0.38985
39,39,1986,5th Quintile,West,Never,0.37462,731,10494,0.36341,0.38782
40,40,1988,1st Quintile,West,At least once per week,0.07625,147,9880,0.06815,0.08555
41,41,1988,1st Quintile,West,At least once per month,0.10037,229,9880,0.08916,0.11092
42,42,1988,1st Quintile,West,Seldom,0.20302,423,9880,0.1905,0.21501
43,43,1988,1st Quintile,West,Never,0.62035,1150,9880,0.58976,0.64675
44,44,1988,2nd Quintile,West,At least once per week,0.06398,148,9880,0.05565,0.07261
45,45,1988,2nd Quintile,West,At least once per month,0.12443,279,9880,0.11465,0.13386
46,46,1988,2nd Quintile,West,Seldom,0.30182,602,9880,0.2873,0.31694
47,47,1988,2nd Quintile,West,Never,0.50977,945,9880,0.48662,0.53617
48,48,1988,3rd Quintile,West,At least once per week,0.09344,208,9880,0.08639,0.10097
49,49,1988,3rd Quintile,West,At least once per month,0.16502,323,9880,0.15535,0.17445
50,50,1988,3rd Quintile,West,Seldom,0.30813,597,9880,0.29393,0.32148
51,51,1988,3rd Quintile,West,Never,0.43341,848,9880,0.413,0.45074
52,52,1988,4th Quintile,West,At least once per week,0.08486,186,9880,0.07751,0.09316
53,53,1988,4th Quintile,West,At least once per month,0.1608,335,9880,0.1512,0.17062
54,54,1988,4th Quintile,West,Seldom,0.35919,710,9880,0.34348,0.3739
55,55,1988,4th Quintile,West,Never,0.39515,827,9880,0.37413,0.40796
56,56,1988,5th Quintile,West,At least once per week,0.08421,174,9880,0.07812,0.08932
57,57,1988,5th Quintile,West,At least once per month,0.18178,354,9880,0.1712,0.1919
58,58,1988,5th Quintile,West,Seldom,0.39817,754,9880,0.38724,0.41112
59,59,1988,5th Quintile,West,Never,0.33585,641,9880,0.32285,0.3472
60,60,1990,1st Quintile,West,At least once per week,0.04103,89,9424,0.03425,0.04815
61,61,1990,1st Quintile,West,At least once per month,0.10639,213,9424,0.09364,0.12072
62,62,1990,1st Quintile,West,Seldom,0.19002,355,9424,0.17507,0.20447
63,63,1990,1st Quintile,West,Never,0.66256,1223,9424,0.63213,0.69346
64,64,1990,2nd Quintile,West,At least once per week,0.05276,108,9424,0.04597,0.0599
65,65,1990,2nd Quintile,West,At least once per month,0.11561,239,9424,0.1046,0.12626
66,66,1990,2nd Quintile,West,Seldom,0.30432,564,9424,0.29061,0.31734
67,67,1990,2nd Quintile,West,Never,0.52731,971,9424,0.50608,0.54916
68,68,1990,3rd Quintile,West,At least once per week,0.04536,106,9424,0.03977,0.05084
69,69,1990,3rd Quintile,West,At least once per month,0.14095,276,9424,0.12969,0.15
70,70,1990,3rd Quintile,West,Seldom,0.32619,573,9424,0.30971,0.341
71,71,1990,3rd Quintile,West,Never,0.48751,948,9424,0.46934,0.50632
72,72,1990,4th Quintile,West,At least once per week,0.06795,142,9424,0.05991,0.07461
73,73,1990,4th Quintile,West,At least once per month,0.1633,322,9424,0.15261,0.17486
74,74,1990,4th Quintile,West,Seldom,0.33387,625,9424,0.32262,0.34798
75,75,1990,4th Quintile,West,Never,0.43487,846,9424,0.42047,0.4543
76,76,1990,5th Quintile,West,At least once per week,0.0515,111,9424,0.0467,0.05743
77,77,1990,5th Quintile,West,At least once per month,0.15244,297,9424,0.14188,0.16261
78,78,1990,5th Quintile,West,Seldom,0.4057,715,9424,0.3905,0.42016
79,79,1990,5th Quintile,West,Never,0.39035,701,9424,0.37513,0.40466
80,80,1992,1st Quintile,West,At least once per week,0.06344,73,13077,0.05195,0.0791
81,81,1992,1st Quintile,West,At least once per month,0.11066,131,13077,0.09478,0.12503
82,82,1992,1st Quintile,West,Seldom,0.20492,244,13077,0.18458,0.22331
83,83,1992,1st Quintile,West,Never,0.62098,683,13077,0.59045,0.65232
84,84,1992,1st Quintile,East,At least once per week,0.05216,87,13077,0.04529,0.05926
85,85,1992,1st Quintile,East,At least once per month,0.07243,126,13077,0.06626,0.08067
86,86,1992,1st Quintile,East,Seldom,0.30985,577,13077,0.2972,0.32225
87,87,1992,1st Quintile,East,Never,0.56556,831,13077,0.54452,0.58577
88,88,1992,2nd Quintile,West,At least once per week,0.07085,135,13077,0.06167,0.0801
89,89,1992,2nd Quintile,West,At least once per month,0.12423,214,13077,0.11249,0.13377
90,90,1992,2nd Quintile,West,Seldom,0.28846,490,13077,0.27124,0.30925
91,91,1992,2nd Quintile,West,Never,0.51646,782,13077,0.49112,0.5515
92,92,1992,2nd Quintile,East,At least once per week,0.0751,89,13077,0.06697,0.08301
93,93,1992,2nd Quintile,East,At least once per month,0.12361,148,13077,0.11257,0.13488
94,94,1992,2nd Quintile,East,Seldom,0.41833,544,13077,0.40189,0.4345
95,95,1992,2nd Quintile,East,Never,0.38297,411,13077,0.36439,0.40221
96,96,1992,3rd Quintile,West,At least once per week,0.06553,165,13077,0.0585,0.07342
97,97,1992,3rd Quintile,West,At least once per month,0.12992,275,13077,0.11901,0.14125
98,98,1992,3rd Quintile,West,Seldom,0.36961,694,13077,0.35215,0.38996
99,99,1992,3rd Quintile,West,Never,0.43494,809,13077,0.4159,0.45473
100,100,1992,3rd Quintile,East,At least once per week,0.07805,58,13077,0.06807,0.09092
101,101,1992,3rd Quintile,East,At least once per month,0.11944,86,13077,0.10589,0.1349
102,102,1992,3rd Quintile,East,Seldom,0.48883,351,13077,0.46032,0.5196
103,103,1992,3rd Quintile,East,Never,0.31368,194,13077,0.29635,0.33644
104,104,1992,4th Quintile,West,At least once per week,0.10619,234,13077,0.09764,0.11567
105,105,1992,4th Quintile,West,At least once per month,0.1573,376,13077,0.14803,0.16826
106,106,1992,4th Quintile,West,Seldom,0.37034,853,13077,0.35417,0.38331
107,107,1992,4th Quintile,West,Never,0.36618,830,13077,0.34625,0.38063
108,108,1992,4th Quintile,East,At least once per month,0.11175,34,13077,0.09751,0.12761
109,109,1992,4th Quintile,East,Seldom,0.62174,185,13077,0.58376,0.66077
110,110,1992,4th Quintile,East,Never,0.2665,65,13077,0.23469,0.29711
111,111,1992,5th Quintile,West,At least once per week,0.07266,189,13077,0.06618,0.08031
112,112,1992,5th Quintile,West,At least once per month,0.18932,439,13077,0.17764,0.19998
113,113,1992,5th Quintile,West,Seldom,0.43743,955,13077,0.42202,0.4534
114,114,1992,5th Quintile,West,Never,0.30059,642,13077,0.29054,0.31314
115,115,1992,5th Quintile,East,Seldom,1.0,78,13077,0.90904,1.09942
116,116,1994,1st Quintile,West,At least once per week,0.06057,101,12718,0.04933,0.07101
117,117,1994,1st Quintile,West,At least once per month,0.11586,188,12718,0.10173,0.12814
118,118,1994,1st Quintile,West,Seldom,0.25804,408,12718,0.23777,0.27859
119,119,1994,1st Quintile,West,Never,0.56554,811,12718,0.5369,0.59649
120,120,1994,1st Quintile,East,At least once per week,0.05971,63,12718,0.05043,0.0704
121,121,1994,1st Quintile,East,At least once per month,0.07389,80,12718,0.06454,0.0831
122,122,1994,1st Quintile,East,Seldom,0.29085,323,12718,0.27455,0.3051
123,123,1994,1st Quintile,East,Never,0.57554,513,12718,0.54893,0.60526
