,Unnamed: 0,year,migback,sampreg,pli0091_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,No migration background,West,At least once per week,0.09213,772,10874,0.09018,0.09347
1,1,1985,No migration background,West,At least once per month,0.13088,1102,10874,0.12879,0.13322
2,2,1985,No migration background,West,Seldom,0.31464,2696,10874,0.31189,0.3174
3,3,1985,No migration background,West,Never,0.46235,3321,10874,0.45737,0.46741
4,4,1985,Direct migration background,West,At least once per week,0.07215,225,10874,0.06134,0.08295
5,5,1985,Direct migration background,West,At least once per month,0.1229,324,10874,0.1109,0.13523
6,6,1985,Direct migration background,West,Seldom,0.27506,726,10874,0.25353,0.29799
7,7,1985,Direct migration background,West,Never,0.5299,1600,10874,0.50069,0.55844
8,8,1985,Indirect migration background,West,At least once per week,0.28637,37,10874,0.18718,0.4211
9,9,1985,Indirect migration background,West,At least once per month,0.2951,35,10874,0.18816,0.43018
10,10,1985,Indirect migration background,West,Seldom,0.41852,36,10874,0.26672,0.5753
11,11,1986,No migration background,West,At least once per week,0.08977,723,10499,0.08751,0.09217
12,12,1986,No migration background,West,At least once per month,0.13984,1132,10499,0.13728,0.14267
13,13,1986,No migration background,West,Seldom,0.31135,2554,10499,0.30735,0.31526
14,14,1986,No migration background,West,Never,0.45904,3130,10499,0.45277,0.46596
15,15,1986,Direct migration background,West,At least once per week,0.0603,202,10499,0.05195,0.06966
16,16,1986,Direct migration background,West,At least once per month,0.12129,341,10499,0.10856,0.13619
17,17,1986,Direct migration background,West,Seldom,0.28244,721,10499,0.26164,0.30963
18,18,1986,Direct migration background,West,Never,0.53596,1544,10499,0.5056,0.56436
19,19,1986,Indirect migration background,West,At least once per week,0.25389,40,10499,0.15761,0.38684
20,20,1986,Indirect migration background,West,At least once per month,0.18167,40,10499,0.12331,0.25781
21,21,1986,Indirect migration background,West,Seldom,0.24945,40,10499,0.15892,0.33859
22,22,1986,Indirect migration background,West,Never,0.315,32,10499,0.19919,0.42757
23,23,1988,No migration background,West,At least once per week,0.08311,638,9882,0.0804,0.08579
24,24,1988,No migration background,West,At least once per month,0.15068,1137,9882,0.14753,0.15532
25,25,1988,No migration background,West,Seldom,0.32224,2416,9882,0.31695,0.32729
26,26,1988,No migration background,West,Never,0.44398,2824,9882,0.43678,0.45011
27,27,1988,Direct migration background,West,At least once per week,0.05423,169,9882,0.04502,0.06467
28,28,1988,Direct migration background,West,At least once per month,0.12142,322,9882,0.10613,0.13599
29,29,1988,Direct migration background,West,Seldom,0.27498,611,9882,0.25516,0.29606
30,30,1988,Direct migration background,West,Never,0.54938,1546,9882,0.52095,0.58265
31,31,1988,Indirect migration background,West,At least once per week,0.17119,56,9882,0.12839,0.23097
32,32,1988,Indirect migration background,West,At least once per month,0.22331,62,9882,0.15499,0.30968
33,33,1988,Indirect migration background,West,Seldom,0.36385,60,9882,0.27301,0.46004
34,34,1988,Indirect migration background,West,Never,0.24166,41,9882,0.15699,0.37497
35,35,1990,No migration background,West,At least once per week,0.05242,392,13766,0.05028,0.05516
36,36,1990,No migration background,West,At least once per month,0.13856,962,13766,0.13422,0.14293
37,37,1990,No migration background,West,Seldom,0.32468,2260,13766,0.31793,0.33059
38,38,1990,No migration background,West,Never,0.48434,3007,13766,0.47766,0.49071
39,39,1990,No migration background,East,At least once per week,0.08417,363,13766,0.0802,0.08842
40,40,1990,No migration background,East,At least once per month,0.13088,568,13766,0.12589,0.13457
41,41,1990,No migration background,East,Seldom,0.44704,2077,13766,0.43977,0.45521
42,42,1990,No migration background,East,Never,0.33791,1215,13766,0.32908,0.34773
43,43,1990,Direct migration background,West,At least once per week,0.03895,104,13766,0.03187,0.04655
44,44,1990,Direct migration background,West,At least once per month,0.10994,276,13766,0.09706,0.12565
45,45,1990,Direct migration background,West,Seldom,0.24927,503,13766,0.22252,0.27012
46,46,1990,Direct migration background,West,Never,0.60184,1631,13766,0.57015,0.63481
47,47,1990,Direct migration background,East,Seldom,0.44004,58,13766,0.40609,0.47257
48,48,1990,Direct migration background,East,Never,0.55996,58,13766,0.51043,0.61386
49,49,1990,Indirect migration background,West,At least once per week,0.17291,60,13766,0.12913,0.2203
50,50,1990,Indirect migration background,West,At least once per month,0.31085,109,13766,0.25583,0.38898
51,51,1990,Indirect migration background,West,Seldom,0.27527,70,13766,0.21652,0.35753
52,52,1990,Indirect migration background,West,Never,0.24096,53,13766,0.16803,0.33863
53,53,1992,No migration background,West,At least once per week,0.07746,551,13131,0.07433,0.08083
54,54,1992,No migration background,West,At least once per month,0.15332,1060,13131,0.1478,0.15939
55,55,1992,No migration background,West,Seldom,0.35892,2453,13131,0.35203,0.36604
56,56,1992,No migration background,West,Never,0.41029,2386,13131,0.4028,0.41853
