year,bula_h,migback,pli0091_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,No migration background,At least once per week,0.11272,37,310,0.07746,0.14798
1985,Schleswig-Holstein,No migration background,At least once per month,0.12747,40,310,0.09028,0.16465
1985,Schleswig-Holstein,No migration background,Seldom,0.36070,120,310,0.30715,0.41424
1985,Schleswig-Holstein,No migration background,Never,0.39912,113,310,0.34452,0.45372
1985,Hamburg,No migration background,At least once per month,0.14835,34,187,0.09727,0.19943
1985,Hamburg,No migration background,Seldom,0.29213,68,187,0.22677,0.35748
1985,Hamburg,No migration background,Never,0.47350,85,187,0.40174,0.54526
1985,Hamburg,Direct migration background,Never,0.46755,39,39,0.30891,0.62619
1985,Lower Saxony,No migration background,At least once per week,0.10289,103,930,0.08336,0.12243
1985,Lower Saxony,No migration background,At least once per month,0.12137,119,930,0.10037,0.14237
1985,Lower Saxony,No migration background,Seldom,0.36527,365,930,0.33431,0.39624
1985,Lower Saxony,No migration background,Never,0.41046,343,930,0.37883,0.44210
1985,Lower Saxony,Direct migration background,Seldom,0.30291,47,123,0.22137,0.38445
1985,Lower Saxony,Direct migration background,Never,0.50029,76,123,0.41156,0.58901
1985,Bremen,No migration background,Never,0.58072,48,48,0.43965,0.72180
1985,North Rhine-Westphalia,No migration background,At least once per week,0.08225,185,2095,0.07048,0.09402
1985,North Rhine-Westphalia,No migration background,At least once per month,0.13063,290,2095,0.11619,0.14506
1985,North Rhine-Westphalia,No migration background,Seldom,0.31897,726,2095,0.29901,0.33894
1985,North Rhine-Westphalia,No migration background,Never,0.46815,894,2095,0.44678,0.48952
1985,North Rhine-Westphalia,Direct migration background,At least once per week,0.03072,42,793,0.01870,0.04274
1985,North Rhine-Westphalia,Direct migration background,At least once per month,0.10480,78,793,0.08347,0.12613
1985,North Rhine-Westphalia,Direct migration background,Seldom,0.26382,191,793,0.23313,0.29452
1985,North Rhine-Westphalia,Direct migration background,Never,0.60065,482,793,0.56654,0.63476
1985,Hesse,No migration background,At least once per week,0.11930,94,697,0.09522,0.14339
1985,Hesse,No migration background,At least once per month,0.13196,99,697,0.10681,0.15710
1985,Hesse,No migration background,Seldom,0.33645,245,697,0.30135,0.37155
1985,Hesse,No migration background,Never,0.41229,259,697,0.37572,0.44886
1985,Hesse,Direct migration background,At least once per month,0.11758,46,377,0.08502,0.15013
1985,Hesse,Direct migration background,Seldom,0.28205,108,377,0.23656,0.32753
